profile_id,symbol,asset_group,family,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,integer_leverage,notional_fraction,train_return,validation_return,train_mdd,validation_mdd,train_trade_event_count,validation_trade_event_count,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,train_validation_score,profile_objective_score,dominant_anchor,dominant_anchor_abs_corr,ready_for_paper,rejection_reasons,source_profile_id,source_model_id,live_efficiency_score,efficiency_repair_reasons,relaxed_policy_id,relaxations_applied,sleeve_multiplier,weighted_notional_fraction,profile_weight_rank
growth_mdd20_gross8_69_asset_relaxed_efficiency_repair_optuna,METAUSDT,tradfi_equity,cross_sectional_momentum_rank,30m,long_short,24,0.1,0.39999999999999997,24,0,8,0.8,0.0518769498362992,0.02491392529446368,0.011380073852272465,0.025657316202584712,6,14,108.07697882562333,22.24457615577114,1.2145483161067454,,tech_growth_qqq,0.0346363411773756,False,train_trade_event_count_6_below_80;validation_trade_event_count_14_below_30,growth_mdd20_gross8_69_asset_profile_optuna,az69_growth_mdd20_gross8_69_asset_profile_optuna_cross_sectional_momentum_rank_30m_metausdt_lb24_th0p1_exit0p4_hold24_cool0_lev8_long_short_089c05c4,-0.6181746474410243,,material_positive_tradfi_low_sample_mdd_guard_20260531,low_train_sample_relaxed_tradfi_mdd_guarded,0.9314659426415162,0.7451727541132129,4
growth_mdd20_gross8_69_asset_relaxed_efficiency_repair_optuna,ADAUSDT,crypto_core,cross_sectional_momentum_rank,2h,short_only,24,0.2,0.65,24,12,8,0.8,0.22089427080739776,0.026745954793611526,0.3897529711225015,0.05912753780819813,171,16,16.14724201808463,20.895277182509002,0.38430651592954446,,crypto_beta_btc,0.029314071317840237,False,validation_trade_event_count_16_below_30,growth_mdd20_gross8_69_asset_profile_optuna,az69_growth_mdd20_gross8_69_asset_profile_optuna_cross_sectional_momentum_rank_2h_adausdt_lb24_th0p2_exit0p65_hold24_cool12_lev8_short_only_c87ef7f0,-3.262328987883685,,material_positive_tradfi_low_sample_mdd_guard_20260531,,0.8861145209306307,0.7088916167445046,5
growth_mdd20_gross8_69_asset_relaxed_efficiency_repair_optuna,TONUSDT,crypto_core,volatility_adjusted_trend_persistence,30m,long_short,48,1.1,0.1,60,9,7,0.7000000000000001,0.5941603890259917,0.9190164830530254,0.33836323023063253,0.16880787810171494,407,44,20.855050509862814,298.38197501721595,7.228763664114464,,energy_crude_beta,0.027352967936484195,False,train_return_below_validation_return_possible_validation_spike,growth_mdd20_gross8_69_asset_profile_optuna,az69_growth_mdd20_gross8_69_asset_profile_optuna_volatility_adjusted_trend_persistence_30m_tonusdt_lb48_th1p1_exit0p1_hold60_cool9_lev7_long_short_03b58684,9.025668801152252,,material_positive_tradfi_low_sample_mdd_guard_20260531,train_below_validation_relaxed_material_positive_mdd_guarded,0.9267099551514587,0.6486969686060211,6
growth_mdd20_gross8_69_asset_relaxed_efficiency_repair_optuna,INTCUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_only,6,0.3,0.5,72,12,4,0.4,0.03887366891650634,0.34703302161616456,0.06567440042656636,0.06330837924957533,30,29,32.39472409708862,299.16639794496945,2.421611541060999,,crypto_beta_btc,0.03873936586308228,False,train_trade_event_count_30_below_80;validation_trade_event_count_29_below_30;train_return_below_validation_return_possible_validation_spike,growth_mdd20_gross8_69_asset_profile_optuna,az69_growth_mdd20_gross8_69_asset_profile_optuna_cross_sectional_momentum_rank_1h_intcusdt_lb6_th0p3_exit0p5_hold72_cool12_lev4_long_only_b3059cfe,2.389825159623614,,material_positive_tradfi_low_sample_mdd_guard_20260531,train_below_validation_relaxed_material_positive_mdd_guarded,0.8940493719926578,0.35761974879706315,7
growth_mdd20_gross8_69_asset_relaxed_efficiency_repair_optuna,BNBUSDT,crypto_core,volatility_adjusted_trend_persistence,30m,long_only,72,1.5,0.35000000000000003,60,6,4,0.4,0.10156475869841342,0.036940935573601674,0.09022543444588904,0.010918919324192089,119,16,21.337134180338953,57.72021183375261,1.1264083491969679,,crypto_liquidity_eth,0.023762043652567868,False,validation_trade_event_count_16_below_30,growth_mdd20_gross8_69_asset_profile_optuna,az69_growth_mdd20_gross8_69_asset_profile_optuna_volatility_adjusted_trend_persistence_30m_bnbusdt_lb72_th1p5_exit0p35_hold60_cool6_lev4_long_only_43849e2d,-0.05109853080687898,,material_positive_tradfi_low_sample_mdd_guard_20260531,,0.7680695002097729,0.3072278000839092,8
growth_mdd20_gross8_69_asset_relaxed_efficiency_repair_optuna,XPDUSDT,tradfi_commodity,cross_sectional_momentum_rank,4h,long_short,72,0.25,0.65,42,12,10,1.0,0.12039211038331188,0.06870317772302714,0.11328920988049807,0.0651066546670237,7,5,171.988729119017,137.4063554460543,2.3366980141451075,,precious_metal_gold,0.08013911468608248,False,train_trade_event_count_7_below_80;validation_trade_event_count_5_below_30,growth_mdd20_gross8_69_asset_profile_optuna,az69_growth_mdd20_gross8_69_asset_profile_optuna_cross_sectional_momentum_rank_4h_xpdusdt_lb72_th0p25_exit0p65_hold42_cool12_lev10_long_short_7b003790,2.7920583335974434,,material_positive_tradfi_low_sample_mdd_guard_20260531,low_train_sample_relaxed_tradfi_mdd_guarded;low_validation_sample_relaxed_tradfi_mdd_guarded,0.29186997420239486,0.29186997420239486,9
growth_mdd20_gross8_69_asset_relaxed_efficiency_repair_optuna,MSTRUSDT,tradfi_equity,cross_sectional_momentum_rank,4h,long_short,72,0.25,0.5,42,6,3,0.30000000000000004,0.02596900326040208,0.04972954838627475,0.0403149975667928,0.037400138295623275,7,7,123.66192028762893,236.80737326797492,2.112831057613389,,us_equity_beta_spy,0.044402390249856045,False,train_trade_event_count_7_below_80;validation_trade_event_count_7_below_30;train_return_below_validation_return_possible_validation_spike,growth_mdd20_gross8_69_asset_profile_optuna,az69_growth_mdd20_gross8_69_asset_profile_optuna_cross_sectional_momentum_rank_4h_mstrusdt_lb72_th0p25_exit0p5_hold42_cool6_lev3_long_short_2f23f336,2.367613391257643,,material_positive_tradfi_low_sample_mdd_guard_20260531,train_below_validation_relaxed_material_positive_mdd_guarded;low_train_sample_relaxed_tradfi_mdd_guarded,0.8787557147363497,0.26362671442090496,10
growth_mdd20_gross8_69_asset_relaxed_efficiency_repair_optuna,AVAXUSDT,crypto_core,volatility_adjusted_trend_persistence,30m,short_only,12,0.9,0.15000000000000002,60,18,2,0.2,0.14515415147691835,0.0319925062657207,0.10923516601892702,0.017757078025148698,453,55,16.02142952283867,29.084096605200635,0.6895690390607478,,high_beta_alt_sol,0.012006394974430989,True,,growth_mdd20_gross8_69_asset_profile_optuna,az69_growth_mdd20_gross8_69_asset_profile_optuna_volatility_adjusted_trend_persistence_30m_avaxusdt_lb12_th0p9_exit0p15_hold60_cool18_lev2_short_only_364ed725,-1.3928894526343636,,material_positive_tradfi_low_sample_mdd_guard_20260531,,0.9247638924078958,0.18495277848157918,11
aggressive_mdd30_gross10_69_asset_relaxed_efficiency_repair_optuna,PLTRUSDT,tradfi_equity,cross_sectional_momentum_rank,4h,long_only,24,0.25,0.5,66,0,10,1.0,0.07002369246427165,0.06278255382770492,0.18968325420138987,0.1805028615523122,3,7,233.41230821423883,89.68936261100703,1.704304621942915,,tech_growth_qqq,0.042434636256345824,False,train_trade_event_count_3_below_80;validation_trade_event_count_7_below_30,aggressive_mdd30_gross10_69_asset_profile_optuna,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cross_sectional_momentum_rank_4h_pltrusdt_lb24_th0p25_exit0p5_hold66_cool0_lev10_long_only_bff8f33f,2.0319261961424933,,material_positive_tradfi_low_sample_mdd_guard_20260531,low_train_sample_relaxed_tradfi_mdd_guarded,0.9998071530823429,0.9998071530823429,1
aggressive_mdd30_gross10_69_asset_relaxed_efficiency_repair_optuna,TONUSDT,crypto_core,volatility_adjusted_trend_persistence,30m,long_only,72,1.7000000000000002,0.55,12,0,9,0.9,0.25639935329271535,0.8335093181293021,0.09931305404557023,0.1625842477511139,100,8,28.488817032523926,1157.6518307351419,4.865304679501577,,tech_growth_qqq,0.010917624787882635,False,validation_trade_event_count_8_below_30;train_return_below_validation_return_possible_validation_spike,aggressive_mdd30_gross10_69_asset_profile_optuna,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_volatility_adjusted_trend_persistence_30m_tonusdt_lb72_th1p7_exit0p55_hold12_cool0_lev9_long_only_2a928fa4,5.627247440974169,,material_positive_tradfi_low_sample_mdd_guard_20260531,train_below_validation_relaxed_material_positive_mdd_guarded,0.999650928648476,0.8996858357836285,2
