profile_id,symbol,asset_group,family,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,integer_leverage,notional_fraction,train_return,validation_return,train_mdd,validation_mdd,train_trade_event_count,validation_trade_event_count,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,train_validation_score,profile_objective_score,dominant_anchor,dominant_anchor_abs_corr,ready_for_paper,rejection_reasons,source_profile_id,source_model_id,live_efficiency_score,efficiency_repair_reasons,relaxed_policy_id,relaxations_applied,sleeve_multiplier,weighted_notional_fraction,profile_weight_rank,profile_kind,gross_notional_fraction,selected_sleeve_count,train_return_stress_15bps_proxy,validation_return_stress_15bps_proxy,train_return_stress_20bps_proxy,validation_return_stress_20bps_proxy,low_sample_notional_share,unguarded_low_sample_notional_share,relaxed_low_sample_notional_share,validation_spike_notional_share,relaxed_validation_spike_notional_share,low_efficiency_notional_share,relaxed_notional_share
balanced_mdd12_gross5_69_asset_relaxed_efficiency_repair_optuna,,,,,,,,,,,,,1.276411009692719,1.0270957867748272,0.14996844875160364,0.08174733482536789,278,128,132.65071671183745,191.9571917625177,17.331974205323405,,,,True,,balanced_mdd12_gross5_69_asset_profile_optuna,,,,material_positive_tradfi_low_sample_mdd_guard_20260531,,,,,per_asset_profile_relaxed_efficiency_repair_optuna,2.793093590175548,7,1.2282992828459838,1.0003425357675528,1.1801875559992483,0.9735892847602784,0.29564128921948585,0.0,0.29564128921948585,0.17870698162509724,0.17870698162509724,0.0,0.29564128921948585
growth_mdd20_gross8_69_asset_relaxed_efficiency_repair_optuna,,,,,,,,,,,,,2.7498783030496288,2.9686752684160225,0.383620358695842,0.184081746007142,1237,214,49.65306785987415,292.9331370848932,42.922098793354166,,,,True,,growth_mdd20_gross8_69_asset_profile_optuna,,,,material_positive_tradfi_low_sample_mdd_guard_20260531,,,,,per_asset_profile_relaxed_efficiency_repair_optuna,5.875312239089809,11,2.4729690986868635,2.9180037175979994,2.1960598943240983,2.8673321667799763,0.6242941952894335,0.0,0.6242941952894335,0.3482693244252094,0.3482693244252094,0.15213564128202936,0.795573044217296
aggressive_mdd30_gross10_69_asset_relaxed_efficiency_repair_optuna,,,,,,,,,,,,,5.55877113735111,5.1848568415063685,0.2770649891993505,0.21247755373620691,852,292,96.70216984133569,286.8935741027166,76.6986253512526,,,,True,,aggressive_mdd30_gross10_69_asset_profile_optuna,,,,material_positive_tradfi_low_sample_mdd_guard_20260531,,,,,per_asset_profile_relaxed_efficiency_repair_optuna,7.254090766316327,12,5.271354053201309,5.094494816882387,4.983936969051507,5.004132792258405,0.2785051764223271,0.0,0.2785051764223271,0.41407958565663283,0.41407958565663283,0.2210837803716447,0.5519062527456154
