decision_rank,model_id,decision,family,symbol,timeframe,train_return,validation_return,locked_oos_return,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons
25,a30fb_voladj_trend_4h_ethusdt_lb6_z1p5_hold12_cool2_adx20_low_vol_q75_3p0x_0p15_445f5c19,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.469843097981296,0.15604478193643145,-0.0824583853571279,False,False,False,validation_mdd_0.1579_above_0.12;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-67.867_not_above_10.000
26,a30fb_voladj_trend_4h_ethusdt_lb6_z2p0_hold8_cool0_adx20_low_vol_q75_3p0x_0p15_8dac0b97,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.22692477414335088,0.14395556633617956,-0.06847576641234088,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-54.346_not_above_10.000
27,a30fb_voladj_trend_1h_ethusdt_lb6_z2p0_hold8_cool0_adx15_3p0x_0p15_a7a51cc3,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,1h,0.1597623777877326,0.15178842498906597,-0.047648144164183615,False,False,False,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_4.740_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-11.146_not_above_10.000
28,a30fb_voladj_trend_4h_ethusdt_lb6_z2p0_hold8_cool2_adx20_low_vol_q75_3p0x_0p15_445f45c1,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.23304142657700178,0.14535152390681838,-0.06847576641234088,False,False,False,validation_mdd_0.1330_above_0.12;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-54.346_not_above_10.000
29,a30fb_ma_slope_adx_6h_bnbusdt_fast12_slow48_adx15p0_2p0x_0p15_44fd2aa6,no_promotion_shadow_or_reject,ma_slope_adx_trend_filter,BNBUSDT,6h,0.10567928316641995,0.1065822736696056,0.006004565716199117,False,False,False,train_trade_event_count_75_below_80;validation_trade_event_count_13_below_30;locked_oos_trade_event_count_11_below_20;train_return_below_validation_return;train_validation_return_ratio_0.9915_below_1.00
30,a30fb_ma_slope_adx_6h_bnbusdt_fast12_slow48_adx15p0_3p0x_0p1_f2c7647a,no_promotion_shadow_or_reject,ma_slope_adx_trend_filter,BNBUSDT,6h,0.10567928316641995,0.10658227366960582,0.006004565716199117,False,False,False,train_trade_event_count_75_below_80;validation_trade_event_count_13_below_30;locked_oos_trade_event_count_11_below_20;train_return_below_validation_return;train_validation_return_ratio_0.9915_below_1.00
31,a30fb_voladj_trend_4h_ethusdt_lb6_z1p5_hold12_cool0_low_vol_q70_3p0x_0p15_ff54045e,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.5151580475492543,0.145843562886959,-0.080741700684834,False,False,False,validation_mdd_0.1533_above_0.12;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-66.454_not_above_10.000
32,a30fb_voladj_trend_4h_solusdt_lb6_z2p0_hold8_cool0_none_3p0x_0p15_324d5d68,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,SOLUSDT,4h,0.15154206959775207,0.12126215403514773,-0.07465884370853049,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-79.004_not_above_10.000
33,a30fb_voladj_trend_4h_bnbusdt_lb6_z1p0_hold4_cool0_adx20_low_vol_q75_3p0x_0p15_44805c63,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,BNBUSDT,4h,0.1296534983200257,0.12499011460182041,-0.07579576770477103,False,False,False,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_6.876_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-33.687_not_above_10.000
34,a30fb_voladj_trend_4h_solusdt_lb6_z2p0_hold8_cool0_adx15_3p0x_0p15_7da92294,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,SOLUSDT,4h,0.1318134933594557,0.12126215403514773,-0.07465884370853049,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-79.004_not_above_10.000
35,a30fb_voladj_trend_4h_ethusdt_lb6_z2p0_hold8_cool2_low_vol_q70_3p0x_0p15_59b88ed3,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.14645362077543456,0.14535152390681838,-0.07848590630840813,False,False,False,validation_mdd_0.1330_above_0.12;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-62.290_not_above_10.000
36,a30fb_voladj_trend_4h_bnbusdt_lb6_z1p0_hold4_cool2_adx20_low_vol_q75_3p0x_0p15_894c7050,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,BNBUSDT,4h,0.1838544535035762,0.12154983253206786,-0.0808741065849915,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-37.442_not_above_10.000
37,a30fb_voladj_trend_4h_ethusdt_lb6_z1p5_hold12_cool0_adx20_low_vol_q75_2p0x_0p15_d4234e7d,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.34243978734976754,0.12351013067499994,-0.05567983986546343,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-68.741_not_above_10.000
38,a30fb_voladj_trend_4h_ethusdt_lb6_z1p5_hold12_cool0_adx20_low_vol_q75_3p0x_0p1_95c23a97,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.3424397873497671,0.12351013067499994,-0.05567983986546343,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-68.741_not_above_10.000
39,a30fb_voladj_trend_1h_ethusdt_lb6_z1p5_hold8_cool0_low_vol_q70_3p0x_0p15_cc24e98f,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,1h,0.2785409375143697,0.14515806254162622,-0.049474691456887876,False,False,False,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_6.110_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-8.393_not_above_10.000
40,a30fb_voladj_trend_4h_solusdt_lb6_z2p0_hold8_cool0_adx20_low_vol_q75_2p0x_0p15_9725f6bc,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,SOLUSDT,4h,0.11018652933961848,0.10610634124952889,-0.019393391282326422,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-30.783_not_above_10.000
41,a30fb_voladj_trend_4h_solusdt_lb6_z2p0_hold8_cool0_adx20_low_vol_q75_3p0x_0p1_44d653ce,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,SOLUSDT,4h,0.11018652933961826,0.10610634124952889,-0.019393391282326422,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-30.783_not_above_10.000
42,a30fb_voladj_trend_4h_ethusdt_lb6_z1p0_hold12_cool2_none_3p0x_0p15_6ef53f13,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.35758113148544335,0.13521514800211532,-0.13022638400896702,False,False,False,validation_mdd_0.1460_above_0.12;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-90.435_not_above_10.000
43,a30fb_voladj_trend_4h_ethusdt_lb6_z1p0_hold12_cool2_adx15_3p0x_0p15_07e42ba2,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.3538360753076306,0.13521514800211532,-0.13022638400896702,False,False,False,validation_mdd_0.1460_above_0.12;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-90.435_not_above_10.000
44,a30fb_voladj_trend_1h_ethusdt_lb6_z1p5_hold8_cool2_adx15_3p0x_0p15_15496d61,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,1h,0.3852336281004871,0.13805094320695677,-0.03325071005588087,False,False,False,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_8.908_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-6.315_not_above_10.000
45,a30fb_donchian_atr_1h_solusdt_lb24_atr0p5_hold12_3p0x_0p15_d39848d5,no_promotion_shadow_or_reject,donchian_atr_volatility_breakout,SOLUSDT,1h,0.15540681650352783,0.29769337419264863,-0.07247126308455876,False,False,False,train_return_below_validation_return;train_validation_return_ratio_0.5220_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-36.602_not_above_10.000
46,a30fb_voladj_trend_1h_ethusdt_lb6_z1p5_hold8_cool0_none_3p0x_0p15_80d7d304,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,1h,0.45241067369356935,0.14061747878037645,-0.0494632853783481,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-9.084_not_above_10.000
47,a30fb_voladj_trend_1h_ethusdt_lb6_z2p0_hold8_cool0_none_3p0x_0p1_451bf79e,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,1h,0.16906443070295274,0.1177916088204023,-0.03177634454995559,False,False,False,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_7.524_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-11.150_not_above_10.000
48,a30fb_voladj_trend_1h_ethusdt_lb6_z2p0_hold8_cool0_none_2p0x_0p15_fddbf5bf,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,1h,0.16906443070295385,0.11779160882040118,-0.03177634454995559,False,False,False,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_7.524_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-11.150_not_above_10.000
49,a30fb_voladj_trend_6h_solusdt_lb24_z1p0_hold8_cool2_none_3p0x_0p15_ef2052f8,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,SOLUSDT,6h,0.12987065263721131,0.1120418392042064,-0.028326625271741124,False,False,False,validation_trade_event_count_17_below_30;locked_oos_trade_event_count_15_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-41.965_not_above_10.000
50,a30fb_voladj_trend_6h_solusdt_lb24_z1p0_hold8_cool0_none_3p0x_0p15_160ba328,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,SOLUSDT,6h,0.12591615198700534,0.1120418392042064,-0.020574037189937444,False,False,False,validation_trade_event_count_17_below_30;locked_oos_trade_event_count_15_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-30.480_not_above_10.000
51,a30fb_voladj_trend_4h_ethusdt_lb6_z2p0_hold8_cool0_low_vol_q70_3p0x_0p15_6c8fd1a9,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.16894205359195236,0.12355396890365267,-0.07848590630840813,False,False,False,validation_mdd_0.1330_above_0.12;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-62.290_not_above_10.000
52,a30fb_voladj_trend_4h_bnbusdt_lb6_z1p0_hold12_cool0_adx20_low_vol_q75_3p0x_0p15_d320b504,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,BNBUSDT,4h,0.2634506915745727,0.10047540367754348,-0.05128692779311539,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-39.300_not_above_10.000
53,a30fb_voladj_trend_4h_ethusdt_lb6_z1p5_hold12_cool2_adx20_low_vol_q75_2p0x_0p15_042316a4,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.3021862653128513,0.10329154735808754,-0.05531549909029898,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-68.291_not_above_10.000
54,a30fb_voladj_trend_4h_ethusdt_lb6_z1p5_hold12_cool2_adx20_low_vol_q75_3p0x_0p1_068bfdda,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.30218626531285064,0.10329154735808754,-0.05531549909029898,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-68.291_not_above_10.000
55,a30fb_voladj_trend_4h_btcusdt_lb12_z1p0_hold4_cool0_low_vol_q70_3p0x_0p15_6ee8568c,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,BTCUSDT,4h,0.1641505744105054,0.10186602158880165,-0.02792265779831138,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-14.430_not_above_10.000
56,a30fb_voladj_trend_1h_ethusdt_lb6_z2p0_hold8_cool2_adx15_3p0x_0p15_969eb4e7,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,1h,0.14219423306504386,0.12371770507632984,-0.026517416829976548,False,False,False,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_4.311_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-6.476_not_above_10.000
57,a30fb_voladj_trend_4h_ethusdt_lb6_z2p0_hold8_cool0_adx20_low_vol_q75_3p0x_0p1_3264ff82,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.15130594599977254,0.09528516440756207,-0.04583136386595166,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-54.561_not_above_10.000
