rank,model_id,family,symbol,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,filter_label,feature_backed,feature_train_coverage,feature_validation_coverage,feature_locked_oos_coverage,max_asof_feature_age_hours,leverage,allocation_fraction,notional_fraction,train_return,validation_return,locked_oos_return,train_mdd,validation_mdd,locked_oos_mdd,train_sharpe,validation_sharpe,locked_oos_sharpe,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,train_exposure_bar_count,validation_exposure_bar_count,locked_oos_exposure_bar_count,train_validation_return_ratio,train_minus_validation_return,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,train_dominant_sample_gate_pass,execution_efficiency_proxy_gate_pass,primary_10bps_promotion_gate_pass,paper_candidate_gate_pass,decision,ready_for_paper,ready_for_real,real_money_execution,replay_live_notional_parity,locked_oos_liquidation_count,locked_oos_account_wipeout_count,rejection_reasons
137,a30fb_voladj_trend_4h_bnbusdt_lb24_z1p5_hold12_cool0_adx20_low_vol_q75_3p0x_0p1_0e17e497,volatility_adjusted_trend_persistence,BNBUSDT,4h,long_short,24,1.5,0.25,12,0,adx20_low_vol_q75,False,,,,,3.0,0.1,0.30000000000000004,0.15341413442710405,0.04523677830795059,-0.015802495960675733,0.06907501348996126,0.03214179999933142,0.017179291015435916,1.6453786576197655,2.509577471403804,-3.0047732895362453,69,20,6,499,164,39,3.3913585397866575,0.10817735611915347,74.11310841889083,75.39463051325097,-87.79164422597628,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_trade_event_count_69_below_80;validation_trade_event_count_20_below_30;locked_oos_trade_event_count_6_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-87.792_not_above_10.000
138,a30fb_voladj_trend_4h_bnbusdt_lb24_z1p5_hold12_cool2_adx20_low_vol_q75_2p0x_0p15_c8d43c17,volatility_adjusted_trend_persistence,BNBUSDT,4h,long_short,24,1.5,0.25,12,2,adx20_low_vol_q75,False,,,,,2.0,0.15,0.3,0.15341413442710405,0.04523677830795059,-0.015802495960675733,0.06907501348996126,0.03214179999933142,0.017179291015435916,1.6453786576197655,2.5095774714038037,-3.004773289536246,69,20,6,499,164,39,3.3913585397866575,0.10817735611915347,74.11310841889085,75.39463051325099,-87.7916442259763,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_trade_event_count_69_below_80;validation_trade_event_count_20_below_30;locked_oos_trade_event_count_6_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-87.792_not_above_10.000
139,a30fb_voladj_trend_4h_bnbusdt_lb24_z1p5_hold12_cool2_adx20_low_vol_q75_3p0x_0p1_00f2bdf7,volatility_adjusted_trend_persistence,BNBUSDT,4h,long_short,24,1.5,0.25,12,2,adx20_low_vol_q75,False,,,,,3.0,0.1,0.30000000000000004,0.15341413442710405,0.04523677830795059,-0.015802495960675733,0.06907501348996126,0.03214179999933142,0.017179291015435916,1.6453786576197655,2.509577471403804,-3.0047732895362453,69,20,6,499,164,39,3.3913585397866575,0.10817735611915347,74.11310841889083,75.39463051325097,-87.79164422597628,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_trade_event_count_69_below_80;validation_trade_event_count_20_below_30;locked_oos_trade_event_count_6_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-87.792_not_above_10.000
140,a30fb_voladj_trend_4h_btcusdt_lb12_z1p0_hold4_cool0_low_vol_q70_3p0x_0p1_153c40a1,volatility_adjusted_trend_persistence,BTCUSDT,4h,long_short,12,1.0,0.25,4,0,low_vol_q70,False,,,,,3.0,0.1,0.30000000000000004,0.10833181346778953,0.06749735772701193,-0.018493954539967716,0.03911980821117922,0.039001975250952725,0.030637082363970225,1.350928969027922,2.6445053967798535,-1.7463633559793057,276,74,43,897,239,130,1.604978581619884,0.0408344557407776,13.083552351182309,30.404215192347714,-14.336398868192026,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-14.336_not_above_10.000
141,a30fb_voladj_trend_4h_btcusdt_lb12_z1p0_hold4_cool0_low_vol_q70_2p0x_0p15_38f52cb3,volatility_adjusted_trend_persistence,BTCUSDT,4h,long_short,12,1.0,0.25,4,0,low_vol_q70,False,,,,,2.0,0.15,0.3,0.1083318134677893,0.06749735772701171,-0.018493954539967716,0.03911980821117922,0.039001975250952725,0.030637082363970225,1.350928969027922,2.6445053967798526,-1.746363355979306,276,74,43,897,239,130,1.604978581619886,0.0408344557407776,13.083552351182284,30.404215192347618,-14.336398868192028,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-14.336_not_above_10.000
142,a30fb_voladj_trend_1h_ethusdt_lb6_z2p0_hold8_cool2_none_2p0x_0p15_c566e427,volatility_adjusted_trend_persistence,ETHUSDT,1h,long_short,6,2.0,0.25,8,2,none,False,,,,,2.0,0.15,0.3,0.08978656126628914,0.09956147556020611,-0.017514477634449688,0.15013704487459067,0.04818504833671433,0.03673401872161042,0.6662561864493051,2.6829461429446364,-1.529163266934745,735,185,91,3628,912,449,0.901820315147841,-0.00977491429391697,4.071952891895199,17.93900460544254,-6.415559573058493,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_below_validation_return;train_validation_return_ratio_0.9018_below_1.00;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_4.072_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-6.416_not_above_10.000
143,a30fb_voladj_trend_1h_ethusdt_lb6_z2p0_hold8_cool2_none_3p0x_0p1_c4c96821,volatility_adjusted_trend_persistence,ETHUSDT,1h,long_short,6,2.0,0.25,8,2,none,False,,,,,3.0,0.1,0.30000000000000004,0.08978656126628803,0.09956147556020634,-0.017514477634449688,0.150137044874591,0.04818504833671422,0.03673401872161042,0.666256186449305,2.682946142944637,-1.529163266934745,735,185,91,3628,912,449,0.9018203151478278,-0.009774914293918302,4.071952891895148,17.93900460544258,-6.415559573058492,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_below_validation_return;train_validation_return_ratio_0.9018_below_1.00;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_4.072_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-6.416_not_above_10.000
144,a30fb_voladj_trend_4h_btcusdt_lb12_z1p0_hold4_cool2_low_vol_q70_3p0x_0p15_0cd8181d,volatility_adjusted_trend_persistence,BTCUSDT,4h,long_short,12,1.0,0.25,4,2,low_vol_q70,False,,,,,3.0,0.15,0.44999999999999996,0.14377726036955707,0.08405170238551318,-0.028169364021638832,0.05756699514374275,0.07890541776944582,0.046353099893401195,1.2140891354228511,2.260520345858469,-1.7636756065133306,266,70,43,866,226,127,1.7105811814507395,0.05972555798404389,12.01146703170903,26.68308012238514,-14.557810863896037,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-14.558_not_above_10.000
145,a30fb_voladj_trend_4h_solusdt_lb6_z2p0_hold8_cool2_none_3p0x_0p15_c722adc0,volatility_adjusted_trend_persistence,SOLUSDT,4h,long_short,6,2.0,0.25,8,2,none,False,,,,,3.0,0.15,0.44999999999999996,0.08121629817178388,0.1067629643850545,-0.07693230859204214,0.25766530100880547,0.0671294923232515,0.08467299182160659,0.4190015545218051,1.9859075100340238,-3.455512058522032,210,50,21,1070,276,109,0.7607160276935244,-0.02554666621327062,8.59431726685544,47.45020639335757,-81.40985036194937,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_below_validation_return;train_validation_return_ratio_0.7607_below_1.00;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_8.594_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-81.410_not_above_10.000
146,a30fb_donchian_atr_30m_ethusdt_lb12_atr0p25_hold12_3p0x_0p15_1aebe5d6,donchian_atr_volatility_breakout,ETHUSDT,30m,long_short,12,0.25,0.0,12,2,btc_regime_mid_exit,False,,,,,3.0,0.15,0.44999999999999996,0.10553599722642892,0.1336897264013308,0.04094226512079757,0.1730181398896622,0.05652993199766998,0.05025531577722564,0.5238776163556851,2.257127040876947,2.1772383279161973,1120,252,134,8713,2019,1047,0.7894099275034373,-0.028153729174901887,2.0939681989370817,11.789217495708186,6.789762043250012,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_below_validation_return;train_validation_return_ratio_0.7894_below_1.00;train_return_per_turnover_proxy_bps_2.094_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_6.790_not_above_10.000
147,a30fb_voladj_trend_4h_ethusdt_lb6_z1p0_hold12_cool2_low_vol_q70_2p0x_0p15_937e0cf3,volatility_adjusted_trend_persistence,ETHUSDT,4h,long_short,6,1.0,0.25,12,2,low_vol_q70,False,,,,,2.0,0.15,0.3,0.44406849111263913,0.07233120997717957,-0.0629478939059962,0.07640914685782418,0.11081866933618023,0.07735083137043608,2.1238200934262856,1.7981840174474832,-3.9781009046321514,233,60,32,1491,382,217,6.139375951995582,0.37173728113545956,63.52911174715867,40.18400554287754,-65.57072281874605,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-65.571_not_above_10.000
148,a30fb_voladj_trend_4h_ethusdt_lb6_z1p0_hold12_cool2_low_vol_q70_3p0x_0p1_7b8ff4c5,volatility_adjusted_trend_persistence,ETHUSDT,4h,long_short,6,1.0,0.25,12,2,low_vol_q70,False,,,,,3.0,0.1,0.30000000000000004,0.4440684911126378,0.07233120997717957,-0.0629478939059962,0.07640914685782418,0.11081866933618023,0.07735083137043608,2.1238200934262856,1.7981840174474832,-3.9781009046321514,233,60,32,1491,382,217,6.1393759519955635,0.37173728113545823,63.52911174715848,40.18400554287753,-65.57072281874603,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-65.571_not_above_10.000
149,a30fb_voladj_trend_4h_bnbusdt_lb6_z1p0_hold4_cool0_low_vol_q70_3p0x_0p15_9abb4db3,volatility_adjusted_trend_persistence,BNBUSDT,4h,long_short,6,1.0,0.25,4,0,low_vol_q70,False,,,,,3.0,0.15,0.44999999999999996,0.07947787437525045,0.096936096261095,-0.062064689620187075,0.16057609728562616,0.03385802323625042,0.06605909543361876,0.5382950532582008,2.533876592374399,-4.410240708978836,423,103,50,1081,277,127,0.8198996807255239,-0.01745822188584456,4.175354577107983,20.91393662591047,-27.584306497860926,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_below_validation_return;train_validation_return_ratio_0.8199_below_1.00;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_4.175_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-27.584_not_above_10.000
150,a30fb_voladj_trend_6h_solusdt_lb6_z1p5_hold4_cool0_low_vol_q70_2p0x_0p15_6e3fc999,volatility_adjusted_trend_persistence,SOLUSDT,6h,long_short,6,1.5,0.25,4,0,low_vol_q70,False,,,,,2.0,0.15,0.3,0.07521217064403074,0.07576880493783111,-0.015220962783772052,0.10717190594833093,0.08649586379773666,0.0499076505797621,0.5748116642612847,2.0476702929574238,-1.0146549659038004,212,56,33,559,147,79,0.9926535162557059,-0.0005566342938003732,11.825812994344458,45.10047912966137,-15.374709882598031,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_below_validation_return;train_validation_return_ratio_0.9927_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-15.375_not_above_10.000
