profile_id,rank,selected_candidate_count,selected_model_ids,leverage_map,gross_notional_fraction,train_return,validation_return,locked_oos_return_report_only,train_mdd,validation_mdd,locked_oos_mdd_report_only,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count_report_only,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps_report_only,train_liquidation_count,validation_liquidation_count,locked_oos_liquidation_count_report_only,train_account_wipeout_count,validation_account_wipeout_count,locked_oos_account_wipeout_count_report_only,train_validation_score,candidate_tier,strict_promotion_profile,paper_testnet_candidate,shadow_gate_pass,promotion_gate_pass,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons,strict_promotion_rejection_reasons
balanced_mdd12_gross5,1,4,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_none_3p0x_0p15_1e40357d;debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb12_e0p03_x-0p005_hold48_cool0_none_3p0x_0p15_d6eac828;a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26;a30fb_voladj_trend_4h_trxusdt_lb6_z1p5_hold12_cool2_adx15_3p0x_0p15_cca555d7,"{""SOLUSDT"": 2, ""TRXUSDT"": 1}",1.0,0.7466849278491126,0.3321534933766208,0.05530047680212835,0.2925308385690246,0.11613374478879657,0.07200251885357589,945,229,100,30.912230505034675,57.022058948776106,22.209026828164,0,0,0,0,0,0,3.496227124630141,strict_promotion_paper_testnet_candidate,True,True,True,True,True,False,False,,
growth_mdd20_gross8,1,4,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_none_3p0x_0p15_1e40357d;a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26;a30fb_asset_diverse_residual_reclaim_2h_ethusdt_btcusdt_lb48_z1p0_hold6_4p0x_0p125_fa49c5d5;a30fb_voladj_trend_4h_trxusdt_lb6_z1p5_hold12_cool2_adx15_3p0x_0p15_cca555d7,"{""ETHUSDT"": 8, ""SOLUSDT"": 4, ""TRXUSDT"": 12}",3.9,2.623353299734717,0.7162910689831974,0.23369519313283416,0.43498737710156254,0.19998294605762046,0.09237073912507565,879,200,104,32.16470450876308,37.71938225293299,23.346173140143275,0,0,0,0,0,0,7.095806340419772,relaxed_paper_testnet_candidate,False,True,True,False,True,False,False,,relaxed_profile_not_strict_12pct_mdd_promotion
aggressive_mdd30_gross10_shadow,1,6,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_none_3p0x_0p15_1e40357d;debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb12_e0p03_x-0p005_hold48_cool0_none_3p0x_0p15_d6eac828;a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26;a30fb_asset_diverse_residual_reclaim_2h_ethusdt_btcusdt_lb48_z1p0_hold6_4p0x_0p125_fa49c5d5;debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p02_x0p005_hold12_cool6_none_4p0x_0p1_b27a86b8;a30fb_voladj_trend_4h_trxusdt_lb6_z1p5_hold12_cool2_adx15_3p0x_0p15_cca555d7,"{""ETHUSDT"": 8, ""SOLUSDT"": 4, ""TRXUSDT"": 12}",4.9,4.384462025211174,1.174976380893983,0.2757720899773306,0.5479880361195086,0.29404394589156757,0.12363018269476478,1539,360,158,38.814288466812805,44.155444603306385,21.8693172067669,0,0,0,0,0,0,11.689930334157077,relaxed_paper_testnet_candidate,False,True,True,False,True,False,False,,relaxed_profile_not_strict_12pct_mdd_promotion
