portfolio_id,selection_policy,sleeve_count,gross_notional_fraction,train_return,validation_return,train_mdd,validation_mdd,train_trade_event_count,validation_trade_event_count,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,top_symbol,top_symbol_share,top_asset_group,top_asset_group_share,effective_symbol_count,ready_for_paper,ready_for_real,real_money_execution,real_execution_allowed
donor_frozen_cold_start_transfer_shadow,donor_frozen_primary,18,1.9999999999999998,0.0,0.316831778816822,0.0,0.10240714739025791,0,340,,83.86723556915878,BABAUSDT,0.05555555555555556,tradfi_equity,0.6666666666666666,18.0,False,False,False,False
validation_oracle_cold_start_upper_bound_shadow,validation_oracle_diagnostic,16,1.7777777777777777,0.0,0.4446773562224682,0.0,0.08176844491779889,0,224,,178.66500919652742,AAPLUSDT,0.0625,tradfi_equity,0.7500000000000001,16.000000000000004,False,False,False,False
