profile_id,symbol,asset_group,family,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,integer_leverage,notional_fraction,train_return,validation_return,train_mdd,validation_mdd,train_trade_event_count,validation_trade_event_count,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,train_validation_score,profile_objective_score,dominant_anchor,dominant_anchor_abs_corr,ready_for_paper,rejection_reasons,sleeve_multiplier,weighted_notional_fraction,profile_weight_rank
balanced_mdd12_gross5_69_asset_profile_optuna,XPTUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,2h,long_short,6,0.8,0.15000000000000002,66,6,6,0.6000000000000001,0.14017114488401283,0.09250314631732937,0.07977724620146509,0.04711156565456576,20,17,116.809287403344,90.68935913463663,2.5313265066701063,1.7615378803545143,precious_metal_gold,0.03359949728957383,False,train_trade_event_count_20_below_80;validation_trade_event_count_17_below_30,0.8937503599493716,0.5362502159696231,1
balanced_mdd12_gross5_69_asset_profile_optuna,GOOGLUSDT,tradfi_equity,volatility_adjusted_trend_persistence,4h,long_only,6,1.1,0.4,60,18,5,0.5,0.03524810115324062,0.1192255914627458,0.01568865347442483,0.028046176811517998,1,8,704.9620230648123,298.0639786568645,2.4190491690826743,0.03491653372474035,us_equity_beta_spy,0.1389417896419326,False,train_trade_event_count_1_below_80;validation_trade_event_count_8_below_30;train_return_below_validation_return_possible_validation_spike,0.8851819095545781,0.44259095477728905,2
balanced_mdd12_gross5_69_asset_profile_optuna,TONUSDT,crypto_core,volatility_adjusted_trend_persistence,2h,long_short,24,2.0,0.05,72,6,4,0.4,0.3114301773141095,0.3090850708968318,0.1393660261404409,0.0783030969110654,72,8,108.1354782340658,965.8908465525993,4.567540230320085,3.739671996672943,high_beta_alt_sol,0.014848062945894538,False,train_trade_event_count_72_below_80;validation_trade_event_count_8_below_30,0.9214501640517389,0.36858006562069556,3
balanced_mdd12_gross5_69_asset_profile_optuna,CRCLUSDT,tradfi_equity,cross_sectional_momentum_rank,30m,long_only,6,0.05,0.6,54,18,4,0.4,0.14273549660626172,0.13614600030266044,0.09957804606034004,0.07802371606600444,42,40,84.96160512277483,85.09125018916278,2.634763850069522,1.8348540508628548,high_beta_alt_sol,0.04367140990893477,False,train_trade_event_count_42_below_80,0.8959940900546873,0.35839763602187497,4
balanced_mdd12_gross5_69_asset_profile_optuna,EWYUSDT,tradfi_etf_index,cross_sectional_momentum_rank,4h,long_short,24,0.3,0.35,60,0,4,0.4,0.008290543451193066,0.19255961144705824,0.04629220890276742,0.054264399467663926,3,9,69.08786209327555,534.8878095751618,2.101353064125015,0.02117805889148694,precious_metal_gold,0.12345472280211724,False,train_trade_event_count_3_below_80;validation_trade_event_count_9_below_30;train_return_below_validation_return_possible_validation_spike,0.8732603588586771,0.3493041435434709,5
balanced_mdd12_gross5_69_asset_profile_optuna,METAUSDT,tradfi_equity,cross_sectional_momentum_rank,2h,long_short,72,0.15000000000000002,0.44999999999999996,54,9,5,0.5,0.005886467726563316,0.04804888135404628,0.00046077930208621165,0.016535391520409504,1,7,117.72935453126632,137.28251815441794,2.060711562647607,-0.3515209009589788,energy_crude_beta,0.07787293838464028,False,train_trade_event_count_1_below_80;validation_trade_event_count_7_below_30;train_return_below_validation_return_possible_validation_spike,0.6888885910928688,0.3444442955464344,6
balanced_mdd12_gross5_69_asset_profile_optuna,COPPERUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,30m,long_short,72,1.2000000000000002,0.1,72,15,5,0.5,0.004385781747489714,0.03686214403616472,0.026648907255256038,0.028573532155053427,17,35,5.1597432323408405,21.06408230637984,0.3018431040762466,-0.7018093815125813,energy_crude_beta,0.023224035156881317,False,train_trade_event_count_17_below_80;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_5.160_not_above_10.000,0.5622284437577615,0.28111422187888074,7
balanced_mdd12_gross5_69_asset_profile_optuna,SOLUSDT,crypto_core,volatility_adjusted_trend_persistence,4h,long_short,48,0.6000000000000001,0.35000000000000003,36,6,3,0.30000000000000004,0.11023611172871739,0.031876838326695855,0.14156879220796292,0.03012614662715185,78,9,47.109449456716824,118.06236417294761,1.6860152341787547,1.0886299962912662,high_beta_alt_sol,0.033978676073108775,False,train_trade_event_count_78_below_80;validation_trade_event_count_9_below_30,0.8845601582391699,0.265368047471751,8
balanced_mdd12_gross5_69_asset_profile_optuna,MSTRUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_only,48,0.05,0.55,12,12,3,0.30000000000000004,0.0009817734730579453,0.02768268011194941,0.0010118158310586933,0.026215516294694097,2,10,16.36289121763242,92.27560037316469,1.146209378136271,-1.05654972900328,energy_crude_beta,0.12638820505927234,False,train_trade_event_count_2_below_80;validation_trade_event_count_10_below_30;train_return_below_validation_return_possible_validation_spike,0.8690923887771679,0.2607277166331504,9
balanced_mdd12_gross5_69_asset_profile_optuna,PAYPUSDT,tradfi_equity,cross_sectional_momentum_rank,4h,short_only,48,0.25,0.65,24,6,4,0.4,0.0031920204691224807,0.011548345718084052,0.01952587620535362,0.05069542337316291,1,6,79.80051172806202,48.11810715868354,1.0522613762078974,-1.606634944660624,tech_growth_qqq,0.0882065855432312,False,train_trade_event_count_1_below_80;validation_trade_event_count_6_below_30;validation_return_0.0115_below_0.02;train_return_below_validation_return_possible_validation_spike,0.6306045252610668,0.25224181010442676,10
balanced_mdd12_gross5_69_asset_profile_optuna,XAGUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,1h,long_only,6,0.8,0.3,48,9,5,0.5,0.1538829362508609,0.07276002798067993,0.16469536482714142,0.05063850187291541,58,37,53.06308146581411,39.329744854421584,1.3678557689223771,0.8242654589082161,silver_metal_beta,0.030776332280309748,False,train_trade_event_count_58_below_80,0.45112882441136953,0.22556441220568477,11
balanced_mdd12_gross5_69_asset_profile_optuna,TRXUSDT,crypto_core,volatility_adjusted_trend_persistence,1h,long_only,6,1.3,0.15000000000000002,30,9,6,0.6000000000000001,0.10163424914604247,0.0037737090694740516,0.12884899193131882,0.03256147721479541,395,54,4.28836494287099,1.1647250214426084,-0.04571790904811314,-2.869853684806793,crypto_liquidity_eth,0.018214731698586496,False,validation_return_0.0038_below_0.02;train_return_per_turnover_proxy_bps_4.288_not_above_10.000;validation_return_per_turnover_proxy_bps_1.165_not_above_10.000,0.3718065045455059,0.22308390272730358,12
balanced_mdd12_gross5_69_asset_profile_optuna,COINUSDT,tradfi_equity,cross_sectional_momentum_rank,4h,long_only,12,0.2,0.39999999999999997,54,12,4,0.4,0.09197936486575498,0.04535095836509617,0.04073100032348187,0.05889406757893867,7,9,328.4977316634106,125.97488434748936,2.1397022785971034,0.24351894891705084,energy_crude_beta,0.05876326666204457,False,train_trade_event_count_7_below_80;validation_trade_event_count_9_below_30,0.5049583532089085,0.2019833412835634,13
balanced_mdd12_gross5_69_asset_profile_optuna,ADAUSDT,crypto_core,cross_sectional_momentum_rank,4h,short_only,6,0.05,0.39999999999999997,42,18,3,0.30000000000000004,0.17947479293710078,0.017305400855920583,0.1307874611353096,0.030440253935924422,64,7,93.47645465473998,82.40667074247895,1.7372404227601472,0.8393352891084358,us_equity_beta_spy,0.032278410764497015,False,train_trade_event_count_64_below_80;validation_trade_event_count_7_below_30;validation_return_0.0173_below_0.02,0.6307052604572487,0.18921157813717465,14
balanced_mdd12_gross5_69_asset_profile_optuna,TSLAUSDT,tradfi_equity,cross_sectional_momentum_rank,30m,long_only,48,0.05,0.55,48,18,3,0.30000000000000004,0.0016511549536371017,0.012574609246837953,0.0065714749310401555,0.012716192709177565,2,10,27.519249227285027,41.9153641561265,0.6926449093978921,-1.5968305708706414,tech_growth_qqq,0.04044674298268112,False,train_trade_event_count_2_below_80;validation_trade_event_count_10_below_30;validation_return_0.0126_below_0.02;train_return_below_validation_return_possible_validation_spike,0.610755521877004,0.18322665656310122,15
