profile_id,symbol,asset_group,family,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,integer_leverage,notional_fraction,train_return,validation_return,train_mdd,validation_mdd,train_trade_event_count,validation_trade_event_count,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,train_validation_score,profile_objective_score,dominant_anchor,dominant_anchor_abs_corr,ready_for_paper,rejection_reasons,sleeve_multiplier,weighted_notional_fraction,profile_weight_rank,gross_notional_fraction,selected_sleeve_count
balanced_mdd12_gross5_69_asset_profile_optuna,,,,,,,,,,,,,1.6033158296248917,1.5007260523034613,0.1533707598404519,0.07563370600266262,1518,516,69.40443601127973,152.18088617000012,16.1582682058056,16.785722155330486,,,True,,,,,5.0,22
growth_mdd20_gross8_69_asset_profile_optuna,,,,,,,,,,,,,1.7486739365380952,14.338164190649701,0.2430862547516277,0.17628136806779282,2336,818,38.25198279942434,594.8550221095211,30.9028121713293,81.82509166115078,,,False,,,,,8.0,30
aggressive_mdd30_gross10_69_asset_profile_optuna,,,,,,,,,,,,,2.185344253135013,14.974011120086724,0.2561592069649635,0.18191080375321156,3208,1256,43.71719869794328,642.9389265482706,35.64698358405434,87.4086070507273,,,False,,,,,10.0,45
