shadow_group,rank,model_id,candidate_name,variant_name,leverage,allocation_fraction,validation_return,validation_mdd,validation_trade_event_count,train_return,locked_oos_return,locked_oos_mdd,locked_oos_trade_event_count,locked_oos_liquidation_count,primary_10bps_promotion_gate_pass,live_promotable_10bps,gate_reasons,trade_filter_params,shadow_status
conservative_exit_rescue_hypothesis,11,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p125alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,abs_score_ge_1.5,6.0,0.125,0.19231194941198448,0.060654161600529596,103,0.05206904998058137,-0.029863887006076006,0.0917816677940805,56,0.0,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,"{""abs_factor_score_min"": 1.5}",shadow_only_locked_oos_negative
conservative_exit_rescue_hypothesis,12,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p15alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,abs_score_ge_1.5,5.0,0.15,0.19231194941198448,0.060654161600529596,103,0.05206904998058137,-0.029863887006076006,0.0917816677940805,56,0.0,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,"{""abs_factor_score_min"": 1.5}",shadow_only_locked_oos_negative
side_family_threshold_hypothesis,1,fresh_tv10_filter_side_long_family_volume_vwap_pressure_alpha_zoo_slow_residual_pair_7p0x_0p15alloc,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure,7.0,0.15,0.059487474858140876,0.0034852986610939595,7,0.08254419132066326,-0.045443744460018864,0.04546871173748768,11,0.0,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",shadow_only_locked_oos_negative
side_family_threshold_hypothesis,2,fresh_tv10_filter_side_long_family_volume_vwap_pressure_alpha_zoo_slow_residual_pair_6p0x_0p175alloc,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure,6.0,0.175,0.059487474858140876,0.0034852986610939595,7,0.08254419132066326,-0.045443744460018864,0.04546871173748768,11,0.0,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",shadow_only_locked_oos_negative
side_family_threshold_hypothesis,3,fresh_tv10_filter_side_long_family_volume_vwap_pressure_alpha_zoo_slow_residual_pair_5p0x_0p2alloc,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure,5.0,0.2,0.05661752692910649,0.003319347920857241,7,0.07876404323964259,-0.04331853057457047,0.043342361903633386,11,0.0,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",shadow_only_locked_oos_negative
side_family_threshold_hypothesis,4,fresh_tv10_filter_side_long_family_volume_vwap_pressure_alpha_zoo_slow_residual_pair_6p0x_0p15alloc,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure,6.0,0.15,0.05088881412179247,0.002987441681582055,7,0.07115704701959058,-0.03905656898441001,0.03907811278472817,11,0.0,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",shadow_only_locked_oos_negative
side_family_threshold_hypothesis,5,fresh_tv10_filter_side_long_family_volume_vwap_pressure_alpha_zoo_slow_residual_pair_7p0x_0p125alloc,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure,7.0,0.125,0.04945896493050084,0.002904464130346505,7,0.06924562918173138,-0.03798867174090448,0.03800964039198118,11,0.0,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",shadow_only_locked_oos_negative
side_family_threshold_hypothesis,6,fresh_tv10_filter_side_long_family_volume_vwap_pressure_alpha_zoo_slow_residual_pair_5p0x_0p175alloc,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure,5.0,0.175,0.04945896493050084,0.002904464130346505,7,0.06924562918173138,-0.03798867174090448,0.03800964039198118,11,0.0,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",shadow_only_locked_oos_negative
side_family_threshold_hypothesis,7,fresh_tv10_filter_side_long_family_volume_vwap_pressure_alpha_zoo_slow_residual_pair_4p0x_0p2alloc,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure,4.0,0.2,0.045175004804098196,0.0026555290972381193,7,0.06348833786705899,-0.03477919268542651,0.03479842801924515,11,0.0,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",shadow_only_locked_oos_negative
side_family_threshold_hypothesis,8,fresh_tv10_filter_side_long_family_volume_vwap_pressure_alpha_zoo_slow_residual_pair_6p0x_0p125alloc,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure,6.0,0.125,0.042323686227662805,0.0024895704256651693,7,0.05963105104958322,-0.032634710393148136,0.03265278360626567,11,0.0,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",shadow_only_locked_oos_negative
side_family_threshold_hypothesis,9,fresh_tv10_filter_side_long_family_volume_vwap_pressure_alpha_zoo_slow_residual_pair_5p0x_0p15alloc,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure,5.0,0.15,0.042323686227662805,0.0024895704256651693,7,0.05963105104958322,-0.032634710393148136,0.03265278360626567,11,0.0,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",shadow_only_locked_oos_negative
side_family_threshold_hypothesis,10,fresh_tv10_filter_side_long_family_volume_vwap_pressure_alpha_zoo_slow_residual_pair_7p0x_0p1alloc,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure,7.0,0.1,0.03947609024717402,0.002323610167824932,7,0.05575858942247991,-0.030486358060187624,0.030503263875159115,11,0.0,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",shadow_only_locked_oos_negative
side_family_threshold_hypothesis,11,fresh_tv10_filter_side_long_family_volume_vwap_pressure_alpha_zoo_slow_residual_pair_4p0x_0p175alloc,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure,4.0,0.175,0.03947609024717402,0.002323610167824932,7,0.05575858942247991,-0.030486358060187624,0.030503263875159115,11,0.0,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",shadow_only_locked_oos_negative
side_family_threshold_hypothesis,12,fresh_tv10_filter_side_long_family_volume_vwap_pressure_alpha_zoo_slow_residual_pair_5p0x_0p125alloc,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure,5.0,0.125,0.03521167374262846,0.002074666806813473,7,0.04992163212188783,-0.027256561275934343,0.027271706066987478,11,0.0,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",shadow_only_locked_oos_negative
