decision_rank,model_id,decision,family,symbol,timeframe,train_return,validation_return,locked_oos_return,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons,booster_train_validation_score,validation_first_half_return,validation_second_half_return,validation_min_half_return,booster_target_gate_pass,booster_target_reasons
159,a30fb_booster_rs_chandelier_2h_ethusdt_lb24_atr0p5_rel0p0_trail3p0_hold18_4p0x_0p15_396ba64c,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,2h,0.3481899370755952,0.12662167088676868,-0.13989964476158623,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-105.985_not_above_10.000,1.3782741817559845,0.09569359635550923,0.028226937379328687,0.028226937379328687,False,locked_oos_return_-0.1399_below_preferred_0.03;validation_mdd_0.1135_above_preferred_0.10;locked_oos_rpt_-105.985_below_preferred_20bps
160,a30fb_booster_rs_chandelier_1h_solusdt_lb36_atr0p5_rel0p01_trail3p0_hold6_4p0x_0p125_c1a18d1e,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,1h,0.11949296932103715,0.21925539859311738,-0.04472418326704297,False,False,False,locked_oos_trade_event_count_19_below_20;train_return_below_validation_return;train_validation_return_ratio_0.5450_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-47.078_not_above_10.000,1.3767596056166456,0.08828783203305135,0.12034276475865857,0.08828783203305135,False,locked_oos_return_-0.0447_below_preferred_0.03;locked_oos_trade_event_count_19_below_20;train_rpt_10.213_below_preferred_20bps;locked_oos_rpt_-47.078_below_preferred_20bps
161,a30fb_booster_rs_chandelier_1h_solusdt_lb36_atr0p5_rel0p01_trail3p0_hold6_5p0x_0p1_046f43d8,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,1h,0.11949296932103715,0.21925539859311738,-0.04472418326704297,False,False,False,locked_oos_trade_event_count_19_below_20;train_return_below_validation_return;train_validation_return_ratio_0.5450_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-47.078_not_above_10.000,1.3767596056166456,0.08828783203305135,0.12034276475865857,0.08828783203305135,False,locked_oos_return_-0.0447_below_preferred_0.03;locked_oos_trade_event_count_19_below_20;train_rpt_10.213_below_preferred_20bps;locked_oos_rpt_-47.078_below_preferred_20bps
162,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p01_trail2p0_hold12_4p0x_0p15_c8089758,train_dominant_shadow_until_execution_efficiency,relative_strength_chandelier_breakout,SOLUSDT,2h,0.15550434340906039,0.15137931648273129,0.060619594899284035,False,False,False,train_return_per_turnover_proxy_bps_9.062_not_above_10.000,1.3749555542843797,0.1468251949242909,0.0039710686324263555,0.0039710686324263555,False,validation_mdd_0.1045_above_preferred_0.10;train_rpt_9.062_below_preferred_20bps
163,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p01_trail3p0_hold12_4p0x_0p15_2c900424,train_dominant_shadow_until_execution_efficiency,relative_strength_chandelier_breakout,SOLUSDT,2h,0.15478825621032666,0.15137931648273129,0.060619594899284035,False,False,False,train_return_per_turnover_proxy_bps_9.020_not_above_10.000,1.3747886341914348,0.1468251949242909,0.0039710686324263555,0.0039710686324263555,False,validation_mdd_0.1045_above_preferred_0.10;train_rpt_9.020_below_preferred_20bps
164,a30fb_booster_rs_chandelier_2h_solusdt_lb24_atr0p5_rel0p005_trail2p0_hold18_4p0x_0p15_9e95ac58,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,2h,0.20248160083623823,0.14319583123252477,-0.00933430223892362,False,False,False,locked_oos_trade_event_count_13_below_20;validation_mdd_0.1265_above_0.12;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-11.967_not_above_10.000,1.371510229134746,0.1477448994420072,-0.003963483707654425,-0.003963483707654425,False,locked_oos_return_-0.0093_below_preferred_0.03;validation_mdd_0.1265_above_preferred_0.10;locked_oos_trade_event_count_13_below_20;validation_min_half_return_-0.0040_below_0;locked_oos_rpt_-11.967_below_preferred_20bps
165,a30fb_booster_rs_chandelier_30m_ethusdt_lb12_atr0p25_rel0p005_trail2p0_hold18_4p0x_0p125_9623b022,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,30m,0.36415555516153697,0.1505251684203215,-0.028645309258735985,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-9.240_not_above_10.000,1.3705755515070686,0.030261777384540167,0.11673090633439531,0.030261777384540167,False,locked_oos_return_-0.0286_below_preferred_0.03;train_rpt_10.679_below_preferred_20bps;locked_oos_rpt_-9.240_below_preferred_20bps
166,a30fb_booster_rs_chandelier_30m_ethusdt_lb12_atr0p25_rel0p005_trail2p0_hold18_5p0x_0p1_7b001d42,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,30m,0.36415555516153697,0.1505251684203215,-0.028645309258735985,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-9.240_not_above_10.000,1.3705755515070686,0.030261777384540167,0.11673090633439531,0.030261777384540167,False,locked_oos_return_-0.0286_below_preferred_0.03;train_rpt_10.679_below_preferred_20bps;locked_oos_rpt_-9.240_below_preferred_20bps
167,a30fb_booster_rs_chandelier_2h_solusdt_lb24_atr0p5_rel0p005_trail3p0_hold18_4p0x_0p15_a807a304,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,2h,0.19389550686685064,0.14319583123252477,-0.00933430223892362,False,False,False,locked_oos_trade_event_count_13_below_20;validation_mdd_0.1265_above_0.12;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-11.967_not_above_10.000,1.3678409582076574,0.1477448994420072,-0.003963483707654425,-0.003963483707654425,False,locked_oos_return_-0.0093_below_preferred_0.03;validation_mdd_0.1265_above_preferred_0.10;locked_oos_trade_event_count_13_below_20;validation_min_half_return_-0.0040_below_0;locked_oos_rpt_-11.967_below_preferred_20bps
168,a30fb_booster_rs_chandelier_1h_ethusdt_lb36_atr0p25_rel0p0_trail3p0_hold12_4p0x_0p15_5af67468,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,1h,0.20180720302160715,0.13717173970701113,-0.14028059567150875,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-64.945_not_above_10.000,1.3646898425336635,0.04581181971969417,0.08735789581322617,0.04581181971969417,False,locked_oos_return_-0.1403_below_preferred_0.03;train_rpt_10.850_below_preferred_20bps;locked_oos_rpt_-64.945_below_preferred_20bps
169,a30fb_booster_rs_chandelier_2h_ethusdt_lb24_atr0p25_rel0p0_trail3p0_hold6_3p0x_0p15_32251eb1,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,2h,0.12006510720298036,0.12859489606813201,-0.08945196900697194,False,False,False,train_return_below_validation_return;train_validation_return_ratio_0.9337_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-56.795_not_above_10.000,1.3630284061229079,0.11213636153461803,0.014799025643585928,0.014799025643585928,False,locked_oos_return_-0.0895_below_preferred_0.03;train_rpt_12.019_below_preferred_20bps;locked_oos_rpt_-56.795_below_preferred_20bps
170,a30fb_booster_rs_chandelier_2h_ethusdt_lb24_atr0p25_rel0p0_trail2p0_hold18_3p0x_0p15_527abaf8,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,2h,0.16499793848530153,0.12060745742196444,-0.1479404782156739,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-121.762_not_above_10.000,1.3629720501507048,0.07248319334470454,0.04487181186231659,0.04487181186231659,False,locked_oos_return_-0.1479_below_preferred_0.03;locked_oos_rpt_-121.762_below_preferred_20bps
171,a30fb_booster_rs_chandelier_2h_ethusdt_lb24_atr0p5_rel0p0_trail3p0_hold6_3p0x_0p15_7741c9f2,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,2h,0.29389625752481363,0.11133317314350677,-0.05804507510443735,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-53.745_not_above_10.000,1.3554962701284756,0.11618330781000963,-0.004345285073308891,-0.004345285073308891,False,locked_oos_return_-0.0580_below_preferred_0.03;validation_min_half_return_-0.0043_below_0;locked_oos_rpt_-53.745_below_preferred_20bps
172,a30fb_booster_rs_chandelier_1h_solusdt_lb36_atr0p5_rel0p005_trail3p0_hold12_3p0x_0p1_03a544bd,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,1h,0.10762621863702448,0.14323804930951067,-0.042135961864564475,False,False,False,train_return_below_validation_return;train_validation_return_ratio_0.7514_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-61.067_not_above_10.000,1.3505335469316917,0.06071728723953429,0.07779713130228405,0.06071728723953429,False,locked_oos_return_-0.0421_below_preferred_0.03;train_rpt_15.201_below_preferred_20bps;locked_oos_rpt_-61.067_below_preferred_20bps
173,a30fb_booster_rs_chandelier_1h_solusdt_lb36_atr0p5_rel0p005_trail3p0_hold12_2p0x_0p15_b7f20919,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,1h,0.10762621863702404,0.1432380493095109,-0.0421359618645647,False,False,False,train_return_below_validation_return;train_validation_return_ratio_0.7514_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-61.067_not_above_10.000,1.3505335469316873,0.06071728723953451,0.07779713130228405,0.06071728723953451,False,locked_oos_return_-0.0421_below_preferred_0.03;train_rpt_15.201_below_preferred_20bps;locked_oos_rpt_-61.067_below_preferred_20bps
174,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p5_rel0p015_trail2p0_hold12_4p0x_0p15_baec7e4e,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,2h,0.2705617778938685,0.11356067575895623,-0.0320293777399383,False,False,False,locked_oos_trade_event_count_18_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-29.657_not_above_10.000,1.3503380812982493,0.056962671491922245,0.05354777968378488,0.05354777968378488,False,locked_oos_return_-0.0320_below_preferred_0.03;locked_oos_trade_event_count_18_below_20;locked_oos_rpt_-29.657_below_preferred_20bps
175,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p5_rel0p015_trail3p0_hold12_4p0x_0p15_d75e2156,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,2h,0.269774387496305,0.11356067575895623,-0.0320293777399383,False,False,False,locked_oos_trade_event_count_18_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-29.657_not_above_10.000,1.3500756178323945,0.056962671491922245,0.05354777968378488,0.05354777968378488,False,locked_oos_return_-0.0320_below_preferred_0.03;locked_oos_trade_event_count_18_below_20;locked_oos_rpt_-29.657_below_preferred_20bps
176,a30fb_booster_rs_chandelier_2h_ethusdt_lb36_atr0p5_rel0p005_trail2p0_hold6_3p0x_0p15_09fb202f,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,2h,0.24382124372371305,0.10070662451655776,-0.05935417004692867,False,False,False,validation_trade_event_count_22_below_30;locked_oos_trade_event_count_16_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-82.436_not_above_10.000,1.3483271024125527,0.09002144949407653,0.00980271996247506,0.00980271996247506,False,locked_oos_return_-0.0594_below_preferred_0.03;locked_oos_trade_event_count_16_below_20;locked_oos_rpt_-82.436_below_preferred_20bps
177,a30fb_booster_rs_chandelier_30m_ethusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p15_1c443e72,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,30m,0.40606500010070334,0.1581984005279644,-0.03452358169094982,False,False,False,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_9.967_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-9.281_not_above_10.000,1.3482359685655163,0.015170597350330217,0.14089041147462456,0.015170597350330217,False,locked_oos_return_-0.0345_below_preferred_0.03;train_rpt_9.967_below_preferred_20bps;validation_rpt_19.975_below_preferred_20bps;locked_oos_rpt_-9.281_below_preferred_20bps
178,a30fb_booster_rs_chandelier_1h_ethusdt_lb36_atr0p5_rel0p015_trail3p0_hold18_4p0x_0p15_d3174ebf,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,1h,0.12082506403579973,0.14860104390149242,-0.04586212077119989,False,False,False,validation_trade_event_count_28_below_30;locked_oos_trade_event_count_10_below_20;train_return_below_validation_return;train_validation_return_ratio_0.8131_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-76.437_not_above_10.000,1.3432461588550901,0.044416655855433085,0.0997536638868779,0.044416655855433085,False,locked_oos_return_-0.0459_below_preferred_0.03;locked_oos_trade_event_count_10_below_20;train_rpt_11.442_below_preferred_20bps;locked_oos_rpt_-76.437_below_preferred_20bps
179,a30fb_booster_rs_chandelier_1h_ethusdt_lb36_atr0p5_rel0p005_trail2p0_hold18_3p0x_0p15_b799d72b,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,1h,0.1305750978706468,0.11750076349198779,-0.06374662202442194,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-70.830_not_above_10.000,1.3426779628872711,0.07909700926174423,0.03558878757019146,0.03558878757019146,False,locked_oos_return_-0.0637_below_preferred_0.03;train_rpt_13.189_below_preferred_20bps;locked_oos_rpt_-70.830_below_preferred_20bps
