rank,model_id,family,symbol,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,filter_label,feature_backed,feature_train_coverage,feature_validation_coverage,feature_locked_oos_coverage,max_asof_feature_age_hours,leverage,allocation_fraction,notional_fraction,train_return,validation_return,locked_oos_return,train_mdd,validation_mdd,locked_oos_mdd,train_sharpe,validation_sharpe,locked_oos_sharpe,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,train_exposure_bar_count,validation_exposure_bar_count,locked_oos_exposure_bar_count,train_validation_return_ratio,train_minus_validation_return,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,train_dominant_sample_gate_pass,execution_efficiency_proxy_gate_pass,primary_10bps_promotion_gate_pass,paper_candidate_gate_pass,decision,ready_for_paper,ready_for_real,real_money_execution,replay_live_notional_parity,locked_oos_liquidation_count,locked_oos_account_wipeout_count,rejection_reasons,booster_train_validation_score,validation_first_half_return,validation_second_half_return,validation_min_half_return,booster_target_gate_pass,booster_target_reasons
160,a30fb_booster_rs_chandelier_1h_solusdt_lb36_atr0p5_rel0p01_trail3p0_hold6_4p0x_0p125_c1a18d1e,relative_strength_chandelier_breakout,SOLUSDT,1h,long_short,36,0.01,-0.005,6,2,adx15_btc_regime_atr0.5_trail3.0,False,,,,,4.0,0.125,0.5,0.11949296932103715,0.21925539859311738,-0.04472418326704297,0.16652048734817815,0.03781282703491684,0.05007160078216666,0.6186673019413583,4.1936506028843885,-3.8985793827463473,234,44,19,1948,412,177,0.5449944224305551,-0.09976242927208023,10.213074300943346,99.66154481505336,-47.07808764951892,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_trade_event_count_19_below_20;train_return_below_validation_return;train_validation_return_ratio_0.5450_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-47.078_not_above_10.000,1.3767596056166456,0.08828783203305135,0.12034276475865857,0.08828783203305135,False,locked_oos_return_-0.0447_below_preferred_0.03;locked_oos_trade_event_count_19_below_20;train_rpt_10.213_below_preferred_20bps;locked_oos_rpt_-47.078_below_preferred_20bps
161,a30fb_booster_rs_chandelier_1h_solusdt_lb36_atr0p5_rel0p01_trail3p0_hold6_5p0x_0p1_046f43d8,relative_strength_chandelier_breakout,SOLUSDT,1h,long_short,36,0.01,-0.005,6,2,adx15_btc_regime_atr0.5_trail3.0,False,,,,,5.0,0.1,0.5,0.11949296932103715,0.21925539859311738,-0.04472418326704297,0.16652048734817815,0.03781282703491684,0.05007160078216666,0.6186673019413583,4.1936506028843885,-3.8985793827463473,234,44,19,1948,412,177,0.5449944224305551,-0.09976242927208023,10.213074300943346,99.66154481505336,-47.07808764951892,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_trade_event_count_19_below_20;train_return_below_validation_return;train_validation_return_ratio_0.5450_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-47.078_not_above_10.000,1.3767596056166456,0.08828783203305135,0.12034276475865857,0.08828783203305135,False,locked_oos_return_-0.0447_below_preferred_0.03;locked_oos_trade_event_count_19_below_20;train_rpt_10.213_below_preferred_20bps;locked_oos_rpt_-47.078_below_preferred_20bps
162,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p01_trail2p0_hold12_4p0x_0p15_c8089758,relative_strength_chandelier_breakout,SOLUSDT,2h,long_short,12,0.01,-0.005,12,2,adx15_btc_regime_atr0.25_trail2.0,False,,,,,4.0,0.15,0.6,0.15550434340906039,0.15137931648273129,0.060619594899284035,0.26568724284010115,0.1045273272508731,0.028299357827123783,0.5777580619828723,2.126187567331269,2.532193034974542,286,57,26,2147,432,184,1.0272496072922859,0.004125026926329101,9.062024674187668,44.26295803588635,38.85871467902823,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.6, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.6, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_per_turnover_proxy_bps_9.062_not_above_10.000,1.3749555542843797,0.1468251949242909,0.0039710686324263555,0.0039710686324263555,False,validation_mdd_0.1045_above_preferred_0.10;train_rpt_9.062_below_preferred_20bps
163,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p01_trail3p0_hold12_4p0x_0p15_2c900424,relative_strength_chandelier_breakout,SOLUSDT,2h,long_short,12,0.01,-0.005,12,2,adx15_btc_regime_atr0.25_trail3.0,False,,,,,4.0,0.15,0.6,0.15478825621032666,0.15137931648273129,0.060619594899284035,0.2661423099008774,0.1045273272508731,0.028299357827123783,0.5760592564012152,2.126187567331269,2.532193034974542,286,57,26,2148,432,184,1.0225191909093092,0.0034089397275953726,9.020294650951437,44.26295803588635,38.85871467902823,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.6, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.6, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_per_turnover_proxy_bps_9.020_not_above_10.000,1.3747886341914348,0.1468251949242909,0.0039710686324263555,0.0039710686324263555,False,validation_mdd_0.1045_above_preferred_0.10;train_rpt_9.020_below_preferred_20bps
164,a30fb_booster_rs_chandelier_2h_solusdt_lb24_atr0p5_rel0p005_trail2p0_hold18_4p0x_0p15_9e95ac58,relative_strength_chandelier_breakout,SOLUSDT,2h,long_short,24,0.005,-0.005,18,2,adx15_btc_regime_atr0.5_trail2.0,False,,,,,4.0,0.15,0.6,0.20248160083623823,0.14319583123252477,-0.00933430223892362,0.15047452209612489,0.12649029312652482,0.06991527329118341,0.7249958078960707,2.1402866952127892,-0.36492952401460454,156,36,13,1609,398,184,1.4140188236865905,0.059285769603713456,21.632649661991266,66.29436631135407,-11.96705415246618,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.6, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.6, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_trade_event_count_13_below_20;validation_mdd_0.1265_above_0.12;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-11.967_not_above_10.000,1.371510229134746,0.1477448994420072,-0.003963483707654425,-0.003963483707654425,False,locked_oos_return_-0.0093_below_preferred_0.03;validation_mdd_0.1265_above_preferred_0.10;locked_oos_trade_event_count_13_below_20;validation_min_half_return_-0.0040_below_0;locked_oos_rpt_-11.967_below_preferred_20bps
165,a30fb_booster_rs_chandelier_30m_ethusdt_lb12_atr0p25_rel0p005_trail2p0_hold18_4p0x_0p125_9623b022,relative_strength_chandelier_breakout,ETHUSDT,30m,long_short,12,0.005,-0.005,18,2,adx15_btc_regime_atr0.25_trail2.0,False,,,,,4.0,0.125,0.5,0.36415555516153697,0.1505251684203215,-0.028645309258735985,0.18265082160788393,0.06638580469158961,0.04794991681044247,1.3288772468476486,2.501089133958659,-1.6947493637217024,682,132,62,7024,1455,667,2.41923366692194,0.21363038674121548,10.679048538461494,22.80684370004871,-9.240422341527736,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-9.240_not_above_10.000,1.3705755515070686,0.030261777384540167,0.11673090633439531,0.030261777384540167,False,locked_oos_return_-0.0286_below_preferred_0.03;train_rpt_10.679_below_preferred_20bps;locked_oos_rpt_-9.240_below_preferred_20bps
166,a30fb_booster_rs_chandelier_30m_ethusdt_lb12_atr0p25_rel0p005_trail2p0_hold18_5p0x_0p1_7b001d42,relative_strength_chandelier_breakout,ETHUSDT,30m,long_short,12,0.005,-0.005,18,2,adx15_btc_regime_atr0.25_trail2.0,False,,,,,5.0,0.1,0.5,0.36415555516153697,0.1505251684203215,-0.028645309258735985,0.18265082160788393,0.06638580469158961,0.04794991681044247,1.3288772468476486,2.501089133958659,-1.6947493637217024,682,132,62,7024,1455,667,2.41923366692194,0.21363038674121548,10.679048538461494,22.80684370004871,-9.240422341527736,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-9.240_not_above_10.000,1.3705755515070686,0.030261777384540167,0.11673090633439531,0.030261777384540167,False,locked_oos_return_-0.0286_below_preferred_0.03;train_rpt_10.679_below_preferred_20bps;locked_oos_rpt_-9.240_below_preferred_20bps
167,a30fb_booster_rs_chandelier_2h_solusdt_lb24_atr0p5_rel0p005_trail3p0_hold18_4p0x_0p15_a807a304,relative_strength_chandelier_breakout,SOLUSDT,2h,long_short,24,0.005,-0.005,18,2,adx15_btc_regime_atr0.5_trail3.0,False,,,,,4.0,0.15,0.6,0.19389550686685064,0.14319583123252477,-0.00933430223892362,0.15047452209612489,0.12649029312652482,0.06991527329118341,0.7027265205102701,2.1402866952127892,-0.36492952401460454,156,36,13,1617,398,184,1.3540583213766786,0.05069967563432587,20.715331930219087,66.29436631135407,-11.96705415246618,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.6, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.6, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_trade_event_count_13_below_20;validation_mdd_0.1265_above_0.12;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-11.967_not_above_10.000,1.3678409582076574,0.1477448994420072,-0.003963483707654425,-0.003963483707654425,False,locked_oos_return_-0.0093_below_preferred_0.03;validation_mdd_0.1265_above_preferred_0.10;locked_oos_trade_event_count_13_below_20;validation_min_half_return_-0.0040_below_0;locked_oos_rpt_-11.967_below_preferred_20bps
168,a30fb_booster_rs_chandelier_1h_ethusdt_lb36_atr0p25_rel0p0_trail3p0_hold12_4p0x_0p15_5af67468,relative_strength_chandelier_breakout,ETHUSDT,1h,long_short,36,0.0,-0.005,12,2,adx15_btc_regime_atr0.25_trail3.0,False,,,,,4.0,0.15,0.6,0.20180720302160715,0.13717173970701113,-0.14028059567150875,0.151807800802931,0.06853167400141824,0.14244499274493228,0.8210453326769458,2.244764336888397,-7.637330185010465,310,62,36,2775,632,321,1.4712010174446477,0.06463546331459602,10.849849624817589,36.87412357715353,-64.9447202182911,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.6, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.6, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-64.945_not_above_10.000,1.3646898425336635,0.04581181971969417,0.08735789581322617,0.04581181971969417,False,locked_oos_return_-0.1403_below_preferred_0.03;train_rpt_10.850_below_preferred_20bps;locked_oos_rpt_-64.945_below_preferred_20bps
169,a30fb_booster_rs_chandelier_2h_ethusdt_lb24_atr0p25_rel0p0_trail3p0_hold6_3p0x_0p15_32251eb1,relative_strength_chandelier_breakout,ETHUSDT,2h,long_short,24,0.0,-0.005,6,2,adx15_btc_regime_atr0.25_trail3.0,False,,,,,3.0,0.15,0.44999999999999996,0.12006510720298036,0.12859489606813201,-0.08945196900697194,0.11221549591900826,0.04065350345426655,0.09475884320908134,0.7001641030592846,2.906946885984825,-7.06920553779632,222,44,35,1130,246,173,0.9336693047239417,-0.008529788865151655,12.018529249547584,64.9469172061273,-56.79490095680759,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_below_validation_return;train_validation_return_ratio_0.9337_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-56.795_not_above_10.000,1.3630284061229079,0.11213636153461803,0.014799025643585928,0.014799025643585928,False,locked_oos_return_-0.0895_below_preferred_0.03;train_rpt_12.019_below_preferred_20bps;locked_oos_rpt_-56.795_below_preferred_20bps
