rank,model_id,family,symbol,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,filter_label,feature_backed,feature_train_coverage,feature_validation_coverage,feature_locked_oos_coverage,max_asof_feature_age_hours,leverage,allocation_fraction,notional_fraction,train_return,validation_return,locked_oos_return,train_mdd,validation_mdd,locked_oos_mdd,train_sharpe,validation_sharpe,locked_oos_sharpe,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,train_exposure_bar_count,validation_exposure_bar_count,locked_oos_exposure_bar_count,train_validation_return_ratio,train_minus_validation_return,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,train_dominant_sample_gate_pass,execution_efficiency_proxy_gate_pass,primary_10bps_promotion_gate_pass,paper_candidate_gate_pass,decision,ready_for_paper,ready_for_real,real_money_execution,replay_live_notional_parity,locked_oos_liquidation_count,locked_oos_account_wipeout_count,rejection_reasons,booster_train_validation_score,validation_first_half_return,validation_second_half_return,validation_min_half_return,booster_target_gate_pass,booster_target_reasons
2490,a30fb_booster_pullback_reclaim_4h_bnbusdt_fast8_slow40_z-0p5_hold8_3p0x_0p1_047cab68,trend_pullback_reclaim,BNBUSDT,4h,long_short,40,-0.5,0.0,8,2,ema_reclaim_adx12_btc_regime,False,,,,,3.0,0.1,0.30000000000000004,0.05103544387668668,0.02371729607745432,0.011177666434065703,0.07642700981687389,0.03682213870968132,0.02326288225128137,0.5501507866767132,1.0309654107005417,1.1948732985690242,82,17,8,938,221,145,2.1518238719126592,0.027318147799232362,20.7461153970271,46.50450211265552,46.57361014194042,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,validation_trade_event_count_17_below_30;locked_oos_trade_event_count_8_below_20,0.41227011162677624,0.03973722515331013,-0.015407670984842081,-0.015407670984842081,False,validation_return_0.0237_below_preferred_0.10;locked_oos_return_0.0112_below_preferred_0.03;locked_oos_trade_event_count_8_below_20;validation_min_half_return_-0.0154_below_0
2498,a30fb_booster_squeeze_expansion_6h_trxusdt_lb48_volz0p5_hold6_2p0x_0p15_032a2ae7,volatility_squeeze_range_expansion,TRXUSDT,6h,long_short,48,0.5,0.0,6,4,natr_q35_volume_btc_rel,False,,,,,2.0,0.15,0.3,0.02351725933605131,0.008404811372186405,0.012406904866109958,0.027446826926212586,0.023903557471773307,0.010005142270038236,0.5882358801636998,0.8086289346795167,2.387698365857584,14,8,3,139,103,93,2.798071044625192,0.015112447963864906,55.99347460964597,35.02004738411002,137.85449851233287,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_trade_event_count_14_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_3_below_20;validation_return_0.0084_below_0.02,0.41154238992354863,0.015469683081168917,-0.0069572453286302904,-0.0069572453286302904,False,validation_return_0.0084_below_preferred_0.10;locked_oos_return_0.0124_below_preferred_0.03;locked_oos_trade_event_count_3_below_20;validation_min_half_return_-0.0070_below_0
2499,a30fb_booster_squeeze_expansion_6h_trxusdt_lb48_volz1p0_hold6_2p0x_0p15_be01ec43,volatility_squeeze_range_expansion,TRXUSDT,6h,long_short,48,1.0,0.0,6,4,natr_q35_volume_btc_rel,False,,,,,2.0,0.15,0.3,0.02351725933605131,0.008404811372186405,0.012406904866109958,0.027446826926212586,0.023903557471773307,0.010005142270038236,0.5882358801636998,0.8086289346795167,2.387698365857584,14,8,3,139,103,93,2.798071044625192,0.015112447963864906,55.99347460964597,35.02004738411002,137.85449851233287,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_trade_event_count_14_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_3_below_20;validation_return_0.0084_below_0.02,0.41154238992354863,0.015469683081168917,-0.0069572453286302904,-0.0069572453286302904,False,validation_return_0.0084_below_preferred_0.10;locked_oos_return_0.0124_below_preferred_0.03;locked_oos_trade_event_count_3_below_20;validation_min_half_return_-0.0070_below_0
2500,a30fb_booster_squeeze_expansion_6h_trxusdt_lb48_volz0p5_hold6_3p0x_0p1_bdc97b3f,volatility_squeeze_range_expansion,TRXUSDT,6h,long_short,48,0.5,0.0,6,4,natr_q35_volume_btc_rel,False,,,,,3.0,0.1,0.30000000000000004,0.02351725933605131,0.008404811372186405,0.01240690486611018,0.027446826926212586,0.023903557471773307,0.010005142270038236,0.5882358801636999,0.8086289346795172,2.3876983658575854,14,8,3,139,103,93,2.798071044625192,0.015112447963864906,55.993474609645965,35.020047384110015,137.8544985123353,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_trade_event_count_14_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_3_below_20;validation_return_0.0084_below_0.02,0.4115423899235486,0.015469683081168917,-0.0069572453286302904,-0.0069572453286302904,False,validation_return_0.0084_below_preferred_0.10;locked_oos_return_0.0124_below_preferred_0.03;locked_oos_trade_event_count_3_below_20;validation_min_half_return_-0.0070_below_0
2501,a30fb_booster_squeeze_expansion_6h_trxusdt_lb48_volz1p0_hold6_3p0x_0p1_b22bc471,volatility_squeeze_range_expansion,TRXUSDT,6h,long_short,48,1.0,0.0,6,4,natr_q35_volume_btc_rel,False,,,,,3.0,0.1,0.30000000000000004,0.02351725933605131,0.008404811372186405,0.01240690486611018,0.027446826926212586,0.023903557471773307,0.010005142270038236,0.5882358801636999,0.8086289346795172,2.3876983658575854,14,8,3,139,103,93,2.798071044625192,0.015112447963864906,55.993474609645965,35.020047384110015,137.8544985123353,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_trade_event_count_14_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_3_below_20;validation_return_0.0084_below_0.02,0.4115423899235486,0.015469683081168917,-0.0069572453286302904,-0.0069572453286302904,False,validation_return_0.0084_below_preferred_0.10;locked_oos_return_0.0124_below_preferred_0.03;locked_oos_trade_event_count_3_below_20;validation_min_half_return_-0.0070_below_0
2535,a30fb_booster_squeeze_expansion_6h_trxusdt_lb48_volz0p5_hold6_3p0x_0p15_fa041f6f,volatility_squeeze_range_expansion,TRXUSDT,6h,long_short,48,0.5,0.0,6,4,natr_q35_volume_btc_rel,False,,,,,3.0,0.15,0.44999999999999996,0.03483342947272794,0.012459886473052517,0.01858670421233133,0.04097895446933131,0.03570378794715867,0.014987271715532269,0.5882358801637,0.8086289346795167,2.3876983658575854,14,8,3,139,103,93,2.795645814916818,0.022373542999675422,55.29115789321896,34.61079575847922,137.67929046171358,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_trade_event_count_14_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_3_below_20;validation_return_0.0125_below_0.02,0.40289721063623307,0.023179095386351767,-0.010476375994812215,-0.010476375994812215,False,validation_return_0.0125_below_preferred_0.10;locked_oos_return_0.0186_below_preferred_0.03;locked_oos_trade_event_count_3_below_20;validation_min_half_return_-0.0105_below_0
2536,a30fb_booster_squeeze_expansion_6h_trxusdt_lb48_volz1p0_hold6_3p0x_0p15_b0f49867,volatility_squeeze_range_expansion,TRXUSDT,6h,long_short,48,1.0,0.0,6,4,natr_q35_volume_btc_rel,False,,,,,3.0,0.15,0.44999999999999996,0.03483342947272794,0.012459886473052517,0.01858670421233133,0.04097895446933131,0.03570378794715867,0.014987271715532269,0.5882358801637,0.8086289346795167,2.3876983658575854,14,8,3,139,103,93,2.795645814916818,0.022373542999675422,55.29115789321896,34.61079575847922,137.67929046171358,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_trade_event_count_14_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_3_below_20;validation_return_0.0125_below_0.02,0.40289721063623307,0.023179095386351767,-0.010476375994812215,-0.010476375994812215,False,validation_return_0.0125_below_preferred_0.10;locked_oos_return_0.0186_below_preferred_0.03;locked_oos_trade_event_count_3_below_20;validation_min_half_return_-0.0105_below_0
2543,a30fb_booster_mh_consensus_6h_bnbusdt_s12_l48_thr0p01_adx12p0_hold18_cool4_4p0x_0p125_36ca811a,multi_horizon_consensus_momentum,BNBUSDT,6h,long_short,48,0.01,0.0,18,4,adx12.0_vol_q80_rel_btc,False,,,,,4.0,0.125,0.5,0.04374332699353212,0.09385827948891934,0.01947553196884666,0.13784792761442388,0.09733293851859937,0.03456685595021414,0.32344900078808886,1.6795471979794958,1.2704877261507936,73,21,12,787,273,122,0.4660572006191136,-0.05011495249538722,11.984473148912908,89.3888376084946,32.45921994807777,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_trade_event_count_73_below_80;validation_trade_event_count_21_below_30;locked_oos_trade_event_count_12_below_20;train_return_below_validation_return;train_validation_return_ratio_0.4661_below_1.00,0.4017808396546186,0.12170767511995062,-0.02482767680808995,-0.02482767680808995,False,validation_return_0.0939_below_preferred_0.10;locked_oos_return_0.0195_below_preferred_0.03;locked_oos_trade_event_count_12_below_20;validation_min_half_return_-0.0248_below_0;train_rpt_11.984_below_preferred_20bps
2544,a30fb_booster_mh_consensus_6h_bnbusdt_s12_l48_thr0p01_adx12p0_hold18_cool4_5p0x_0p1_3b447fcc,multi_horizon_consensus_momentum,BNBUSDT,6h,long_short,48,0.01,0.0,18,4,adx12.0_vol_q80_rel_btc,False,,,,,5.0,0.1,0.5,0.04374332699353212,0.09385827948891934,0.01947553196884666,0.13784792761442388,0.09733293851859937,0.03456685595021414,0.32344900078808886,1.6795471979794958,1.2704877261507936,73,21,12,787,273,122,0.4660572006191136,-0.05011495249538722,11.984473148912908,89.3888376084946,32.45921994807777,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_trade_event_count_73_below_80;validation_trade_event_count_21_below_30;locked_oos_trade_event_count_12_below_20;train_return_below_validation_return;train_validation_return_ratio_0.4661_below_1.00,0.4017808396546186,0.12170767511995062,-0.02482767680808995,-0.02482767680808995,False,validation_return_0.0939_below_preferred_0.10;locked_oos_return_0.0195_below_preferred_0.03;locked_oos_trade_event_count_12_below_20;validation_min_half_return_-0.0248_below_0;train_rpt_11.984_below_preferred_20bps
2555,a30fb_booster_squeeze_expansion_6h_trxusdt_lb48_volz0p5_hold6_4p0x_0p125_06db4ccf,volatility_squeeze_range_expansion,TRXUSDT,6h,long_short,48,0.5,0.0,6,4,natr_q35_volume_btc_rel,False,,,,,4.0,0.125,0.5,0.038536856239039796,0.013789412906052956,0.02064294333452721,0.04546149348364514,0.03961483374829622,0.01664495317158543,0.5882358801636997,0.808628934679517,2.387698365857584,14,8,3,139,103,93,2.794669831238702,0.02474744333298684,55.052651770056855,34.47353226513239,137.6196222301814,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_trade_event_count_14_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_3_below_20;validation_return_0.0138_below_0.02,0.3998318543068565,0.025744813443252523,-0.011655336084095635,-0.011655336084095635,False,validation_return_0.0138_below_preferred_0.10;locked_oos_return_0.0206_below_preferred_0.03;locked_oos_trade_event_count_3_below_20;validation_min_half_return_-0.0117_below_0
