[I 2026-05-21 22:11:19,656] A new study created in memory with name: no-name-1f849250-cfeb-4c8f-bb42-de7fac3c0aed
[I 2026-05-21 22:12:25,467] Trial 20 finished with value: 73.33913115816898 and parameters: {'bias_alpha': 0.9044734490651893, 'bias_combine_ratio': 0.275924999442231, 'max_weight': 0.7985593633339768, 'mape_window': 32, 'bias_window': 11, 'short_vol_window': 6}. Best is trial 12 with value: 73.35115436309421.
[I 2026-05-21 22:12:28,419] Trial 21 finished with value: 73.35109553889716 and parameters: {'bias_alpha': 0.8575776535210436, 'bias_combine_ratio': 0.36380182325365557, 'max_weight': 0.8131446957740558, 'mape_window': 25, 'bias_window': 11, 'short_vol_window': 5}. Best is trial 12 with value: 73.35115436309421.
[I 2026-05-21 22:12:31,441] Trial 22 finished with value: 73.3512248193985 and parameters: {'bias_alpha': 0.8644709177927129, 'bias_combine_ratio': 0.3604158500844989, 'max_weight': 0.8212974700224597, 'mape_window': 25, 'bias_window': 11, 'short_vol_window': 5}. Best is trial 22 with value: 73.3512248193985.
[I 2026-05-21 22:12:34,484] Trial 23 finished with value: 73.33776305258851 and parameters: {'bias_alpha': 0.8790607476564944, 'bias_combine_ratio': 0.38389638762280537, 'max_weight': 0.829290761235558, 'mape_window': 27, 'bias_window': 11, 'short_vol_window': 6}. Best is trial 22 with value: 73.3512248193985.
[I 2026-05-21 22:12:37,432] Trial 24 finished with value: 73.34099339231877 and parameters: {'bias_alpha': 0.8652096560623556, 'bias_combine_ratio': 0.353868532607604, 'max_weight': 0.8192774641441661, 'mape_window': 29, 'bias_window': 11, 'short_vol_window': 8}. Best is trial 22 with value: 73.3512248193985.
[I 2026-05-21 22:12:40,383] Trial 25 finished with value: 73.35172193920316 and parameters: {'bias_alpha': 0.8914214672637326, 'bias_combine_ratio': 0.3706449938690508, 'max_weight': 0.8493887132239327, 'mape_window': 25, 'bias_window': 13, 'short_vol_window': 5}. Best is trial 25 with value: 73.35172193920316.
[I 2026-05-21 22:12:43,667] Trial 26 finished with value: 73.33804619203643 and parameters: {'bias_alpha': 0.8904636963266813, 'bias_combine_ratio': 0.4110044899756482, 'max_weight': 0.8477044297204456, 'mape_window': 28, 'bias_window': 13, 'short_vol_window': 7}. Best is trial 25 with value: 73.35172193920316.
[I 2026-05-21 22:12:46,916] Trial 27 finished with value: 73.3490608026124 and parameters: {'bias_alpha': 0.8845257810486492, 'bias_combine_ratio': 0.3366603429417767, 'max_weight': 0.8793579798510432, 'mape_window': 34, 'bias_window': 14, 'short_vol_window': 9}. Best is trial 25 with value: 73.35172193920316.
[I 2026-05-21 22:12:50,000] Trial 28 finished with value: -999926.7526604476 and parameters: {'bias_alpha': 0.909377817752969, 'bias_combine_ratio': 0.39451745216645057, 'max_weight': 0.8598609253701945, 'mape_window': 30, 'bias_window': 16, 'short_vol_window': 6}. Best is trial 25 with value: 73.35172193920316.
[I 2026-05-21 22:12:53,005] Trial 29 finished with value: 73.35132548281332 and parameters: {'bias_alpha': 0.9341945398375017, 'bias_combine_ratio': 0.3733126890875004, 'max_weight': 0.7832858674897709, 'mape_window': 27, 'bias_window': 14, 'short_vol_window': 12}. Best is trial 25 with value: 73.35172193920316.
