hybrid_version,trial_number,value,state,params,train_return,validation_return,train_mdd,validation_mdd,train_rpt_bps,validation_rpt_bps,selection_reasons
v3_5,234,14.521445772095333,COMPLETE,"{""bias_alpha"": 0.9962577510166324, ""bias_combine_ratio"": 0.2963995013661328, ""bias_window"": 10, ""mape_window"": 42, ""max_weight"": 0.7810936363454445, ""short_vol_window"": 15}",6.115025409235648,1.383170167165988,0.4499205591420494,0.18979613277334306,83.38758913570169,79.16658755661159,
v3_5,222,14.512933509724455,COMPLETE,"{""bias_alpha"": 0.9967297194205282, ""bias_combine_ratio"": 0.28172224099043425, ""bias_window"": 10, ""mape_window"": 41, ""max_weight"": 0.77947131356651, ""short_vol_window"": 15}",6.1182153209356995,1.3822911123997486,0.44997883817091644,0.18945619719794216,83.46937369655033,79.16710441077693,
v3_5,192,14.512900530708217,COMPLETE,"{""bias_alpha"": 0.9999749470353789, ""bias_combine_ratio"": 0.2768213979715989, ""bias_window"": 10, ""mape_window"": 42, ""max_weight"": 0.7788592738774518, ""short_vol_window"": 15}",6.125379529339948,1.3821469210468806,0.44959360555228056,0.1892965383915084,83.72389936056392,79.30189171291106,
v3_5,233,14.509995099602145,COMPLETE,"{""bias_alpha"": 0.996296689705214, ""bias_combine_ratio"": 0.28513374819377313, ""bias_window"": 10, ""mape_window"": 42, ""max_weight"": 0.7796180335258986, ""short_vol_window"": 15}",6.117409297206813,1.382038059176662,0.4499072288608892,0.1895406238897417,83.44701010407726,79.1415591682145,
v3_5,179,14.508781176640648,COMPLETE,"{""bias_alpha"": 0.9990994887777078, ""bias_combine_ratio"": 0.2756711148435555, ""bias_window"": 10, ""mape_window"": 43, ""max_weight"": 0.7787968745665718, ""short_vol_window"": 14}",6.123169022211041,1.3817923661225437,0.4496950778347565,0.18929282482478194,83.65195509174055,79.24888356190131,
v3_5,226,14.505959942670662,COMPLETE,"{""bias_alpha"": 0.9966813770346649, ""bias_combine_ratio"": 0.27747906662634647, ""bias_window"": 10, ""mape_window"": 41, ""max_weight"": 0.7786822679803885, ""short_vol_window"": 15}",6.117837047506532,1.3816054107210531,0.44993848917873436,0.18933090433787514,83.4828533807999,79.15222117656066,
v3_5,195,14.50576044758803,COMPLETE,"{""bias_alpha"": 0.9954127940026128, ""bias_combine_ratio"": 0.2914906168066285, ""bias_window"": 10, ""mape_window"": 41, ""max_weight"": 0.7795654661019302, ""short_vol_window"": 15}",6.105846822544081,1.3816646458746593,0.44989960956811204,0.18959165444457038,83.28190263058298,79.10641171958119,
v3_5,231,14.503785471029722,COMPLETE,"{""bias_alpha"": 0.9965440945859917, ""bias_combine_ratio"": 0.28633101909770314, ""bias_window"": 10, ""mape_window"": 42, ""max_weight"": 0.7791272757734845, ""short_vol_window"": 15}",6.112484476193891,1.3814234730712749,0.4497589076045678,0.18949486622724565,83.42259464365007,79.14423601810496,
v3_5,201,14.502642985859483,COMPLETE,"{""bias_alpha"": 0.9951270114520124, ""bias_combine_ratio"": 0.2975914720028287, ""bias_window"": 10, ""mape_window"": 42, ""max_weight"": 0.779696364694516, ""short_vol_window"": 15}",6.10381356534891,1.381380305278007,0.44972593664766136,0.18968235690536028,83.26239959854908,79.09440726921054,
v3_5,232,14.50026415525643,COMPLETE,"{""bias_alpha"": 0.996941928879593, ""bias_combine_ratio"": 0.28445710051612216, ""bias_window"": 10, ""mape_window"": 42, ""max_weight"": 0.7786771721937412, ""short_vol_window"": 15}",6.112258188098976,1.3810587876884282,0.4496708615005348,0.1894195922679942,83.45243783565215,79.1553288491971,
v3_5,199,14.500129789765005,COMPLETE,"{""bias_alpha"": 0.9953035323872091, ""bias_combine_ratio"": 0.2910844179031001, ""bias_window"": 10, ""mape_window"": 41, ""max_weight"": 0.77908768152548, ""short_vol_window"": 15}",6.102898445332657,1.3811184529981908,0.4498259247025449,0.18953877854527768,83.25998747171124,79.0936108871672,
v3_5,196,14.499893251269475,COMPLETE,"{""bias_alpha"": 0.9949675024530767, ""bias_combine_ratio"": 0.2915838053116869, ""bias_window"": 10, ""mape_window"": 41, ""max_weight"": 0.7791365732364177, ""short_vol_window"": 15}",6.102549027509222,1.381110226317034,0.44985783285856284,0.1895560501865977,83.2397474551893,79.07932220062233,
v3_5,187,14.499797491864895,COMPLETE,"{""bias_alpha"": 0.9958186136287088, ""bias_combine_ratio"": 0.29365642039304035, ""bias_window"": 10, ""mape_window"": 42, ""max_weight"": 0.7792415089128097, ""short_vol_window"": 15}",6.104692543999491,1.3810748400673662,0.44966595151009503,0.1895956872815303,83.3114296882639,79.11383377801768,
v3_5,194,14.498009040627071,COMPLETE,"{""bias_alpha"": 0.9959661418222956, ""bias_combine_ratio"": 0.28872246479608504, ""bias_window"": 10, ""mape_window"": 41, ""max_weight"": 0.7787012410041659, ""short_vol_window"": 15}",6.103080800506622,1.3808794409258711,0.44974128580499895,0.1894598893581746,83.30186822817264,79.11741577075058,
v3_5,212,14.496103410632278,COMPLETE,"{""bias_alpha"": 0.9959899716614952, ""bias_combine_ratio"": 0.30193222354129706, ""bias_window"": 10, ""mape_window"": 42, ""max_weight"": 0.779175235544995, ""short_vol_window"": 15}",6.097935725122064,1.3807066015534541,0.4494470983566523,0.18964218142790945,83.2689393855626,79.12948223841315,
v3_5,193,14.495029319690248,COMPLETE,"{""bias_alpha"": 0.9952603355858121, ""bias_combine_ratio"": 0.2935278145212609, ""bias_window"": 10, ""mape_window"": 41, ""max_weight"": 0.7787682845459147, ""short_vol_window"": 15}",6.098438802040193,1.380624221746424,0.4497013443415939,0.18952988832414763,83.22525627070831,79.08753919399918,
v3_5,220,14.49501125637829,COMPLETE,"{""bias_alpha"": 0.9963554065019256, ""bias_combine_ratio"": 0.2790850206339455, ""bias_window"": 10, ""mape_window"": 42, ""max_weight"": 0.7780320453536897, ""short_vol_window"": 15}",6.113907809113799,1.3805600216027374,0.44972817216835814,0.18931011868388337,83.45644843757447,79.11961301420025,
v3_5,205,14.494866639742273,COMPLETE,"{""bias_alpha"": 0.9948453673902162, ""bias_combine_ratio"": 0.29193916159918226, ""bias_window"": 10, ""mape_window"": 40, ""max_weight"": 0.7788831079835856, ""short_vol_window"": 15}",6.1013764030898745,1.3806301248179818,0.4497723218806543,0.18952450239153096,83.2331013622967,79.05937744265991,
v3_5,221,14.494642537282218,COMPLETE,"{""bias_alpha"": 0.9961769846958717, ""bias_combine_ratio"": 0.2807335785170412, ""bias_window"": 10, ""mape_window"": 42, ""max_weight"": 0.7781090844444242, ""short_vol_window"": 15}",6.112354081786535,1.3805339722493892,0.44971576260350943,0.1893384873508137,83.43110692976146,79.11256561755974,
v3_5,211,14.493798559252314,COMPLETE,"{""bias_alpha"": 0.9964129600412795, ""bias_combine_ratio"": 0.28238706686081083, ""bias_window"": 10, ""mape_window"": 42, ""max_weight"": 0.7780960563429637, ""short_vol_window"": 15}",6.110559363010339,1.3804450423520649,0.44965209087611535,0.1893483800679704,83.42591307641405,79.12234699881061,
v3_5,191,14.493095647569895,COMPLETE,"{""bias_alpha"": 0.9959011032285533, ""bias_combine_ratio"": 0.27985556144921986, ""bias_window"": 10, ""mape_window"": 42, ""max_weight"": 0.7779772977906634, ""short_vol_window"": 15}",6.112229186928416,1.3803934823558932,0.4497413973677715,0.18932170951167493,83.4195204932899,79.0977663252418,
v3_5,165,14.490010218936698,COMPLETE,"{""bias_alpha"": 0.9995502347826648, ""bias_combine_ratio"": 0.26977714739736547, ""bias_window"": 10, ""mape_window"": 43, ""max_weight"": 0.776961407019536, ""short_vol_window"": 13}",6.1186957744709485,1.3799370253198684,0.4494376354845675,0.18902854773778932,83.67843068486015,79.23270105070507,
v3_5,184,14.489703117818015,COMPLETE,"{""bias_alpha"": 0.9999352743185698, ""bias_combine_ratio"": 0.2895103738588319, ""bias_window"": 10, ""mape_window"": 42, ""max_weight"": 0.7776447547095737, ""short_vol_window"": 15}",6.100482315524706,1.3799075493218727,0.44902087133786317,0.1892954058289199,83.50680720425504,79.27379924151056,
v3_5,239,14.488937324746,COMPLETE,"{""bias_alpha"": 0.9935578163210783, ""bias_combine_ratio"": 0.3037577198424607, ""bias_window"": 10, ""mape_window"": 42, ""max_weight"": 0.7789370481115088, ""short_vol_window"": 15}",6.092262754989389,1.3801046187103037,0.44957665393434976,0.1896757423816534,83.10231433714033,79.01865645062776,
v3_5,180,14.487458625159997,COMPLETE,"{""bias_alpha"": 0.9996602537381074, ""bias_combine_ratio"": 0.28663111578015393, ""bias_window"": 10, ""mape_window"": 43, ""max_weight"": 0.7775691288711261, ""short_vol_window"": 15}",6.100945881581277,1.379708213436174,0.4491061184144951,0.18925944896752778,83.4915875384349,79.24764013112151,
v3_5,167,14.482588595855486,COMPLETE,"{""bias_alpha"": 0.9972874539881134, ""bias_combine_ratio"": 0.26949625260146864, ""bias_window"": 10, ""mape_window"": 43, ""max_weight"": 0.7768249462754708, ""short_vol_window"": 13}",6.116422947211552,1.3793201851187753,0.44964111431391807,0.18906170757343355,83.54947852464092,79.11549760645542,
v3_5,176,14.480593577270131,COMPLETE,"{""bias_alpha"": 0.9995727009410975, ""bias_combine_ratio"": 0.285166884795956, ""bias_window"": 10, ""mape_window"": 43, ""max_weight"": 0.7769286549364319, ""short_vol_window"": 14}",6.09849996616013,1.3790388113991074,0.4490255605785852,0.18917818919993878,83.48082874952529,79.23315153347279,
v3_5,181,14.479263477526972,COMPLETE,"{""bias_alpha"": 0.9986152799138541, ""bias_combine_ratio"": 0.2758528542132914, ""bias_window"": 10, ""mape_window"": 43, ""max_weight"": 0.7764298145439718, ""short_vol_window"": 15}",6.106283260298402,1.3789314730757147,0.44926127515395586,0.1890529316408347,83.52462427922934,79.18500437619748,
v3_5,183,14.475903763582842,COMPLETE,"{""bias_alpha"": 0.999785828661941, ""bias_combine_ratio"": 0.2908374568477168, ""bias_window"": 10, ""mape_window"": 42, ""max_weight"": 0.7765673923352733, ""short_vol_window"": 15}",6.09154747826869,1.3785675010390714,0.44879021472633773,0.1891968841330901,83.44077805380165,79.24954052154763,
v3_5,186,14.4755880055653,COMPLETE,"{""bias_alpha"": 0.9954146917003148, ""bias_combine_ratio"": 0.29371075948930436, ""bias_window"": 10, ""mape_window"": 42, ""max_weight"": 0.7772554567678849, ""short_vol_window"": 15}",6.090902133587192,1.3787255578137496,0.44930637017152975,0.18939239170175204,83.20965808247803,79.06336250941315,
v3_6,226,8.9042054558784,COMPLETE,"{""bias_alpha"": 0.9389646060476319, ""bias_combine_ratio"": 0.4185003812787397, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8796052225303678, ""short_vol_window"": 5}",2.9648693282324037,0.8590988719522921,0.43343396781831656,0.15739925145098543,51.051721714775745,62.783177279390756,
v3_6,228,8.901777119120453,COMPLETE,"{""bias_alpha"": 0.9380568589299676, ""bias_combine_ratio"": 0.4180884556546671, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8756772504628787, ""short_vol_window"": 5}",2.963942984339473,0.8589015894657464,0.4334464100590101,0.15741342639104494,51.02070604963871,62.75126907556415,
v3_6,233,8.901142719799452,COMPLETE,"{""bias_alpha"": 0.937971897829017, ""bias_combine_ratio"": 0.4171485215514834, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8790745585675696, ""short_vol_window"": 5}",2.964234749355295,0.8588376994794087,0.4333967575593647,0.15741625187089314,51.02715583723959,62.74818848741318,
v3_6,232,8.900547731383949,COMPLETE,"{""bias_alpha"": 0.9387771080440311, ""bias_combine_ratio"": 0.41118334638468185, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8760959547038405, ""short_vol_window"": 5}",2.9675573842240066,0.8587032853284959,0.43302427481863426,0.15740835161262823,51.11776201849829,62.77649171742737,
v3_6,215,8.896093566138067,COMPLETE,"{""bias_alpha"": 0.9356814721725505, ""bias_combine_ratio"": 0.41862653830865837, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8821220725866957, ""short_vol_window"": 5}",2.96083760395749,0.8584616356375294,0.43357004827024836,0.15745007323457838,50.92294273453275,62.6677595042849,
v3_6,229,8.896023372747118,COMPLETE,"{""bias_alpha"": 0.936090041716341, ""bias_combine_ratio"": 0.4162106942710601, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8733057286592932, ""short_vol_window"": 5}",2.9622598453969093,0.8584209844116246,0.43341860762935425,0.15744752559161534,50.96229475517425,62.68188405733319,
v3_6,187,8.895084203712056,COMPLETE,"{""bias_alpha"": 0.9338100181100604, ""bias_combine_ratio"": 0.42745243258217624, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8990875763256535, ""short_vol_window"": 5}",2.95496027757081,0.8585077903396909,0.4341320209904904,0.1574699149458929,50.76110575120144,62.60114655688867,
v3_6,172,8.894859039428951,COMPLETE,"{""bias_alpha"": 0.9326375994918104, ""bias_combine_ratio"": 0.4345370432490142, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8949212913965223, ""short_vol_window"": 5}",2.950845816524927,0.8585865872925846,0.43456811874274537,0.15748138944064327,50.647852377755676,62.557672498527666,
v3_6,188,8.89465081284547,COMPLETE,"{""bias_alpha"": 0.9338305868445508, ""bias_combine_ratio"": 0.426218642692192, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8996787081600918, ""short_vol_window"": 5}",2.9555407127122146,0.8584560767282485,0.4340634498544925,0.15747069662576763,50.77526694216857,62.60213040525375,
v3_6,231,8.894440289170529,COMPLETE,"{""bias_alpha"": 0.9362315488653166, ""bias_combine_ratio"": 0.4120753865038683, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8777770760648342, ""short_vol_window"": 5}",2.9640065668191444,0.858234692976183,0.43318025952073747,0.15744856893852077,51.00788870694653,62.685711754812,
v3_6,185,8.893447038804434,COMPLETE,"{""bias_alpha"": 0.9326557659947191, ""bias_combine_ratio"": 0.43064399495687944, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8997067930492156, ""short_vol_window"": 5}",2.9523439557499613,0.8584224185139651,0.43435303312892937,0.1574846469014749,50.685875235137004,62.55983032418568,
v3_6,224,8.89336419321324,COMPLETE,"{""bias_alpha"": 0.9361917850884505, ""bias_combine_ratio"": 0.40999287791552647, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8810568586888508, ""short_vol_window"": 5}",2.9647328256026055,0.8581187711909368,0.4330618842362608,0.15745083021409068,51.026279609556205,62.68372997376952,
v3_6,186,8.89268901176544,COMPLETE,"{""bias_alpha"": 0.9328781290863256, ""bias_combine_ratio"": 0.4272821289236587, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8995871599963167, ""short_vol_window"": 5}",2.953887575016996,0.8583164487418735,0.4341600509331105,0.15748426412939276,50.72668785571675,62.568554732737375,
v3_6,217,8.891361347476552,COMPLETE,"{""bias_alpha"": 0.9346220204170707, ""bias_combine_ratio"": 0.4142089869792369, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8806765663240321, ""short_vol_window"": 5}",2.961159726214702,0.858023830637153,0.4333668547135543,0.15747275354618706,50.923346505765274,62.6292868534567,
v3_6,192,8.890555624026117,COMPLETE,"{""bias_alpha"": 0.9314272189209724, ""bias_combine_ratio"": 0.4311096001875159, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8943096914163878, ""short_vol_window"": 5}",2.950682906274133,0.8582003789921238,0.43442731276972313,0.1575029514929096,50.63427087693406,62.5167451327911,
v3_6,237,8.88970591577981,COMPLETE,"{""bias_alpha"": 0.9350221023467153, ""bias_combine_ratio"": 0.4083843893770314, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8734627021907617, ""short_vol_window"": 5}",2.963805753388132,0.8578069970808961,0.43301967662885643,0.15746748091576412,50.99441969619675,62.64227730410765,
v3_6,125,8.88939889382299,COMPLETE,"{""bias_alpha"": 0.9213711687927428, ""bias_combine_ratio"": 0.4216239019559132, ""bias_window"": 10, ""mape_window"": 34, ""max_weight"": 0.8526412435017775, ""short_vol_window"": 5}",2.7597560505825633,0.8592987986507714,0.4330425488994232,0.1578675017771215,47.119698461687996,62.60822165847447,
v3_6,211,8.885291352896795,COMPLETE,"{""bias_alpha"": 0.9303179070922637, ""bias_combine_ratio"": 0.4247168511246611, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8743212730870823, ""short_vol_window"": 5}",2.951849197586825,0.8576968180298206,0.43412421136519364,0.15752551720625607,50.654372896434616,62.47968476028274,
v3_6,210,8.884417628579259,COMPLETE,"{""bias_alpha"": 0.9303578142262191, ""bias_combine_ratio"": 0.42240858961697025, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8835533137045946, ""short_vol_window"": 5}",2.9527719196298263,0.8575955759490692,0.43399691793468376,0.157528144089919,50.67802965616842,62.48124440540804,
v3_6,209,8.8841970006412,COMPLETE,"{""bias_alpha"": 0.929782910871377, ""bias_combine_ratio"": 0.42532634085945015, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8833700649243094, ""short_vol_window"": 5}",2.95093496735948,0.8576190210704673,0.43417952871877197,0.15753313147022874,50.62738652479387,62.460916449606685,
v3_6,213,8.884165721313689,COMPLETE,"{""bias_alpha"": 0.9296790564715138, ""bias_combine_ratio"": 0.4259065601355605, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8859923548434101, ""short_vol_window"": 5}",2.950568064403501,0.8576246229393156,0.4342153353449658,0.15753420506585547,50.61748127846488,62.45717382151195,
v3_6,220,8.881972400349222,COMPLETE,"{""bias_alpha"": 0.9297741763684707, ""bias_combine_ratio"": 0.4202543331780886, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8822675359887613, ""short_vol_window"": 5}",2.9528641849265904,0.8573717954208522,0.43390405031292656,0.15754084422402326,50.6759604302773,62.460417198946914,
v3_6,183,8.881671123503953,COMPLETE,"{""bias_alpha"": 0.9270976706351689, ""bias_combine_ratio"": 0.43651511138996396, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8971331576095597, ""short_vol_window"": 5}",2.9433944434652144,0.857569726670768,0.4348947236249644,0.15756404791477485,50.41714198128909,62.36351227995736,
v3_6,206,8.879484709978552,COMPLETE,"{""bias_alpha"": 0.92820986677902, ""bias_combine_ratio"": 0.42345776510211874, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8824892937439913, ""short_vol_window"": 5}",2.9497094028355817,0.8572212812901181,0.43414373456238475,0.15756042230656497,50.58446359004919,62.40626624838086,
v3_6,218,8.878491996505991,COMPLETE,"{""bias_alpha"": 0.9296980446818388, ""bias_combine_ratio"": 0.4134965329067364, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8813802146848004, ""short_vol_window"": 5}",2.9551732210218,0.8569982668959932,0.4335360022965131,0.15755239358169082,50.73511907722143,62.4549846837888,
v3_6,221,8.8783383064315,COMPLETE,"{""bias_alpha"": 0.9297920005265444, ""bias_combine_ratio"": 0.41266490948974194, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8818113346852752, ""short_vol_window"": 5}",2.9556168612610385,0.856973816382401,0.4334865797132422,0.1575515288814343,50.74698636338236,62.45805355323893,
v3_6,222,8.876040466290997,COMPLETE,"{""bias_alpha"": 0.9291613650474332, ""bias_combine_ratio"": 0.4111403959219131, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8752614061394981, ""short_vol_window"": 5}",2.9553959552211246,0.8567701893832989,0.4334305098360465,0.15756196699846148,50.7367900159356,62.43557297557486,
v3_6,204,8.870680511057305,COMPLETE,"{""bias_alpha"": 0.9243957627270958, ""bias_combine_ratio"": 0.42541969165356136, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8837376025060948, ""short_vol_window"": 5}",2.9441659495418246,0.8565531576109502,0.4344078159610244,0.15761758389860103,50.41688790313294,62.273045378309156,
v3_6,203,8.870494889682712,COMPLETE,"{""bias_alpha"": 0.9240175642391233, ""bias_combine_ratio"": 0.4271672040069494, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8838344203713167, ""short_vol_window"": 5}",2.9429943740903055,0.8565630998218394,0.43451671344707077,0.15762075658750396,50.384957409157686,62.26018905787399,
v3_6,205,8.869779559896928,COMPLETE,"{""bias_alpha"": 0.9243524581406757, ""bias_combine_ratio"": 0.4236732739631759, ""bias_window"": 10, ""mape_window"": 39, ""max_weight"": 0.8853370132020559, ""short_vol_window"": 5}",2.9447665516455683,0.8564573494877372,0.4343164614610182,0.15762106401288378,50.43173311165988,62.271066591746184,
