model_id,model_kind,role,candidate_name,leverage,allocation_fraction,round_trip_slippage_fee_bps,split,total_return,max_drawdown,sharpe,sortino,smart_sortino,calmar,return_mdd,trade_event_count,active_return_hours,liquidation_count,account_wipeout_count,minimum_margin_buffer,split_gate_pass,split_gate_reasons,locked_oos_deployable_gate_pass,locked_oos_deployable_gate_reasons,train_validation_score,candidate_universe_uses_locked_oos_bucket,regenerated_train_validation_only,promotability_scope,shadow_only,primary_10bps_promotion_gate_pass,primary_10bps_promotion_gate_reasons,live_promotable_10bps
reference_strict_zero_fast_residual_6x_0p10,reference,reference_strict_zero_fast_residual_6x_0p10,alpha_zoo_fast_residual,6.0,0.1,10.0,validation,-0.2162256174495294,0.22869594195967716,-2.6084718142441736,-1.7445283634447242,-1.419821050814519,-2.7477002348253614,-0.9454720341633938,767,663,0,0,9466.613816431405,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-159.70437370300078,True,False,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_return_non_positive;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
reference_strict_zero_fast_residual_6x_0p10,reference,reference_strict_zero_fast_residual_6x_0p10,alpha_zoo_fast_residual,6.0,0.1,10.0,locked_oos,-0.07046813170845101,0.14524504839111343,-2.1721408292401017,-1.4862585542275404,-1.2977646629561914,-3.0072811818713063,-0.48516718806616804,391,343,0,0,9647.691875712171,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-159.70437370300078,True,False,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_return_non_positive;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
seed_alpha_zoo_fast_residual_2x_0p125,individual_seed,seed_universe,alpha_zoo_fast_residual,2.0,0.125,10.0,train,-0.5183464936780195,0.5281700447008982,-4.60487790969667,-2.924278017801543,-1.9135815598151569,-0.9814007796893485,-0.9814007796893485,3102,2694,0,0,9646.218649899956,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-155.58252086251625,True,False,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_return_non_positive;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
seed_alpha_zoo_fast_residual_2x_0p125,individual_seed,seed_universe,alpha_zoo_fast_residual,2.0,0.125,10.0,validation,-0.09331888269746147,0.09938693052041468,-2.614664771435538,-1.7460560273798396,-1.5882088270353663,-3.3038864299711705,-0.9389452135086636,767,663,0,0,9777.75575684642,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-155.58252086251625,True,False,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_return_non_positive;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
seed_alpha_zoo_fast_residual_2x_0p125,individual_seed,seed_universe,alpha_zoo_fast_residual,2.0,0.125,10.0,locked_oos,-0.02908985970427236,0.06284460401526928,-2.1745655261026307,-1.4874377360767352,-1.3994874984145529,-3.2938711992973113,-0.46288555970858575,391,343,0,0,9853.204948213404,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-155.58252086251625,True,False,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_return_non_positive;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
seed_alpha_zoo_fast_residual_3x_0p1,individual_seed,seed_universe,alpha_zoo_fast_residual,3.0,0.1,10.0,train,-0.5851297014148513,0.5951639739812388,-4.606531935661513,-2.9253032599220385,-1.8338574012682938,-0.9831403226588715,-0.9831403226588715,3102,2694,0,0,9575.462379879948,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-156.30086776380352,True,False,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_return_non_positive;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
seed_alpha_zoo_fast_residual_3x_0p1,individual_seed,seed_universe,alpha_zoo_fast_residual,3.0,0.1,10.0,validation,-0.11145277634875428,0.11857911825044977,-2.6137817706587243,-1.7458387694410809,-1.5607646709619583,-3.215517897989979,-0.9399022188152554,767,663,0,0,9733.306908215704,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-156.30086776380352,True,False,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_return_non_positive;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
seed_alpha_zoo_fast_residual_3x_0p1,individual_seed,seed_universe,alpha_zoo_fast_residual,3.0,0.1,10.0,locked_oos,-0.03495919759203825,0.07500843549331361,-2.174219253214907,-1.4872693912253856,-1.3834955541933849,-3.2515453779410985,-0.4660702141315103,391,343,0,0,9823.845937856087,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-156.30086776380352,True,False,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_return_non_positive;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
seed_alpha_zoo_fast_residual_4x_0p1,individual_seed,seed_universe,alpha_zoo_fast_residual,4.0,0.1,10.0,train,-0.6931677534532754,0.7028299158687827,-4.6098386146240395,-2.927357221922617,-1.7191131038058378,-0.9862524884081467,-0.9862524884081467,3102,2694,0,0,9433.94983983993,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-157.5870032869556,True,False,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_return_non_positive;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
seed_alpha_zoo_fast_residual_4x_0p1,individual_seed,seed_universe,alpha_zoo_fast_residual,4.0,0.1,10.0,validation,-0.1471584228622993,0.15625368646273283,-2.6120140586444442,-1.74540327461565,-1.509533154402536,-3.0480159634645863,-0.9417916862870126,767,663,0,0,9644.40921095427,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,False,return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-157.5870032869556,True,False,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_return_non_positive;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
