rank,model_id,family,symbol,asset_group,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,integer_leverage,allocation_fraction,notional_fraction,train_return,validation_return,train_mdd,validation_mdd,train_sharpe,validation_sharpe,train_trade_event_count,validation_trade_event_count,train_exposure_bar_count,validation_exposure_bar_count,train_validation_return_ratio,train_minus_validation_return,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,train_validation_score,sample_gate_pass,execution_efficiency_proxy_gate_pass,strict_backtest_gate_pass,relaxed_backtest_gate_pass,decision,ready_for_paper,ready_for_real,real_money_execution,real_execution_allowed,rejection_reasons
769,az69_pullback_4h_bnbusdt_slow36_z-1p0_hold12_lev2_068ef532,trend_pullback_reclaim,BNBUSDT,crypto_core,4h,long_short,36,-1.0,0.0,12,2,2,0.1,0.2,-0.012183611024951913,0.0028886580883535906,0.05940663163071758,0.0063262376562344125,-0.17018913539699498,0.6712679405687961,54,2,570,28,-4.217740782155371,-0.015072269113305503,-11.281121319399919,72.21645220883975,0.6125632321922669,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_trade_event_count_54_below_80;validation_trade_event_count_2_below_30;validation_return_0.0029_below_0.02;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-11.281_not_above_10.000
770,az69_voladj_4h_btcusdt_lb12_th0p75_hold6_lev2_a11afdb5,volatility_adjusted_trend_persistence,BTCUSDT,crypto_core,4h,long_short,12,0.75,0.2,6,2,2,0.1,0.2,0.03547988882397912,0.026710453337233098,0.05794767669927925,0.017106338520424202,0.4142209173370852,2.588988917839684,321,39,1835,245,1.3283147379053222,0.008769435486746024,5.5264624336416075,34.24417094517064,0.6118685945153715,True,False,False,False,sample_pass_shadow_until_execution_efficiency,False,False,False,False,train_return_per_turnover_proxy_bps_5.526_not_above_10.000
771,az69_pullback_4h_trxusdt_slow72_z-0p5_hold6_lev3_a071b9d8,trend_pullback_reclaim,TRXUSDT,crypto_core,4h,long_short,72,-0.5,0.0,6,2,3,0.1,0.30000000000000004,-0.04613200817739482,0.015508390401488104,0.10252334655954864,0.012293857784141604,-0.5707237014261235,2.264050507800776,65,4,1002,188,-2.974648366665327,-0.06164039857888293,-23.6574400909717,129.2365866790675,0.6114574639345118,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_trade_event_count_65_below_80;validation_trade_event_count_4_below_30;validation_return_0.0155_below_0.02;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-23.657_not_above_10.000
772,az69_voladj_4h_solusdt_lb24_th0p75_hold6_lev1_50aae41f,volatility_adjusted_trend_persistence,SOLUSDT,crypto_core,4h,long_short,24,0.75,0.2,6,2,1,0.1,0.1,-0.052412170527486035,0.028136888046698116,0.09882443338130242,0.008266271503548195,-0.5906071782184308,4.468178397999312,207,23,1817,192,-1.8627564796966465,-0.08054905857418415,-25.319889143713056,122.33429585520919,0.6107785046107448,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,validation_trade_event_count_23_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-25.320_not_above_10.000
773,az69_pullback_4h_dogeusdt_slow36_z-0p5_hold6_lev2_7889b139,trend_pullback_reclaim,DOGEUSDT,crypto_core,4h,long_short,36,-0.5,0.0,6,2,2,0.1,0.2,-0.05591557100187339,0.060870455409589574,0.10089341896710902,0.019910426946692317,-0.33746179217585265,4.095253152255186,97,17,1068,199,-0.918599518035878,-0.11678602641146296,-28.822459279316178,179.03075120467523,0.6104423973799654,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,validation_trade_event_count_17_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-28.822_not_above_10.000
774,az69_pullback_1h_btcusdt_slow72_z-1p0_hold6_lev2_770e91ee,trend_pullback_reclaim,BTCUSDT,crypto_core,1h,long_short,72,-1.0,0.0,6,2,2,0.1,0.2,-0.029395269232783572,0.020232024161284556,0.053780948051669886,0.008327779367115151,-0.5058025125072387,2.5258499704442547,134,13,2274,366,-1.4529079739353785,-0.04962729339406813,-10.968384042083423,77.81547754340214,0.6095289218005173,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,validation_trade_event_count_13_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-10.968_not_above_10.000
775,az69_pullback_1h_btcusdt_slow72_z-1p0_hold6_lev2_770e91ee,trend_pullback_reclaim,BTCUSDT,crypto_core,1h,long_short,72,-1.0,0.0,6,2,2,0.1,0.2,-0.029599295869924602,0.020232024161284556,0.05901792964834962,0.008327779367115151,-0.5096588667772509,2.5258499704442547,136,13,2275,366,-1.462992315250641,-0.04983132003120916,-10.88209406982522,77.81547754340214,0.6089218317612524,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,validation_trade_event_count_13_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-10.882_not_above_10.000
776,az69_pullback_1h_btcusdt_slow72_z-1p0_hold6_lev3_aa40100e,trend_pullback_reclaim,BTCUSDT,crypto_core,1h,long_short,72,-1.0,0.0,6,2,3,0.1,0.30000000000000004,-0.034938916780250406,0.030339402013964234,0.07810193280389977,0.012485302490925054,-0.37713139354464226,2.525849970444257,138,13,2343,366,-1.1516020244620895,-0.06527831879421464,-8.439351879287537,77.79333849734418,0.6080165324274374,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,validation_trade_event_count_13_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-8.439_not_above_10.000
777,az69_pullback_4h_adausdt_slow36_z-1p0_hold12_lev4_b9f17fc9,trend_pullback_reclaim,ADAUSDT,crypto_core,4h,long_short,36,-1.0,0.0,12,2,4,0.1,0.4,-0.09849279221035034,0.21036830807027473,0.18184659241388812,0.03223282875915845,-0.3387077968653199,6.210883724206502,56,5,709,168,-0.46819215838085393,-0.3088611002806251,-43.96999652247783,1051.8415403513736,0.6066649332307095,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_trade_event_count_56_below_80;validation_trade_event_count_5_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-43.970_not_above_10.000
778,az69_pullback_4h_xrpusdt_slow72_z-0p5_hold6_lev2_f72cf446,trend_pullback_reclaim,XRPUSDT,crypto_core,4h,long_short,72,-0.5,0.0,6,2,2,0.1,0.2,-0.03447139177219505,0.021191367578184517,0.10378497612373427,0.021412073044778657,-0.24182334980983586,2.2574428416001906,66,11,957,127,-1.6266714097150423,-0.055662759350379565,-26.114690736511395,96.32439808265688,0.6065104310392082,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_trade_event_count_66_below_80;validation_trade_event_count_11_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-26.115_not_above_10.000
