hybrid_weight_rank,model_id,weight,symbol,asset_group,family,timeframe,side,integer_leverage,notional_fraction,weighted_notional_fraction,train_return,validation_return,validation_mdd
34,az69_voladj_30m_copperusdt_lb12_th1p25_hold12_lev1_ca99c0d0,0.008313683412926154,COPPERUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,30m,long_short,1,0.1,0.0008313683412926155,-0.002820735856779888,0.0007203756834974762,0.01012581490831943
35,az69_pullback_1h_intcusdt_slow72_z-0p5_hold6_lev2_d2676bfa,0.008018407784623581,INTCUSDT,tradfi_equity,trend_pullback_reclaim,1h,long_short,2,0.2,0.0016036815569247164,-0.016015455825758695,0.0656893011456765,0.02666088948155787
36,az69_pullback_2h_solusdt_slow36_z-1p0_hold12_lev1_e020407f,0.007988520521572704,SOLUSDT,crypto_core,trend_pullback_reclaim,2h,long_short,1,0.1,0.0007988520521572704,-0.01655651622309584,0.008764166273983909,0.0052670585193369535
37,az69_xsmom_1h_amznusdt_lb12_top0p2_hold12_lev2_4079ca8f,0.007126165902285104,AMZNUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_short,2,0.2,0.0014252331804570208,0.0025924055470087914,0.01451012643840488,0.015448347564886222
38,az69_voladj_30m_xptusdt_lb12_th1p25_hold6_lev2_f8ddba67,0.00677297151768513,XPTUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,30m,long_short,2,0.2,0.001354594303537026,-0.08295504155682054,9.577685518480372e-05,0.016126026504832414
39,az69_pullback_30m_tslausdt_slow36_z-1p0_hold6_lev4_24345f8b,0.006425885900604211,TSLAUSDT,tradfi_equity,trend_pullback_reclaim,30m,long_short,4,0.4,0.0025703543602416845,-0.0009361714476148197,0.06378216443586826,0.023181804860580635
40,az69_xsmom_1h_amznusdt_lb12_top0p2_hold12_lev1_cc565a63,0.006253718201164859,AMZNUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_short,1,0.1,0.000625371820116486,0.0013196012462735052,0.007285256770108939,0.007738825162697194
41,az69_pullback_1h_xauusdt_slow36_z-1p0_hold12_lev1_340207d7,0.005891875408989766,XAUUSDT,tradfi_commodity,trend_pullback_reclaim,1h,long_short,1,0.1,0.0005891875408989767,0.016547994098434993,1.6671711221105667e-05,0.002950065638834043
42,az69_voladj_1h_coinusdt_lb12_th1p25_hold6_lev2_d732f59f,0.003151458945783214,COINUSDT,tradfi_equity,volatility_adjusted_trend_persistence,1h,long_short,2,0.2,0.0006302917891566429,0.022574783437956825,0.013983442222841314,0.03292287543469663
43,az69_pullback_2h_trxusdt_slow72_z-0p5_hold12_lev3_2d36d94f,0.0,TRXUSDT,crypto_core,trend_pullback_reclaim,2h,long_short,3,0.30000000000000004,0.0,0.02487385813024967,0.021464137922176052,0.0075979689002315665
44,az69_pullback_30m_tslausdt_slow36_z-1p0_hold6_lev3_3d6ebb49,0.0,TSLAUSDT,tradfi_equity,trend_pullback_reclaim,30m,long_short,3,0.30000000000000004,0.0,-0.0005614468108204873,0.04764748125721385,0.017380189783591793
45,az69_pullback_1h_xauusdt_slow36_z-1p0_hold12_lev2_23fd0950,0.0,XAUUSDT,tradfi_commodity,trend_pullback_reclaim,1h,long_short,2,0.2,0.0,0.033180967795643834,1.202950246348422e-05,0.005894383890355015
46,az69_xsmom_30m_xrpusdt_lb24_top0p2_hold12_lev1_3009ea9a,0.0,XRPUSDT,crypto_core,cross_sectional_momentum_rank,30m,long_short,1,0.1,0.0,-0.045220727348049716,0.002095592376290867,0.008573919243035966
