rank,model_id,family,symbol,timeframe,side,lookback_bars,entry_threshold,exit_threshold,min_hold_bars,cooldown_bars,vol_filter_mode,vol_quantile_max,adx_threshold,trend_strength_threshold,leverage,allocation_fraction,notional_fraction,train_return,validation_return,locked_oos_return,train_mdd,validation_mdd,locked_oos_mdd,train_sharpe,validation_sharpe,locked_oos_sharpe,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,train_exposure_bar_count,validation_exposure_bar_count,locked_oos_exposure_bar_count,train_validation_return_ratio,train_minus_validation_return,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,train_dominant_sample_gate_pass,execution_efficiency_proxy_gate_pass,primary_10bps_promotion_gate_pass,paper_candidate_gate_pass,decision,ready_for_paper,ready_for_real,real_money_execution,replay_live_notional_parity,locked_oos_liquidation_count,locked_oos_account_wipeout_count,rejection_reasons
898,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold48_cool12_none_2p0x_0p15_cf6a48de,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,short_only,12,0.02,0.005,48,12,none,,0.0,0.0,2.0,0.15,0.3,0.17458659939902033,0.10279312835885768,0.0019867242780033934,0.16843676566194066,0.060276540695225256,0.05626693568635477,0.8716055921664629,2.2628605263314956,0.20294392442757436,204,51,22,5299,1315,528,1.6984267546516032,0.07179347104016265,28.52722212402293,67.18505121493966,3.0101883000051415,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_3.010_not_above_10.000
899,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold48_cool12_none_3p0x_0p1_b2a1c8f8,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,short_only,12,0.02,0.005,48,12,none,,0.0,0.0,3.0,0.1,0.30000000000000004,0.17458659939902077,0.10279312835885746,0.0019867242780038374,0.16843676566194077,0.060276540695225256,0.05626693568635477,0.8716055921664629,2.262860526331495,0.2029439244275759,204,51,22,5299,1315,528,1.6984267546516112,0.07179347104016331,28.527222124022998,67.1850512149395,3.010188300005814,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_3.010_not_above_10.000
900,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold18_cool0_none_3p0x_0p15_52f962f3,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,short_only,12,0.02,0.005,18,0,none,,0.0,0.0,3.0,0.15,0.44999999999999996,0.14969728924452919,0.12970790665749354,0.030343309046461986,0.21382563411850464,0.07736992088301009,0.03238500178523829,0.6449010253194505,2.2189108482830253,2.1784087862653942,352,94,30,3879,955,301,1.1541107485437998,0.019989382587035642,9.450586442205127,30.66380772044765,22.476525219601474,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_per_turnover_proxy_bps_9.451_not_above_10.000
962,debrepair_debounced_efficiency_repair_1h_ethusdt_short_only_lb6_e0p02_x0p005_hold12_cool0_adx20_3p0x_0p15_9f75e01e,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,1h,short_only,6,0.02,0.005,12,0,adx20,,20.0,0.0,3.0,0.15,0.44999999999999996,0.22867902481794378,0.10575233527703776,0.008853480041820516,0.14081613504853985,0.042020586489774914,0.014688907241364735,1.1121175146832176,2.2284109917904065,0.8906472024406548,360,94,30,2407,627,199,2.1624016549504734,0.12292668954090602,14.115989186292827,25.000552074949827,6.5581333643114945,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_6.558_not_above_10.000
1080,debrepair_debounced_efficiency_repair_2h_ethusdt_long_short_lb6_e0p02_x0p005_hold18_cool6_trend_strength2_3p0x_0p15_7be67062,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,2h,long_short,6,0.02,0.005,18,6,trend_strength2,,0.0,2.0,3.0,0.15,0.44999999999999996,0.23855254944653015,0.10354746180032137,0.0026032226165191297,0.14623183186214517,0.0804661768001721,0.051761294699181115,1.0004272529893687,1.991989942310969,0.2307878549121455,220,46,22,1992,416,200,2.303799101387435,0.13500508764620878,24.09621711581113,50.02292840595235,2.6295177944637675,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_2.630_not_above_10.000
1082,debrepair_debounced_efficiency_repair_1h_ethusdt_short_only_lb6_e0p02_x0p005_hold18_cool0_none_4p0x_0p1_b887e557,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,1h,short_only,6,0.02,0.005,18,0,none,,0.0,0.0,4.0,0.1,0.4,0.222303070713173,0.09961094626035738,0.00713305654507379,0.1518875205333312,0.05314494024944838,0.018263053933715745,1.1350412612071,2.1657424243477736,0.7142198622112649,320,80,28,3069,761,268,2.2317132710709324,0.12269212445281563,17.367427399466642,31.12842070636168,6.368800486673027,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.4, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.4, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_6.369_not_above_10.000
1191,debrepair_debounced_efficiency_repair_1h_ethusdt_short_only_lb6_e0p02_x0p005_hold12_cool0_none_4p0x_0p1_3c23dbf9,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,1h,short_only,6,0.02,0.005,12,0,none,,0.0,0.0,4.0,0.1,0.4,0.1756877580638052,0.10371622974865091,0.007951442799395414,0.13888910840097335,0.04530250408757053,0.013064623511563789,0.9790461035803317,2.4024751154012387,0.8954132482322633,362,92,30,2422,626,200,1.693927348589245,0.0719715283151543,12.133132462969971,28.183758083872526,6.626202332829512,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.4, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.4, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_6.626_not_above_10.000
1247,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold18_cool0_none_4p0x_0p1_b6c501be,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,short_only,12,0.02,0.005,18,0,none,,0.0,0.0,4.0,0.1,0.4,0.1362546522905299,0.11525447642716591,0.027005634812464763,0.19218307183158134,0.06886155147816875,0.028812297187071234,0.6449010253194501,2.218910848283026,2.178408786265394,352,94,30,3879,955,301,1.1822070301680203,0.021000175863364,9.67717700927059,30.652786283820717,22.50469567705397,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.4, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.4, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_per_turnover_proxy_bps_9.677_not_above_10.000
1252,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p02_x0p005_hold18_cool6_adx20_2p0x_0p15_7fd7c0db,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,short_only,6,0.02,0.005,18,6,adx20,,20.0,0.0,2.0,0.15,0.3,0.21289016235990088,0.08718657740665181,0.005180139178732057,0.08631182603248144,0.04244250388179738,0.02188844094131126,1.1981862535628096,2.3045446658555586,0.6345081234204675,360,90,30,3509,845,290,2.441776804323307,0.12570358495324907,19.712052070361192,32.2913249654266,5.755710198591174,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_5.756_not_above_10.000
1253,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p02_x0p005_hold18_cool6_adx20_3p0x_0p1_732e2dc2,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,short_only,6,0.02,0.005,18,6,adx20,,20.0,0.0,3.0,0.1,0.30000000000000004,0.21289016235989933,0.08718657740665159,0.005180139178732279,0.08631182603248189,0.04244250388179738,0.02188844094131126,1.1981862535628094,2.3045446658555586,0.6345081234204675,360,90,30,3509,845,290,2.441776804323295,0.12570358495324774,19.712052070361047,32.29132496542651,5.75571019859142,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_5.756_not_above_10.000
