decision_rank,model_id,decision,family,symbol,timeframe,train_return,validation_return,locked_oos_return,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons
2418,debrepair_debounced_efficiency_repair_2h_ethusdt_long_short_lb6_e0p03_x0p0_hold48_cool6_low_vol_q65_3p0x_0p15_8a7508cd,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,2h,0.23803922763054142,0.09443352466088917,0.01245900115673737,False,False,False,validation_trade_event_count_25_below_30;locked_oos_trade_event_count_8_below_20;validation_mdd_0.1334_above_0.12
2419,debrepair_debounced_efficiency_repair_4h_solusdt_short_only_lb12_e0p02_x0p005_hold24_cool12_low_vol_q55_adx15_3p0x_0p15_b0817be5,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,4h,0.1346098522181174,0.08169536585394854,0.02523605008750507,False,False,False,validation_trade_event_count_23_below_30;locked_oos_trade_event_count_9_below_20
2448,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p025_x0p0_hold36_cool6_adx20_3p0x_0p15_ee603b40,paper_testnet_candidate_after_fill_preflight,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.2854567676093258,0.08591674381102465,0.04484466962314282,True,False,False,
2449,debrepair_debounced_efficiency_repair_4h_ethusdt_long_short_lb12_e0p025_x0p0_hold48_cool12_none_2p0x_0p15_7bae4c27,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,4h,0.09480707010584033,0.06758937052455738,0.0373046742949783,False,False,False,train_trade_event_count_65_below_80;validation_trade_event_count_17_below_30;locked_oos_trade_event_count_9_below_20
2450,debrepair_debounced_efficiency_repair_4h_ethusdt_long_short_lb12_e0p025_x0p0_hold48_cool12_none_3p0x_0p1_2d12ca9c,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,4h,0.09480707010584011,0.06758937052455738,0.0373046742949783,False,False,False,train_trade_event_count_65_below_80;validation_trade_event_count_17_below_30;locked_oos_trade_event_count_9_below_20
2477,debrepair_debounced_efficiency_repair_1h_ethusdt_short_only_lb6_e0p02_x0p005_hold12_cool12_none_3p0x_0p15_13029bce,train_dominant_shadow_until_execution_efficiency,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,1h,0.3508511208323646,0.06839749449116894,0.011235784556956396,False,False,False,locked_oos_return_per_turnover_proxy_bps_8.917_not_above_10.000
2478,debrepair_debounced_efficiency_repair_1h_ethusdt_short_only_lb6_e0p02_x0p005_hold12_cool12_adx20_3p0x_0p15_93b331bd,train_dominant_shadow_until_execution_efficiency,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,1h,0.3656110910954373,0.06839749449116894,0.011186525225049593,False,False,False,locked_oos_return_per_turnover_proxy_bps_8.878_not_above_10.000
2494,debrepair_debounced_efficiency_repair_2h_ethusdt_long_short_lb6_e0p03_x-0p005_hold48_cool0_low_vol_q65_3p0x_0p15_f62457ca,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,2h,0.35920839857508,0.09078369681590281,0.010552893911764949,False,False,False,validation_trade_event_count_25_below_30;locked_oos_trade_event_count_8_below_20;validation_mdd_0.1265_above_0.12
2495,debrepair_debounced_efficiency_repair_2h_ethusdt_long_short_lb6_e0p03_x-0p005_hold48_cool6_low_vol_q65_3p0x_0p15_d4e8ff70,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,2h,0.24367484806141437,0.09078369681590281,0.010552893911764949,False,False,False,validation_trade_event_count_25_below_30;locked_oos_trade_event_count_8_below_20;validation_mdd_0.1265_above_0.12
2496,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_adx20_3p0x_0p15_0719ce11,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.22242295314068894,0.09418337450960879,0.014143708519347653,False,False,False,validation_mdd_0.1308_above_0.12
2502,debrepair_debounced_efficiency_repair_4h_solusdt_short_only_lb12_e0p02_x0p005_hold12_cool6_adx20_4p0x_0p1_5bb50854,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,4h,0.10514592349050322,0.07666527058372763,0.037405822562112556,False,False,False,locked_oos_trade_event_count_15_below_20
2506,debrepair_debounced_efficiency_repair_4h_solusdt_short_only_lb12_e0p03_x0p0_hold24_cool6_low_vol_q65_4p0x_0p1_dca47aca,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,4h,0.09091330539851983,0.07808292289137997,0.011347668614124062,False,False,False,validation_trade_event_count_18_below_30;locked_oos_trade_event_count_7_below_20
2541,debrepair_debounced_efficiency_repair_1h_ethusdt_short_only_lb12_e0p02_x0p005_hold36_cool6_trend_strength2_4p0x_0p1_2f644ab3,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,1h,0.225201384566867,0.08101906531968117,0.013790575623570334,False,False,False,locked_oos_trade_event_count_19_below_20
2581,debrepair_debounced_efficiency_repair_2h_ethusdt_short_only_lb6_e0p025_x0p0_hold18_cool12_low_vol_q55_adx15_2p0x_0p15_7305ce58,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,2h,0.14749519059346006,0.07242983786918122,0.005150589534924199,False,False,False,locked_oos_trade_event_count_12_below_20
2582,debrepair_debounced_efficiency_repair_2h_ethusdt_short_only_lb6_e0p025_x0p0_hold18_cool12_low_vol_q55_adx15_3p0x_0p1_d34c2cb6,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,2h,0.1474951905934596,0.07242983786918122,0.005150589534924421,False,False,False,locked_oos_trade_event_count_12_below_20
