decision_rank,model_id,decision,family,symbol,timeframe,validation_return,locked_oos_return,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons
18,htf_funding_squeeze_2h_solusdt_lb24_0p0_5p0x_0p1_7a6bd91d,no_promotion_shadow_or_reject,funding_squeeze_continuation,SOLUSDT,2h,0.08905830179842344,-0.04542343971810947,False,False,False,train_return_not_positive;train_validation_return_ratio_-1.5106_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-12.692_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-41.294_not_above_10.000
19,htf_trend_1h_solusdt_lb48_th0p005_5p0x_0p15_6a878af4,no_promotion_shadow_or_reject,htf_trend_persistence,SOLUSDT,1h,0.11150231600796223,-0.1394595397463203,False,False,False,train_return_not_positive;train_validation_return_ratio_-1.5776_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-3.303_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-19.369_not_above_10.000
20,htf_trend_6h_trxusdt_lb24_th0p01_4p0x_0p15_8863c59a,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,6h,0.0795839282373616,0.047172087334260926,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.9230_below_0.50;train_return_per_turnover_proxy_bps_-7.465_not_above_10.000
21,htf_funding_squeeze_2h_solusdt_lb24_5e-05_5p0x_0p1_0383e6bd,no_promotion_shadow_or_reject,funding_squeeze_continuation,SOLUSDT,2h,0.09030781346190286,-0.04191696338328699,False,False,False,train_return_not_positive;train_validation_return_ratio_-1.4523_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-8.862_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-29.941_not_above_10.000
22,htf_funding_squeeze_2h_solusdt_lb24_-2e-05_5p0x_0p1_6cea1402,no_promotion_shadow_or_reject,funding_squeeze_continuation,SOLUSDT,2h,0.08640049044945108,-0.002111070136209592,False,False,False,locked_oos_trade_event_count_12_below_20;train_return_not_positive;train_validation_return_ratio_-1.8495_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-18.368_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-3.518_not_above_10.000
23,htf_funding_squeeze_4h_solusdt_lb12_0p0_5p0x_0p1_db3de3e3,no_promotion_shadow_or_reject,funding_squeeze_continuation,SOLUSDT,4h,0.08521034809378336,-0.03319900559523037,False,False,False,locked_oos_trade_event_count_14_below_20;train_return_not_positive;train_validation_return_ratio_-1.6744_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-18.292_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-47.427_not_above_10.000
24,htf_trend_1h_ethusdt_lb12_th0p04_5p0x_0p15_4de5b1f1,no_promotion_shadow_or_reject,htf_trend_persistence,ETHUSDT,1h,0.06421463178100928,-0.010620649253575865,False,False,False,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_6.616_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-7.080_not_above_10.000
25,htf_funding_squeeze_4h_solusdt_lb12_-2e-05_4p0x_0p1_d8acba14,no_promotion_shadow_or_reject,funding_squeeze_continuation,SOLUSDT,4h,0.07934701945488709,-0.009900720073121816,False,False,False,locked_oos_trade_event_count_10_below_20;train_return_not_positive;train_validation_return_ratio_-1.4789_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-22.566_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-24.752_not_above_10.000
26,htf_trend_1h_ethusdt_lb12_th0p02_4p0x_0p15_4c0efe1c,no_promotion_shadow_or_reject,htf_trend_persistence,ETHUSDT,1h,0.08170937187555838,0.0060646994378639185,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.9027_below_0.50;train_return_per_turnover_proxy_bps_-1.761_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_2.106_not_above_10.000
27,htf_trend_6h_trxusdt_lb48_th0p005_5p0x_0p15_f6c41521,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,6h,0.08571666247290488,0.002285853745374933,False,False,False,validation_trade_event_count_24_below_30;train_return_not_positive;train_validation_return_ratio_-1.3375_below_0.50;train_return_per_turnover_proxy_bps_-8.637_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_1.016_not_above_10.000
