allocator_integer_leverage_only,allocator_selected_grid_score,allocator_selection_basis,continuous_required_leverage,diagnostic_not_promoted,failed_gates,improved_candidate,leverage,mode,name,oos_cagr,oos_calmar,oos_max_drawdown,oos_monthlyized_return,oos_round_trips,oos_sharpe,oos_smart_sortino,oos_sortino,oos_total_return,oos_volatility,promotion_status,raw_train_monthlyized_return,raw_train_total_return,raw_val_monthlyized_return,raw_val_total_return,selected_integer_leverage,sleeve_count,sleeves,success_candidate,train_cagr,train_calmar,train_max_drawdown,train_monthlyized_return,train_round_trips,train_sharpe,train_sortino,train_total_return,train_val_stability_leverage,train_val_stability_score,train_val_stability_sleeve_count,train_val_stability_train_calmar,train_val_stability_train_max_drawdown,train_val_stability_train_monthlyized_return,train_val_stability_train_sharpe,train_val_stability_train_sortino,train_val_stability_validation_calmar,train_val_stability_validation_max_drawdown,train_val_stability_validation_monthlyized_return,train_val_stability_validation_sharpe,train_val_stability_validation_sortino,train_volatility,val_cagr,val_calmar,val_max_drawdown,val_monthlyized_return,val_round_trips,val_sharpe,val_sortino,val_total_return,val_volatility,validation_score,weights
True,27.256575945661556,train_val_monthly_return_budget,1.2551595647035307,True,"oos_return_risk_beats_current_champion,oos_sharpe_high,oos_sortino_high,oos_smart_sortino_high",False,3.0,train_val_monthly_return_budget,fresh_portfolio_train_val_monthly_return_budget_fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z075_ret60_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z100_ret60_h168_ls590_ss100_tp450__fresh_state_distilled_both_lb168_fast72_z050_ret120_h120_ls590_ss100_tp240,0.28589779693356254,4.1015611911678675,0.06970462797171063,0.021175855068540583,40,1.2567859618876303,1.1919800512657106,1.6528156516944346,0.04675887569428028,0.21916837714716303,diagnostic_not_promoted,0.016271155798189385,0.21368390053342967,0.04492948431810828,0.0889235050644317,3.0,4,"fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z075_ret60_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z100_ret60_h168_ls590_ss100_tp450,fresh_state_distilled_both_lb168_fast72_z050_ret120_h120_ls590_ss100_tp240",False,0.6411445086711158,3.611439635335049,0.17753155899326947,0.04214680639802548,255,1.8546118113715448,2.0167287167639727,0.641051701600289,3.0,27.256575945661556,4.0,3.611439635335049,0.17753155899326947,0.04214680639802548,1.8546118113715448,2.0167287167639727,61.85916841372469,0.05371855661250009,0.1297490359257638,6.499974419683825,9.165445391452254,0.2898365377844405,3.322985240434847,61.85916841372469,0.05371855661250009,0.1297490359257638,55,6.499974419683825,9.165445391452254,0.2667705151932951,0.2292757745293173,41.03266590857165,
True,27.2565404876234,train_val_monthly_return_budget,1.2551612669065704,True,"oos_return_risk_beats_current_champion,oos_sharpe_high,oos_sortino_high,oos_smart_sortino_high",False,3.0,train_val_monthly_return_budget,fresh_portfolio_train_val_monthly_return_budget_fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z075_ret60_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z100_ret60_h168_ls590_ss100_tp450__fresh_state_distilled_both_lb168_fast72_z050_ret60_h120_ls590_ss100_tp240,0.28589779693356254,4.1015611911678675,0.06970462797171063,0.021175855068540583,40,1.2567859618876303,1.1919800512657106,1.6528156516944346,0.04675887569428028,0.21916837714716303,diagnostic_not_promoted,0.016271135574703166,0.21368361074326914,0.04492948431810828,0.0889235050644317,3.0,4,"fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z075_ret60_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z100_ret60_h168_ls590_ss100_tp450,fresh_state_distilled_both_lb168_fast72_z050_ret60_h120_ls590_ss100_tp240",False,0.6411436391522085,3.611423610522881,0.17753210597728256,0.042146760385087134,255,1.8546323929187056,2.0166723430460176,0.6410508322298076,3.0,27.2565404876234,4.0,3.611423610522881,0.17753210597728256,0.042146760385087134,1.8546323929187056,2.0166723430460176,61.85916841372469,0.05371855661250009,0.1297490359257638,6.499974419683825,9.165445391452254,0.2898323879203462,3.322985240434847,61.85916841372469,0.05371855661250009,0.1297490359257638,55,6.499974419683825,9.165445391452254,0.2667705151932951,0.2292757745293173,41.03264417430962,
True,27.234642417134236,train_val_monthly_return_budget,1.2645445526255523,True,"oos_return_risk_beats_current_champion,oos_sharpe_high,oos_sortino_high,oos_smart_sortino_high",False,3.0,train_val_monthly_return_budget,fresh_portfolio_train_val_monthly_return_budget_fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z075_ret60_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z100_ret120_h168_ls590_ss100_tp450__fresh_state_distilled_both_lb168_fast72_z050_ret120_h120_ls590_ss100_tp240,0.2858977814240822,4.101560968664989,0.06970462797171063,0.02117585404215605,40,1.2565852050041464,1.1923869288375066,1.653379833635461,0.04675887339984186,0.21921064672361612,diagnostic_not_promoted,0.0161604159410087,0.21209801665019845,0.04492948431810828,0.0889235050644317,3.0,4,"fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z075_ret60_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z100_ret120_h168_ls590_ss100_tp450,fresh_state_distilled_both_lb168_fast72_z050_ret120_h120_ls590_ss100_tp240",False,0.6363860455446173,3.58463615795062,0.17753155899326947,0.04189466429368571,255,1.8446908268226652,2.0059302436811626,0.6362940499505954,3.0,27.234642417134236,4.0,3.58463615795062,0.17753155899326947,0.04189466429368571,1.8446908268226652,2.0059302436811626,61.85916841372469,0.05371855661250009,0.1297490359257638,6.499974419683825,9.165445391452254,0.28981827377447944,3.322985240434847,61.85916841372469,0.05371855661250009,0.1297490359257638,55,6.499974419683825,9.165445391452254,0.2667705151932951,0.2292757745293173,40.91372461732931,
True,27.234607017377893,train_val_monthly_return_budget,1.2645462803789531,True,"oos_return_risk_beats_current_champion,oos_sharpe_high,oos_sortino_high,oos_smart_sortino_high",False,3.0,train_val_monthly_return_budget,fresh_portfolio_train_val_monthly_return_budget_fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z075_ret60_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z100_ret120_h168_ls590_ss100_tp450__fresh_state_distilled_both_lb168_fast72_z050_ret60_h120_ls590_ss100_tp240,0.2858977814240822,4.101560968664989,0.06970462797171063,0.02117585404215605,40,1.2565852050041464,1.1923869288375066,1.653379833635461,0.04675887339984186,0.21921064672361612,diagnostic_not_promoted,0.016160395693268992,0.21209772686003792,0.04492948431810828,0.0889235050644317,3.0,4,"fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z075_ret60_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z100_ret120_h168_ls590_ss100_tp450,fresh_state_distilled_both_lb168_fast72_z050_ret60_h120_ls590_ss100_tp240",False,0.6363851760259978,3.584620215722733,0.17753210597728256,0.04189461815812612,255,1.844711264072616,2.0058741664648383,0.6362931805801137,3.0,27.234607017377893,4.0,3.584620215722733,0.17753210597728256,0.04189461815812612,1.844711264072616,2.0058741664648383,61.85916841372469,0.05371855661250009,0.1297490359257638,6.499974419683825,9.165445391452254,0.2898141236276072,3.322985240434847,61.85916841372469,0.05371855661250009,0.1297490359257638,55,6.499974419683825,9.165445391452254,0.2667705151932951,0.2292757745293173,40.91370288306727,
True,27.23388291715609,train_val_monthly_return_budget,1.2648710173562765,True,"oos_return_risk_beats_current_champion,oos_sharpe_high,oos_sortino_high,oos_smart_sortino_high",False,3.0,train_val_monthly_return_budget,fresh_portfolio_train_val_monthly_return_budget_fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z075_ret120_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z100_ret60_h168_ls590_ss100_tp450__fresh_state_distilled_both_lb168_fast72_z050_ret120_h120_ls590_ss100_tp240,0.28589779693356254,4.1015611911678675,0.06970462797171063,0.021175855068540583,40,1.2567859618876303,1.1919800512657106,1.6528156516944346,0.04675887569428028,0.21916837714716303,diagnostic_not_promoted,0.016156590966969864,0.21204327389703015,0.04492948431810828,0.0889235050644317,3.0,4,"fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z075_ret120_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z100_ret60_h168_ls590_ss100_tp450,fresh_state_distilled_both_lb168_fast72_z050_ret120_h120_ls590_ss100_tp240",False,0.6362217893021125,3.5837109351708714,0.17753155899326947,0.04188594866608719,255,1.8443460672097054,2.0055545162209594,0.6361298216910904,3.0,27.23388291715609,4.0,3.5837109351708714,0.17753155899326947,0.04188594866608719,1.8443460672097054,2.0055545162209594,61.85916841372469,0.05371855661250009,0.1297490359257638,6.499974419683825,9.165445391452254,0.2898179708356084,3.322985240434847,61.85916841372469,0.05371855661250009,0.1297490359257638,55,6.499974419683825,9.165445391452254,0.2667705151932951,0.2292757745293173,40.90961891084169,
True,27.233847518944533,train_val_monthly_return_budget,1.2648727460018951,True,"oos_return_risk_beats_current_champion,oos_sharpe_high,oos_sortino_high,oos_smart_sortino_high",False,3.0,train_val_monthly_return_budget,fresh_portfolio_train_val_monthly_return_budget_fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z075_ret120_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z100_ret60_h168_ls590_ss100_tp450__fresh_state_distilled_both_lb168_fast72_z050_ret60_h120_ls590_ss100_tp240,0.28589779693356254,4.1015611911678675,0.06970462797171063,0.021175855068540583,40,1.2567859618876303,1.1919800512657106,1.6528156516944346,0.04675887569428028,0.21916837714716303,diagnostic_not_promoted,0.016156570718391716,0.21204298410686961,0.04492948431810828,0.0889235050644317,3.0,4,"fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z075_ret120_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z100_ret60_h168_ls590_ss100_tp450,fresh_state_distilled_both_lb168_fast72_z050_ret60_h120_ls590_ss100_tp240",False,0.6362209197835031,3.583694995793693,0.17753210597728256,0.04188590252628255,255,1.8443664993897604,2.0054984480080416,0.6361289523206088,3.0,27.233847518944533,4.0,3.583694995793693,0.17753210597728256,0.04188590252628255,1.8443664993897604,2.0054984480080416,61.85916841372469,0.05371855661250009,0.1297490359257638,6.499974419683825,9.165445391452254,0.28981382068400935,3.322985240434847,61.85916841372469,0.05371855661250009,0.1297490359257638,55,6.499974419683825,9.165445391452254,0.2667705151932951,0.2292757745293173,40.909597176579645,
True,27.214616791308867,train_val_monthly_return_budget,1.2645445526255523,True,"oos_return_risk_beats_current_champion,oos_sharpe_high,oos_sortino_high,oos_smart_sortino_high",False,3.0,train_val_monthly_return_budget,fresh_portfolio_train_val_monthly_return_budget_fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z075_ret60_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z050_ret120_h120_ls590_ss100_tp240__fresh_state_distilled_both_lb168_fast72_z100_ret180_h168_ls590_ss100_tp450,0.27891068197966673,4.003922951870839,0.0696593529226993,0.0207123070597377,39,1.2341480139539005,1.1701745948887199,1.6221725576751698,0.04572291177380716,0.21868831873607503,diagnostic_not_promoted,0.0161604159410087,0.21209801665019845,0.04480942652035824,0.08868100551877767,3.0,4,"fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z075_ret60_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z050_ret120_h120_ls590_ss100_tp240,fresh_state_distilled_both_lb168_fast72_z100_ret180_h168_ls590_ss100_tp450",False,0.6363860455446173,3.58463615795062,0.17753155899326947,0.04189466429368571,255,1.8446908268226652,2.0059302436811626,0.6362940499505954,3.0,27.214616791308867,4.0,3.58463615795062,0.17753155899326947,0.04189466429368571,1.8446908268226652,2.0059302436811626,61.54184083281606,0.053746172958789404,0.129414268632833,6.492494287185499,9.139454826464322,0.28981827377447944,3.30763842160282,61.54184083281606,0.053746172958789404,0.129414268632833,55,6.492494287185499,9.139454826464322,0.266043016556333,0.2289817382397702,40.838471916443886,
True,27.21458139155251,train_val_monthly_return_budget,1.2645462803789531,True,"oos_return_risk_beats_current_champion,oos_sharpe_high,oos_sortino_high,oos_smart_sortino_high",False,3.0,train_val_monthly_return_budget,fresh_portfolio_train_val_monthly_return_budget_fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z075_ret60_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z050_ret60_h120_ls590_ss100_tp240__fresh_state_distilled_both_lb168_fast72_z100_ret180_h168_ls590_ss100_tp450,0.27891068197966673,4.003922951870839,0.0696593529226993,0.0207123070597377,39,1.2341480139539005,1.1701745948887199,1.6221725576751698,0.04572291177380716,0.21868831873607503,diagnostic_not_promoted,0.016160395693268992,0.21209772686003792,0.04480942652035824,0.08868100551877767,3.0,4,"fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z075_ret60_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z050_ret60_h120_ls590_ss100_tp240,fresh_state_distilled_both_lb168_fast72_z100_ret180_h168_ls590_ss100_tp450",False,0.6363851760259978,3.584620215722733,0.17753210597728256,0.04189461815812612,255,1.844711264072616,2.0058741664648383,0.6362931805801137,3.0,27.21458139155251,4.0,3.584620215722733,0.17753210597728256,0.04189461815812612,1.844711264072616,2.0058741664648383,61.54184083281606,0.053746172958789404,0.129414268632833,6.492494287185499,9.139454826464322,0.2898141236276072,3.30763842160282,61.54184083281606,0.053746172958789404,0.129414268632833,55,6.492494287185499,9.139454826464322,0.266043016556333,0.2289817382397702,40.838450182181845,
True,27.212008596594895,train_val_monthly_return_budget,1.2744023460525988,True,"oos_return_risk_beats_current_champion,oos_sharpe_high,oos_sortino_high,oos_smart_sortino_high",False,3.0,train_val_monthly_return_budget,fresh_portfolio_train_val_monthly_return_budget_fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z075_ret120_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z100_ret120_h168_ls590_ss100_tp450__fresh_state_distilled_both_lb168_fast72_z050_ret120_h120_ls590_ss100_tp240,0.2858977814240822,4.101560968664989,0.06970462797171063,0.02117585404215605,40,1.2565852050041464,1.1923869288375066,1.653379833635461,0.04675887339984186,0.21921064672361612,diagnostic_not_promoted,0.01604571362256091,0.21045739001379893,0.04492948431810828,0.0889235050644317,3.0,4,"fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z075_ret120_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z100_ret120_h168_ls590_ss100_tp450,fresh_state_distilled_both_lb168_fast72_z050_ret120_h120_ls590_ss100_tp240",False,0.6314633278098101,3.5569074669915444,0.17753155899326947,0.0416331103464298,255,1.8342944739276723,1.9951440921509447,0.6313721700413968,3.0,27.212008596594895,4.0,3.5569074669915444,0.17753155899326947,0.0416331103464298,1.8342944739276723,1.9951440921509447,61.85916841372469,0.05371855661250009,0.1297490359257638,6.499974419683825,9.165445391452254,0.28981830548442294,3.322985240434847,61.85916841372469,0.05371855661250009,0.1297490359257638,55,6.499974419683825,9.165445391452254,0.2667705151932951,0.2292757745293173,40.79067761959934,
True,27.21197324614661,train_val_monthly_return_budget,1.2744041008485172,True,"oos_return_risk_beats_current_champion,oos_sharpe_high,oos_sortino_high,oos_smart_sortino_high",False,3.0,train_val_monthly_return_budget,fresh_portfolio_train_val_monthly_return_budget_fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z075_ret120_h168_ls590_ss100_tp600__fresh_state_distilled_both_lb168_fast72_z100_ret120_h168_ls590_ss100_tp450__fresh_state_distilled_both_lb168_fast72_z050_ret60_h120_ls590_ss100_tp240,0.2858977814240822,4.101560968664989,0.06970462797171063,0.02117585404215605,40,1.2565852050041464,1.1923869288375066,1.653379833635461,0.04675887339984186,0.21921064672361612,diagnostic_not_promoted,0.016045693349666434,0.2104571002236384,0.04492948431810828,0.0889235050644317,3.0,4,"fresh_state_distilled_both_lb168_fast72_z075_ret180_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z075_ret120_h168_ls590_ss100_tp600,fresh_state_distilled_both_lb168_fast72_z100_ret120_h168_ls590_ss100_tp450,fresh_state_distilled_both_lb168_fast72_z050_ret60_h120_ls590_ss100_tp240",False,0.6314624582914896,3.5568916101986257,0.17753210597728256,0.041633064083295146,255,1.8343147567774827,1.9950882962096455,0.6313713006709152,3.0,27.21197324614661,4.0,3.5568916101986257,0.17753210597728256,0.041633064083295146,1.8343147567774827,1.9950882962096455,61.85916841372469,0.05371855661250009,0.1297490359257638,6.499974419683825,9.165445391452254,0.28981415533595395,3.322985240434847,61.85916841372469,0.05371855661250009,0.1297490359257638,55,6.499974419683825,9.165445391452254,0.2667705151932951,0.2292757745293173,40.7906558853373,
