profile_id,symbol,asset_group,family,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,integer_leverage,notional_fraction,train_return,validation_return,train_mdd,validation_mdd,train_trade_event_count,validation_trade_event_count,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,train_validation_score,profile_objective_score,dominant_anchor,dominant_anchor_abs_corr,ready_for_paper,rejection_reasons,source_profile_id,source_model_id,live_efficiency_score,efficiency_repair_reasons,sleeve_multiplier,weighted_notional_fraction,profile_weight_rank
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,METAUSDT,tradfi_equity,cross_sectional_momentum_rank,2h,long_short,72,0.15000000000000002,0.44999999999999996,54,9,5,0.5,0.005886467726563316,0.04804888135404628,0.00046077930208621165,0.016535391520409504,1,7,117.72935453126632,137.28251815441794,2.060711562647607,,energy_crude_beta,0.07787293838464028,False,train_trade_event_count_1_below_80;validation_trade_event_count_7_below_30;train_return_below_validation_return_possible_validation_spike,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_2h_metausdt_lb72_th0p15_exit0p45_hold54_cool9_lev5_long_short_85372812,-2.1703616887559636,train_below_validation_spike_risk;train_events_1_below_20;validation_events_7_below_8,0.3520263761615929,0.17601318808079644,11
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,BABAUSDT,tradfi_equity,volatility_adjusted_trend_persistence,4h,long_short,12,0.6000000000000001,0.5,42,9,5,0.5,0.0,0.06655333050829215,0.0,0.04716380735369641,0,9,,147.896290018427,1.122115873221202,,energy_crude_beta,0.08805473679946806,False,train_trade_event_count_0_below_80;validation_trade_event_count_9_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_4h_babausdt_lb12_th0p6_exit0p5_hold42_cool9_lev5_long_short_1164a51e,-22.886825490829246,train_return_not_positive;train_below_validation_spike_risk;train_events_0_below_20;train_rpt_-1000000000.000_not_above_10bps,0.3321873498391108,0.1660936749195554,12
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,MSTRUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_only,48,0.05,0.55,12,12,3,0.30000000000000004,0.0009817734730579453,0.02768268011194941,0.0010118158310586933,0.026215516294694097,2,10,16.36289121763242,92.27560037316469,1.146209378136271,,energy_crude_beta,0.12638820505927234,False,train_trade_event_count_2_below_80;validation_trade_event_count_10_below_30;train_return_below_validation_return_possible_validation_spike,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_1h_mstrusdt_lb48_th0p05_exit0p55_hold12_cool12_lev3_long_only_b2b0034e,-4.924643971949863,train_below_validation_spike_risk;train_events_2_below_20,0.551646116006037,0.16549383480181112,13
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,TRXUSDT,crypto_core,volatility_adjusted_trend_persistence,1h,long_only,6,1.3,0.15000000000000002,30,9,6,0.6000000000000001,0.10163424914604247,0.0037737090694740516,0.12884899193131882,0.03256147721479541,395,54,4.28836494287099,1.1647250214426084,-0.04571790904811314,,crypto_liquidity_eth,0.018214731698586496,False,validation_return_0.0038_below_0.02;train_return_per_turnover_proxy_bps_4.288_not_above_10.000;validation_return_per_turnover_proxy_bps_1.165_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_1h_trxusdt_lb6_th1p3_exit0p15_hold30_cool9_lev6_long_only_8b3d8711,-11.390899705818617,train_rpt_4.288_not_above_10bps;validation_rpt_1.165_not_above_10bps,0.23227306946657097,0.13936384167994262,14
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,BZUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,4h,long_short,12,1.4,0.2,6,15,5,0.5,0.0004859377276951182,-0.020789854507252126,0.0009603868732762644,0.057029114373357115,1,22,9.718754553902365,-18.899867733865566,-0.5546289844060881,,energy_crude_beta,0.08092200543576131,False,train_trade_event_count_1_below_80;validation_trade_event_count_22_below_30;validation_return_-0.0208_below_0.02;train_return_per_turnover_proxy_bps_9.719_not_above_10.000;validation_return_per_turnover_proxy_bps_-18.900_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_4h_bzusdt_lb12_th1p4_exit0p2_hold6_cool15_lev5_long_short_3d1b3ef4,-18.332666176312944,validation_return_not_positive;train_events_1_below_20;train_rpt_9.719_not_above_10bps;validation_rpt_-18.900_not_above_10bps,0.27747548194544436,0.13873774097272218,15
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,ADAUSDT,crypto_core,cross_sectional_momentum_rank,4h,short_only,6,0.05,0.39999999999999997,42,18,3,0.30000000000000004,0.17947479293710078,0.017305400855920583,0.1307874611353096,0.030440253935924422,64,7,93.47645465473998,82.40667074247895,1.7372404227601472,,us_equity_beta_spy,0.032278410764497015,False,train_trade_event_count_64_below_80;validation_trade_event_count_7_below_30;validation_return_0.0173_below_0.02,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_4h_adausdt_lb6_th0p05_exit0p4_hold42_cool18_lev3_short_only_ad0b8fd3,1.1190987025426082,validation_events_7_below_8,0.439975652602055,0.13199269578061654,16
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,DOGEUSDT,crypto_core,cross_sectional_momentum_rank,1h,short_only,12,0.05,0.35,12,12,2,0.2,0.17778480218217974,-0.012705089258650104,0.06666682680100156,0.018326134890692347,332,28,26.774819605749958,-22.687659390446612,-0.22296449514365807,,crypto_liquidity_eth,0.015301300714141805,False,validation_trade_event_count_28_below_30;validation_return_-0.0127_below_0.02;validation_return_per_turnover_proxy_bps_-22.688_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_1h_dogeusdt_lb12_th0p05_exit0p35_hold12_cool12_lev2_short_only_5b714ea3,-13.576987504518534,validation_return_not_positive;validation_rpt_-22.688_not_above_10bps,0.6592380853275127,0.13184761706550255,17
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,PLTRUSDT,tradfi_equity,volatility_adjusted_trend_persistence,30m,long_short,12,0.4,0.6,24,12,2,0.2,0.026267730129404976,-0.00021636583272877097,0.022200320577704935,0.05701791961982128,134,141,9.801391839330215,-0.07672547259885494,-0.14930139381355503,,precious_metal_gold,0.021033039725239264,False,validation_return_-0.0002_below_0.02;train_return_per_turnover_proxy_bps_9.801_not_above_10.000;validation_return_per_turnover_proxy_bps_-0.077_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_30m_pltrusdt_lb12_th0p4_exit0p6_hold24_cool12_lev2_long_short_74ade864,-11.038740995876092,validation_return_not_positive;train_rpt_9.801_not_above_10bps;validation_rpt_-0.077_not_above_10bps,0.632547887211281,0.1265095774422562,18
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,ETHUSDT,crypto_core,volatility_adjusted_trend_persistence,30m,short_only,12,1.4,0.4,18,18,5,0.5,0.12296370506731313,0.004318476348742939,0.2167749185254797,0.05034545414792069,600,76,4.098790168910438,1.1364411444060367,-0.11357258271097077,,silver_metal_beta,0.02537803193528717,False,validation_return_0.0043_below_0.02;train_return_per_turnover_proxy_bps_4.099_not_above_10.000;validation_return_per_turnover_proxy_bps_1.136_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_30m_ethusdt_lb12_th1p4_exit0p4_hold18_cool18_lev5_short_only_88a82596,-11.797181799259354,train_rpt_4.099_not_above_10bps;validation_rpt_1.136_not_above_10bps,0.24202611986523864,0.12101305993261932,19
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,HOODUSDT,tradfi_equity,trend_pullback_reclaim,1h,short_only,36,-0.25,0.0,30,6,3,0.30000000000000004,0.049379756213416615,0.013213867100697163,0.03143199753495174,0.03211273700606476,16,8,102.8744921112846,55.057779586238176,1.442167229279455,,crypto_liquidity_eth,0.06923267705257151,False,train_trade_event_count_16_below_80;validation_trade_event_count_8_below_30;validation_return_0.0132_below_0.02,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_trend_pullback_reclaim_1h_hoodusdt_lb36_th-0p25_exit0_hold30_cool6_lev3_short_only_b0ba9665,0.5497181537025199,train_events_16_below_20,0.36136048656178943,0.10840814596853685,20
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,XAUUSDT,tradfi_commodity,cross_sectional_momentum_rank,2h,long_short,24,0.15000000000000002,0.55,72,3,2,0.2,0.019358561669367447,0.005089012169428031,0.023225435257937188,0.004978937610694456,16,2,60.49550521677327,127.22530423570078,1.6436701864176768,,precious_metal_gold,0.05155338919490279,False,train_trade_event_count_16_below_80;validation_trade_event_count_2_below_30;validation_return_0.0051_below_0.02,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_2h_xauusdt_lb24_th0p15_exit0p55_hold72_cool3_lev2_long_short_aa95705b,-1.3076022639187554,train_events_16_below_20;validation_events_2_below_8,0.5125539950371054,0.10251079900742109,21
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,WMTUSDT,tradfi_equity,volatility_adjusted_trend_persistence,1h,short_only,12,1.7000000000000002,0.15000000000000002,30,15,6,0.6000000000000001,0.0,0.06123037332321335,0.0,0.011635130186140041,0,7,,145.78660315050794,1.248261710336191,,energy_crude_beta,0.1357750827239196,False,train_trade_event_count_0_below_80;validation_trade_event_count_7_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_1h_wmtusdt_lb12_th1p7_exit0p15_hold30_cool15_lev6_short_only_a4219373,-22.99456478555584,train_return_not_positive;train_below_validation_spike_risk;train_events_0_below_20;validation_events_7_below_8;train_rpt_-1000000000.000_not_above_10bps,0.139906279359657,0.08394376761579421,22
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,ORCLUSDT,tradfi_equity,volatility_adjusted_trend_persistence,2h,long_only,12,0.4,0.55,6,12,3,0.30000000000000004,0.0,0.04640804972426138,0.0,0.0068949664451581905,0,9,,171.8816656454125,1.2227553945032625,,precious_metal_gold,0.06532020932792797,False,train_trade_event_count_0_below_80;validation_trade_event_count_9_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_2h_orclusdt_lb12_th0p4_exit0p55_hold6_cool12_lev3_long_only_381a331e,-21.97385220630063,train_return_not_positive;train_below_validation_spike_risk;train_events_0_below_20;train_rpt_-1000000000.000_not_above_10bps,0.23900877472848212,0.07170263241854465,23
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,EWJUSDT,tradfi_etf_index,cross_sectional_momentum_rank,2h,long_only,6,0.1,0.5,54,3,5,0.5,0.0014862435974329902,-0.007029059267104176,0.023199888666883384,0.024237768713583074,3,10,9.908290649553267,-14.058118534208353,-0.2373593661923042,,energy_crude_beta,0.043367516387126354,False,train_trade_event_count_3_below_80;validation_trade_event_count_10_below_30;validation_return_-0.0070_below_0.02;train_return_per_turnover_proxy_bps_9.908_not_above_10.000;validation_return_per_turnover_proxy_bps_-14.058_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_2h_ewjusdt_lb6_th0p1_exit0p5_hold54_cool3_lev5_long_only_b01f80c7,-16.339083860276222,validation_return_not_positive;train_events_3_below_20;train_rpt_9.908_not_above_10bps;validation_rpt_-14.058_not_above_10bps,0.13445092765605282,0.06722546382802641,24
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,NVDAUSDT,tradfi_equity,volatility_adjusted_trend_persistence,1h,long_short,72,0.8,0.05,18,12,2,0.2,0.0023299163550334345,-0.0023868934450612667,0.00804663585836829,0.03021614460663613,5,32,23.299163550334345,-3.729521007908229,0.009180507788068226,,crypto_liquidity_eth,0.03399052052109581,False,train_trade_event_count_5_below_80;validation_return_-0.0024_below_0.02;validation_return_per_turnover_proxy_bps_-3.730_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_1h_nvdausdt_lb72_th0p8_exit0p05_hold18_cool12_lev2_long_short_ac3b46f6,-11.73478340199177,validation_return_not_positive;train_events_5_below_20;validation_rpt_-3.730_not_above_10bps,0.32108964436488646,0.0642179288729773,25
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,AVAXUSDT,crypto_core,volatility_adjusted_trend_persistence,30m,short_only,6,2.0,0.05,24,12,4,0.4,0.010291804118239156,0.01690029670353388,0.2325665074946518,0.047241204702956896,525,66,0.4900859103923408,6.401627539217378,0.0038460422007911554,,high_beta_alt_sol,0.016193759127512277,False,validation_return_0.0169_below_0.02;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_0.490_not_above_10.000;validation_return_per_turnover_proxy_bps_6.402_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_30m_avaxusdt_lb6_th2_exit0p05_hold24_cool12_lev4_short_only_55f288f8,-11.153006060854407,train_below_validation_spike_risk;train_rpt_0.490_not_above_10bps;validation_rpt_6.402_not_above_10bps,0.15762723694083525,0.0630508947763341,26
