fallback_rank,status,decision,model_id,candidate_name,train_return,validation_return,locked_oos_return,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,validation_mdd,train_validation_return_ratio,primary_10bps_promotion_gate_pass,execution_efficiency_proxy_gate_pass,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,return_per_turnover_proxy_threshold_bps,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons
14,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_6p0x_0p15alloc,alpha_zoo_conservative_exit,0.05089701163082627,0.23276927378878653,-0.03613930184180558,476,103,56,0.0724575963251314,0.21865863480336292,False,False,1.1880721669193808,25.109954022522825,-7.170496397183649,10.0,False,False,False,train_validation_return_ratio_0.2187_below_0.50;train_return_per_turnover_proxy_bps_1.188_not_above_10.000;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-7.170_not_above_10.000;primary_10bps_promotion_gate_failed
15,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_7p0x_0p15alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.2469799968908064,0.07572443448626331,-0.0022533146249008595,42,8,1,0.017492844285999048,3.261562777806013,False,False,56.00453444235972,90.14813629317061,-21.46013928477009,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
16,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_7p0x_0p15alloc,alpha_zoo_conservative_exit,0.2469799968908064,0.07572443448626331,-0.0022533146249008595,42,8,1,0.017492844285999048,3.261562777806013,False,False,56.00453444235972,90.14813629317061,-21.46013928477009,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
17,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_4p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.3346570119376624,0.05772792493636425,-0.0017168111427816601,42,8,1,0.013330264083699106,5.797142584053868,False,False,99.60030117192333,90.19988271306914,-21.46013928477075,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
18,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_4p0x_0p2alloc,alpha_zoo_conservative_exit,0.3346570119376624,0.05772792493636425,-0.0017168111427816601,42,8,1,0.013330264083699106,5.797142584053868,False,False,99.60030117192333,90.19988271306914,-21.46013928477075,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
19,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.051363965593672845,0.22598292080363946,-0.03508690835760464,476,103,56,0.07049785759646476,0.22729136082944915,False,False,1.2332284656344021,25.074387883898968,-7.160593542368295,10.0,False,False,False,train_validation_return_ratio_0.2273_below_0.50;train_return_per_turnover_proxy_bps_1.233_not_above_10.000;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-7.161_not_above_10.000;primary_10bps_promotion_gate_failed
20,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_5p0x_0p175alloc,alpha_zoo_conservative_exit,0.051363965593672845,0.22598292080363946,-0.03508690835760464,476,103,56,0.07049785759646476,0.22729136082944915,False,False,1.2332284656344021,25.074387883898968,-7.160593542368295,10.0,False,False,False,train_validation_return_ratio_0.2273_below_0.50;train_return_per_turnover_proxy_bps_1.233_not_above_10.000;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-7.161_not_above_10.000;primary_10bps_promotion_gate_failed
21,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p125alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.311551607633334,0.05412577669219609,-0.0016095104463577092,42,8,1,0.012497559391810666,5.756067195212255,False,False,98.90527226455048,90.20962782032683,-21.460139284769458,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
22,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p15alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.311551607633334,0.05412577669219609,-0.0016095104463577092,42,8,1,0.012497559391810666,5.756067195212255,False,False,98.90527226455048,90.20962782032683,-21.460139284769458,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
23,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p125alloc,alpha_zoo_conservative_exit,0.311551607633334,0.05412577669219609,-0.0016095104463577092,42,8,1,0.012497559391810666,5.756067195212255,False,False,98.90527226455048,90.20962782032683,-21.460139284769458,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
24,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_5p0x_0p15alloc,alpha_zoo_conservative_exit,0.311551607633334,0.05412577669219609,-0.0016095104463577092,42,8,1,0.012497559391810666,5.756067195212255,False,False,98.90527226455048,90.20962782032683,-21.460139284769458,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
25,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_4p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.28874924116819334,0.050522735702561716,-0.0015022097499338694,42,8,1,0.011664793358210693,5.715233689405155,False,False,98.21402760822903,90.21917089743164,-21.460139284769564,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
26,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_4p0x_0p175alloc,alpha_zoo_conservative_exit,0.28874924116819334,0.050522735702561716,-0.0015022097499338694,42,8,1,0.011664793358210693,5.715233689405155,False,False,98.21402760822903,90.21917089743164,-21.460139284769564,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
27,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_7p0x_0p125alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.20703310923796447,0.06312942079041761,-0.00187776218741742,42,8,1,0.014579204658876799,3.279502752374214,False,False,56.33553992869782,90.18488684345373,-21.460139284770516,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
28,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_7p0x_0p125alloc,alpha_zoo_conservative_exit,0.20703310923796447,0.06312942079041761,-0.00187776218741742,42,8,1,0.014579204658876799,3.279502752374214,False,False,56.33553992869782,90.18488684345373,-21.460139284770516,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
29,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_4p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.05211352255596591,0.20572777034030243,-0.031945237089857303,476,103,56,0.06460065120404869,0.2533130188003441,False,False,1.368527378045323,24.966962419939613,-7.130633278986004,10.0,False,False,False,train_validation_return_ratio_0.2533_below_0.50;train_return_per_turnover_proxy_bps_1.369_not_above_10.000;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-7.131_not_above_10.000;primary_10bps_promotion_gate_failed
30,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_4p0x_0p2alloc,alpha_zoo_conservative_exit,0.05211352255596591,0.20572777034030243,-0.031945237089857303,476,103,56,0.06460065120404869,0.2533130188003441,False,False,1.368527378045323,24.966962419939613,-7.130633278986004,10.0,False,False,False,train_validation_return_ratio_0.2533_below_0.50;train_return_per_turnover_proxy_bps_1.369_not_above_10.000;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-7.131_not_above_10.000;primary_10bps_promotion_gate_failed
31,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p125alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.25510870003819774,0.04511655305454387,-0.0013412587052981095,42,8,1,0.010415530740801173,5.654436847819089,False,False,97.18426668121818,90.23310610908774,-21.460139284769753,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
