fallback_rank,status,decision,model_id,candidate_name,train_return,validation_return,locked_oos_return,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,validation_mdd,train_validation_return_ratio,primary_10bps_promotion_gate_pass,execution_efficiency_proxy_gate_pass,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,return_per_turnover_proxy_threshold_bps,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons
42,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_5p0x_0p15alloc,alpha_zoo_conservative_exit,0.05206904998058137,0.19231194941198448,-0.029863887006076006,476,103,56,0.060654161600529596,0.2707530662540127,False,False,1.45851680617875,24.894750732942974,-7.110449287160954,10.0,False,False,False,train_validation_return_ratio_0.2708_below_0.50;train_return_per_turnover_proxy_bps_1.459_not_above_10.000;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-7.110_not_above_10.000;primary_10bps_promotion_gate_failed
43,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_7p0x_0p1alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.1663529027542454,0.050522735702561716,-0.0015022097499338694,42,8,1,0.011664793358210693,3.2926345028820485,False,False,56.58261998443721,90.21917089743162,-21.46013928476956,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
44,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_7p0x_0p1alloc,alpha_zoo_conservative_exit,0.1663529027542454,0.050522735702561716,-0.0015022097499338694,42,8,1,0.011664793358210693,3.2926345028820485,False,False,56.58261998443721,90.21917089743162,-21.46013928476956,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
45,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_3p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.2112931094561492,0.03790541022974048,-0.0011266573124504298,42,8,1,0.008749638740687777,5.574220359983579,False,False,95.82453943589535,90.25097673747734,-21.460139284770094,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
46,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_3p0x_0p175alloc,alpha_zoo_conservative_exit,0.2112931094561492,0.03790541022974048,-0.0011266573124504298,42,8,1,0.008749638740687777,5.574220359983579,False,False,95.82453943589535,90.25097673747734,-21.460139284770094,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
47,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_4p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.05158851245410512,0.17896715133639396,-0.02779317719932939,476,103,56,0.056695632010398435,0.2882568788120075,False,False,1.5482746834965522,24.822073694368097,-7.090096224318722,10.0,False,False,False,train_validation_return_ratio_0.2883_below_0.50;train_return_per_turnover_proxy_bps_1.548_not_above_10.000;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-7.090_not_above_10.000;primary_10bps_promotion_gate_failed
48,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_4p0x_0p175alloc,alpha_zoo_conservative_exit,0.05158851245410512,0.17896715133639396,-0.02779317719932939,476,103,56,0.056695632010398435,0.2882568788120075,False,False,1.5482746834965522,24.822073694368097,-7.090096224318722,10.0,False,False,False,train_validation_return_ratio_0.2883_below_0.50;train_return_per_turnover_proxy_bps_1.548_not_above_10.000;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-7.090_not_above_10.000;primary_10bps_promotion_gate_failed
49,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p1alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.20052266550095488,0.03610212697733961,-0.0010730069642385098,42,8,1,0.008333129059979948,5.554317218672957,False,False,95.48698357188327,90.25531744334903,-21.460139284770197,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
50,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_4p0x_0p125alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.20052266550095488,0.03610212697733961,-0.0010730069642385098,42,8,1,0.008333129059979948,5.554317218672957,False,False,95.48698357188327,90.25531744334903,-21.460139284770197,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
51,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_5p0x_0p1alloc,alpha_zoo_conservative_exit,0.20052266550095488,0.03610212697733961,-0.0010730069642385098,42,8,1,0.008333129059979948,5.554317218672957,False,False,95.48698357188327,90.25531744334903,-21.460139284770197,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
52,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_4p0x_0p125alloc,alpha_zoo_conservative_exit,0.20052266550095488,0.03610212697733961,-0.0010730069642385098,42,8,1,0.008333129059979948,5.554317218672957,False,False,95.48698357188327,90.25531744334903,-21.460139284770197,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
53,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_7p0x_0p075alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.12513334793034403,0.03790541022974048,-0.0011266573124504298,42,8,1,0.008749638740687777,3.3012002026076153,False,False,56.74981765548482,90.25097673747732,-21.46013928477009,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
54,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_7p0x_0p075alloc,alpha_zoo_conservative_exit,0.12513334793034403,0.03790541022974048,-0.0011266573124504298,42,8,1,0.008749638740687777,3.3012002026076153,False,False,56.74981765548482,90.25097673747732,-21.46013928477009,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
55,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_quality_single_pair_7p0x_0p2alloc,alpha_zoo_quality_single_pair,0.456915810382841,0.004724291764729438,0.01838205310269525,405,86,53,0.14911683261358866,96.71625571351831,True,False,8.05847990093194,0.3923830369376609,2.4773656472635106,10.0,False,False,False,validation_return_0.0047_below_0.02;train_return_per_turnover_proxy_bps_8.058_not_above_10.000;validation_return_per_turnover_proxy_bps_0.392_not_above_10.000;validation_mdd_0.1491_above_0.12;locked_oos_return_per_turnover_proxy_bps_2.477_not_above_10.000
56,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p125alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.05005015361318299,0.1590848205113926,-0.024707369184912453,476,103,56,0.05073521569102433,0.31461300614535204,False,False,1.6823581046448064,24.712205127983317,-7.059248338546415,10.0,False,False,False,train_validation_return_ratio_0.3146_below_0.50;train_return_per_turnover_proxy_bps_1.682_not_above_10.000;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-7.059_not_above_10.000;primary_10bps_promotion_gate_failed
57,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_5p0x_0p125alloc,alpha_zoo_conservative_exit,0.05005015361318299,0.1590848205113926,-0.024707369184912453,476,103,56,0.05073521569102433,0.31461300614535204,False,False,1.6823581046448064,24.712205127983317,-7.059248338546415,10.0,False,False,False,train_validation_return_ratio_0.3146_below_0.50;train_return_per_turnover_proxy_bps_1.682_not_above_10.000;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-7.059_not_above_10.000;primary_10bps_promotion_gate_failed
58,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_quality_single_pair_7p0x_0p175alloc,alpha_zoo_quality_single_pair,0.4107111658372702,0.0055326884968947,0.017061480665671036,405,86,53,0.1315318864074567,74.23356042325312,True,False,8.27838076769504,0.5251721401893403,2.6278753431915343,10.0,False,False,False,validation_return_0.0055_below_0.02;train_return_per_turnover_proxy_bps_8.278_not_above_10.000;validation_return_per_turnover_proxy_bps_0.525_not_above_10.000;validation_mdd_0.1315_above_0.12;locked_oos_return_per_turnover_proxy_bps_2.628_not_above_10.000
59,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_quality_single_pair_6p0x_0p2alloc,alpha_zoo_quality_single_pair,0.403752335563754,0.005615638424664615,0.016850218726474075,405,86,53,0.12899584140005416,71.8978511491091,True,False,8.307661225591646,0.54415101014192,2.6494054601374333,10.0,False,False,False,validation_return_0.0056_below_0.02;train_return_per_turnover_proxy_bps_8.308_not_above_10.000;validation_return_per_turnover_proxy_bps_0.544_not_above_10.000;validation_mdd_0.1290_above_0.12;locked_oos_return_per_turnover_proxy_bps_2.649_not_above_10.000
60,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p1alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.049319630496288624,0.15249372025519325,-0.02368423861095481,476,103,56,0.04874236700246622,0.3234207311209526,False,False,1.7268778184975007,24.675359264594373,-7.048880538974644,10.0,False,False,False,train_validation_return_ratio_0.3234_below_0.50;train_return_per_turnover_proxy_bps_1.727_not_above_10.000;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-7.049_not_above_10.000;primary_10bps_promotion_gate_failed
