rank,candidate_id,name,strategy_class,family,strategy_timeframe,symbols,selected_fold_count,selected_folds,mean_validation_return,mean_validation_sharpe,mean_oos_report_only_return,mean_oos_report_only_sharpe,mean_oos_report_only_max_drawdown,oos_report_only_positive_return_and_sharpe_count,selection_status
28,1b67a7f671c3c91a,composite_trend_stable_30m_stable_ls_crashguard_ls_0.75_0.45_0.20_0.82,CompositeTrendStrategy,trend,30m,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",1,WF202604,0.034569459176341466,1.6606503321268236,-0.0324757929078614,-11.306393422269522,0.03461401236598838,0,selected_once_train_validation
29,c01a3510bb5eab15,pair_spread_1h_exec_tightstop_tp_btcusdt_trxusdt_2.6_0.70,PairSpreadZScoreStrategy,market_neutral,1h,"BTC/USDT,TRX/USDT",1,WF202604,0.038798128168283874,2.52692437169386,0.0,0.0,0.0,0,selected_once_train_validation
30,f54d2780eb950ba8,pair_spread_1h_exec_takeprofit_btcusdt_trxusdt_2.6_0.70,PairSpreadZScoreStrategy,market_neutral,1h,"BTC/USDT,TRX/USDT",1,WF202604,0.038798128168283874,2.52692437169386,0.0,0.0,0.0,0,selected_once_train_validation
31,bc5b361892847da3,composite_trend_stable_30m_stable_ls_core_ls_0.60_0.45_0.20_0.80,CompositeTrendStrategy,trend,30m,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",1,WF202604,0.03288732091750557,1.3726522339689982,-0.04756634665293291,-11.640151524388642,0.05101867571163765,0,selected_once_train_validation
32,1523ae68946b002a,pair_spread_1h_core_btcusdt_trxusdt_2.6_0.70,PairSpreadZScoreStrategy,market_neutral,1h,"BTC/USDT,TRX/USDT",1,WF202604,0.038798128168283874,2.52692437169386,0.0,0.0,0.0,0,selected_once_train_validation
33,ab940796e8245b88,pair_spread_1h_state_atr_btcusdt_trxusdt_2.6_0.70,PairSpreadZScoreStrategy,market_neutral,1h,"BTC/USDT,TRX/USDT",1,WF202604,0.038798128168283874,2.52692437169386,0.0,0.0,0.0,0,selected_once_train_validation
34,346eaec5b7f79e2d,pair_spread_1h_state_vwap_btcusdt_trxusdt_2.6_0.70,PairSpreadZScoreStrategy,market_neutral,1h,"BTC/USDT,TRX/USDT",1,WF202604,0.038798128168283874,2.52692437169386,0.0,0.0,0.0,0,selected_once_train_validation
35,a1912ebf2f4457db,pair_spread_4h_fast_cycle_btcusdt_bnbusdt_2.0_0.50,PairSpreadZScoreStrategy,market_neutral,4h,"BTC/USDT,BNB/USDT",1,WF202607_PARTIAL,0.024985978840535994,2.678568792527604,0.0,0.0,0.0,0,selected_once_train_validation
36,7da189bdfded8ca7,carry_trend_factor_rotation_1h_guarded_ls_32_8_0.150,CarryTrendFactorRotationStrategy,cross_sectional,1h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",1,WF202607_PARTIAL,0.04595581483096356,1.8077300678832016,0.005545397931081997,8.518058165071055,0.006531754336418505,1,selected_once_train_validation
37,fa62852b1894fd94,rolling_breakout_1h_guarded_ls_48_0.002,RollingBreakoutStrategy,trend,1h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",1,WF202607_PARTIAL,0.10736757649484607,1.6959581656767635,-0.005964605924394961,-7.648225968812415,0.014030484142835142,0,selected_once_train_validation
38,8d8d50f568a3eb3a,last_day_liquidity_regime_1h_liquid_momo_ls_24_6_0.012,LastDayLiquidityRegimeStrategy,cross_sectional,1h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",1,WF202606,0.03457839038819688,2.395404836581944,-0.039100139280111246,-4.4591881599902425,0.059092426374941165,0,selected_once_train_validation
39,231ff8a644aa4d76,composite_trend_stable_30m_stable_ls_tefilter_ls_0.60_0.45_0.25_0.80,CompositeTrendStrategy,trend,30m,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",1,WF202604,0.014851043873725933,0.6093492858787024,-0.030072925046176535,-12.581616061430854,0.0338535040398934,0,selected_once_train_validation
40,0af8d5a205263172,deep_research_vol_managed_momentum_crash_gate_1h_balanced_ls_96_0.018,VolManagedMomentumCrashGateStrategy,deep_research_leaf,1h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",1,WF202607_PARTIAL,0.029936151070298234,1.430685246796471,0.017413506698557457,31.44561094900541,0.0028971113725257958,1,selected_once_train_validation
41,9e6a5e49e6314c0b,pair_spread_1h_exec_takeprofit_btcusdt_trxusdt_2.2_0.55,PairSpreadZScoreStrategy,market_neutral,1h,"BTC/USDT,TRX/USDT",1,WF202604,0.01333928994357092,0.44779901116469917,0.004381725289618554,0.3733773637233406,0.012297411240540956,1,selected_once_train_validation
42,fcc0d9199e8072cf,rolling_breakout_30m_guarded_ls_64_0.002,RollingBreakoutStrategy,trend,30m,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",1,WF202607_PARTIAL,0.04707221161083486,0.823895366991415,0.014091521772248594,13.42882401122743,0.015082709315887288,1,selected_once_train_validation
43,99ac95a048fe9e4b,carry_trend_factor_rotation_1h_balanced_lo_24_8_0.200,CarryTrendFactorRotationStrategy,cross_sectional,1h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",1,WF202607_PARTIAL,0.010770848720514481,0.34548702065387976,0.013112234075570495,19.231274751101584,0.006696595248019022,1,selected_once_train_validation
44,777eca665fe45718,topcap_tsmom_1h_resid_beta_neutral_24_4_0.008,TopCapTimeSeriesMomentumStrategy,cross_sectional,1h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",1,WF202607_PARTIAL,0.011614369968108829,0.3247978308444272,0.007054665862527898,12.17190154506329,0.004752823312275889,1,selected_once_train_validation
45,8276d1b985afad0c,perp_crowding_carry_4h_0.35_0.10,PerpCrowdingCarryStrategy,carry,4h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",1,WF202606,0.007045773462809102,0.10774251620823136,-0.024128665687224715,-3.203943841178588,0.03960554044960973,0,selected_once_train_validation
46,c7e2e88933263535,deep_research_vol_managed_momentum_crash_gate_4h_swing_ls_60_0.026,VolManagedMomentumCrashGateStrategy,deep_research_leaf,4h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",1,WF202607_PARTIAL,0.007675920408202197,0.1591156355151698,0.00391110718979526,10.829425749059205,0.0025760549716655756,1,selected_once_train_validation
47,935194a42d3d9275,deep_research_vol_managed_momentum_crash_gate_1h_guarded_lo_120_0.016,VolManagedMomentumCrashGateStrategy,deep_research_leaf,1h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",1,WF202606,0.0065901661864800065,0.0791496799549595,-0.0255182709907108,-2.789676445422636,0.03671186829173789,0,selected_once_train_validation
