decision_rank,model_id,decision,family,symbol,timeframe,train_return,validation_return,locked_oos_return,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons
1691,divtd_debounced_hysteresis_trend_1h_ethusdt_short_only_lb12_e0p02_x0p005_hold6_4p0x_0p1_4f1ab912,train_dominant_shadow_until_execution_efficiency,debounced_momentum_hysteresis,ETHUSDT,1h,0.07789931072427336,0.03224395540533531,0.0069143985559747545,False,False,False,train_return_per_turnover_proxy_bps_5.440_not_above_10.000;validation_return_per_turnover_proxy_bps_8.576_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_5.084_not_above_10.000
1694,divtd_debounced_hysteresis_trend_12h_bnbusdt_long_only_lb24_e0p02_x0p005_hold12_2p0x_0p1_9ec586db,no_promotion_shadow_or_reject,debounced_momentum_hysteresis,BNBUSDT,12h,0.03324581835332596,0.0035005417350364443,0.002205411431904114,False,False,False,train_trade_event_count_29_below_80;validation_trade_event_count_4_below_30;locked_oos_trade_event_count_3_below_20;validation_return_0.0035_below_0.02
1695,divtd_debounced_hysteresis_trend_12h_bnbusdt_long_only_lb24_e0p02_x0p005_hold24_2p0x_0p1_51f1135f,no_promotion_shadow_or_reject,debounced_momentum_hysteresis,BNBUSDT,12h,0.04142570423805969,0.0035005417350364443,0.002205411431904114,False,False,False,train_trade_event_count_23_below_80;validation_trade_event_count_4_below_30;locked_oos_trade_event_count_3_below_20;validation_return_0.0035_below_0.02
1766,divtd_debounced_hysteresis_trend_1h_ethusdt_short_only_lb12_e0p02_x0p005_hold6_3p0x_0p15_007194b1,train_dominant_shadow_until_execution_efficiency,debounced_momentum_hysteresis,ETHUSDT,1h,0.0857502386236495,0.03582057736270294,0.007736367197481719,False,False,False,train_return_per_turnover_proxy_bps_5.323_not_above_10.000;validation_return_per_turnover_proxy_bps_8.468_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_5.056_not_above_10.000
1796,divtd_hysteresis_trend_12h_bnbusdt_long_only_lb12_e0p02_x0p005_4p0x_0p15_5323d711,no_promotion_shadow_or_reject,stateful_momentum_hysteresis,BNBUSDT,12h,0.07063261773052254,0.00799804816709071,0.007376336337997946,False,False,False,train_trade_event_count_59_below_80;validation_trade_event_count_12_below_30;locked_oos_trade_event_count_10_below_20;validation_return_0.0080_below_0.02
1804,divtd_vol_contraction_breakout_4h_solusdt_long_only_lb48_3p0x_0p1_deb286a3,no_promotion_shadow_or_reject,volatility_contraction_breakout,SOLUSDT,4h,0.06122565903224508,0.0022383890335657686,0.013855110146012706,False,False,False,train_trade_event_count_16_below_80;validation_trade_event_count_4_below_30;locked_oos_trade_event_count_2_below_20;validation_return_0.0022_below_0.02
1805,divtd_debounced_hysteresis_trend_12h_btcusdt_long_only_lb24_e0p02_x0p005_hold12_2p0x_0p1_be1bb8b4,no_promotion_shadow_or_reject,debounced_momentum_hysteresis,BTCUSDT,12h,0.007757651531246079,0.002804655777195908,0.0125531596079127,False,False,False,train_trade_event_count_25_below_80;validation_trade_event_count_6_below_30;locked_oos_trade_event_count_4_below_20;validation_return_0.0028_below_0.02
1856,divtd_hysteresis_trend_6h_ethusdt_long_only_lb48_e0p01_x0p0_2p0x_0p1_f636a249,no_promotion_shadow_or_reject,stateful_momentum_hysteresis,ETHUSDT,6h,0.018559869350534886,0.00330082745673721,0.0037116818303402077,False,False,False,train_trade_event_count_68_below_80;validation_trade_event_count_12_below_30;locked_oos_trade_event_count_12_below_20;validation_return_0.0033_below_0.02
1918,divtd_debounced_hysteresis_trend_12h_bnbusdt_long_only_lb24_e0p02_x0p005_hold12_3p0x_0p1_20ee6c5e,no_promotion_shadow_or_reject,debounced_momentum_hysteresis,BNBUSDT,12h,0.047913909609480054,0.005072322150796671,0.0032108819944955957,False,False,False,train_trade_event_count_29_below_80;validation_trade_event_count_4_below_30;locked_oos_trade_event_count_3_below_20;validation_return_0.0051_below_0.02
1919,divtd_debounced_hysteresis_trend_12h_bnbusdt_long_only_lb24_e0p02_x0p005_hold24_3p0x_0p1_11931def,no_promotion_shadow_or_reject,debounced_momentum_hysteresis,BNBUSDT,12h,0.06025615421703723,0.005072322150796671,0.0032108819944955957,False,False,False,train_trade_event_count_23_below_80;validation_trade_event_count_4_below_30;locked_oos_trade_event_count_3_below_20;validation_return_0.0051_below_0.02
2011,divtd_vol_contraction_breakout_4h_solusdt_long_only_lb48_4p0x_0p1_255e3af4,no_promotion_shadow_or_reject,volatility_contraction_breakout,SOLUSDT,4h,0.081098487265856,0.0028205931877705037,0.018355727091858398,False,False,False,train_trade_event_count_16_below_80;validation_trade_event_count_4_below_30;locked_oos_trade_event_count_2_below_20;validation_return_0.0028_below_0.02
2059,divtd_debounced_hysteresis_trend_4h_solusdt_short_only_lb12_e0p02_x0p005_hold24_2p0x_0p1_3944a0aa,no_promotion_shadow_or_reject,debounced_momentum_hysteresis,SOLUSDT,4h,0.12001791593973432,0.013791787420864177,0.0072028444146743364,False,False,False,validation_trade_event_count_29_below_30;locked_oos_trade_event_count_11_below_20;validation_return_0.0138_below_0.02
