rank,selection_role,model_id,candidate_name,variant_name,leverage,allocation_fraction,target_notional_fraction_of_equity,train_return,train_mdd,train_trade_event_count,validation_return,validation_mdd,validation_sharpe,validation_trade_event_count,train_validation_return_ratio,locked_oos_return,locked_oos_mdd,locked_oos_trade_event_count,locked_oos_liquidation_count,locked_oos_account_wipeout_count,train_validation_guard_pass,locked_oos_report_gate_pass,primary_10bps_promotion_gate_pass,paper_promotion_guard_pass,ready_for_paper,ready_for_real,real_money_execution,guard_fail_reasons,primary_10bps_gate_reasons
1,target_family_candidate,fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1p5_alpha_zoo_high_confidence_long_only_8p0x_0p2alloc,alpha_zoo_high_confidence_long_only,family_crypto_residual_reversal_abs_score_ge_1.5,8.0,0.2,1.6,0.05078387862526279,0.15428158574870718,83,0.1417318366754563,0.03121375818048141,2.651172067242854,18,0.3583096064827687,0.018620495328067976,0.01813684511146791,13,0.0,0.0,False,False,False,False,False,False,False,validation_trade_event_count_18_below_30;locked_oos_trade_event_count_13_below_20;train_validation_return_ratio_0.3583_below_0.50;primary_10bps_promotion_gate_failed,train_calmar_not_above_locked_oos;train_calmar_not_above_validation;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_validation
2,target_family_candidate,fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1p5_alpha_zoo_high_confidence_long_only_7p0x_0p2alloc,alpha_zoo_high_confidence_long_only,family_crypto_residual_reversal_abs_score_ge_1.5,7.0,0.2,1.4000000000000001,0.0467156984452477,0.1360160970439139,83,0.12361015631685235,0.027312038407921218,2.651172067242851,18,0.37792767064787486,0.016312971739646853,0.01587918003139867,13,0.0,0.0,False,False,False,False,False,False,False,validation_trade_event_count_18_below_30;locked_oos_trade_event_count_13_below_20;train_validation_return_ratio_0.3779_below_0.50;primary_10bps_promotion_gate_failed,train_calmar_not_above_locked_oos;train_calmar_not_above_validation;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_validation
3,target_family_candidate,fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1p5_alpha_zoo_high_confidence_long_only_8p0x_0p175alloc,alpha_zoo_high_confidence_long_only,family_crypto_residual_reversal_abs_score_ge_1.5,8.0,0.175,1.4,0.04671569844524637,0.136016097043914,83,0.12361015631685235,0.027312038407921218,2.651172067242851,18,0.37792767064786403,0.016312971739646853,0.01587918003139867,13,0.0,0.0,False,False,False,False,False,False,False,validation_trade_event_count_18_below_30;locked_oos_trade_event_count_13_below_20;train_validation_return_ratio_0.3779_below_0.50;primary_10bps_promotion_gate_failed,train_calmar_not_above_locked_oos;train_calmar_not_above_validation;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_validation
4,target_family_candidate,fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1p5_alpha_zoo_high_confidence_long_only_11p0x_0p125alloc,alpha_zoo_high_confidence_long_only,family_crypto_residual_reversal_abs_score_ge_1.5,11.0,0.125,1.375,0.046160543002472076,0.1337127430391588,83,0.12135276180779786,0.026824323436351227,2.651172067242853,18,0.38038312696650883,0.016024122768162563,0.015596782445263696,13,0.0,0.0,False,False,False,False,False,False,False,validation_trade_event_count_18_below_30;locked_oos_trade_event_count_13_below_20;train_validation_return_ratio_0.3804_below_0.50;primary_10bps_promotion_gate_failed,train_calmar_not_above_locked_oos;train_calmar_not_above_validation;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_validation
5,target_family_candidate,fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1p5_alpha_zoo_high_confidence_long_only_7p0x_0p175alloc,alpha_zoo_high_confidence_long_only,family_crypto_residual_reversal_abs_score_ge_1.5,7.0,0.175,1.2249999999999999,0.042612688947539334,0.11979808302248818,83,0.10784529385640118,0.023898033606931147,2.651172067242845,18,0.395127941366447,0.01428913008260757,0.013901512564903755,13,0.0,0.0,False,False,False,False,False,False,False,validation_trade_event_count_18_below_30;locked_oos_trade_event_count_13_below_20;train_validation_return_ratio_0.3951_below_0.50;primary_10bps_promotion_gate_failed,train_calmar_not_above_locked_oos;train_calmar_not_above_validation;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_validation
6,target_family_candidate,fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1p5_alpha_zoo_high_confidence_long_only_8p0x_0p15alloc,alpha_zoo_high_confidence_long_only,family_crypto_residual_reversal_abs_score_ge_1.5,8.0,0.15,1.2,0.041985299007322396,0.11746318019327275,83,0.10560023658042139,0.023410318635361,2.6511720672428485,18,0.397587168049078,0.013999648833336042,0.013618820167958809,13,0.0,0.0,False,False,False,False,False,False,False,validation_trade_event_count_18_below_30;locked_oos_trade_event_count_13_below_20;train_validation_return_ratio_0.3976_below_0.50;primary_10bps_promotion_gate_failed,train_calmar_not_above_locked_oos;train_calmar_not_above_validation;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_validation
7,target_family_candidate,fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1p5_alpha_zoo_high_confidence_long_only_6p0x_0p2alloc,alpha_zoo_high_confidence_long_only,family_crypto_residual_reversal_abs_score_ge_1.5,6.0,0.2,1.2000000000000002,0.041985299007322396,0.11746318019327275,83,0.10560023658042139,0.023410318635361,2.6511720672428485,18,0.397587168049078,0.013999648833336042,0.013618820167958809,13,0.0,0.0,False,False,False,False,False,False,False,validation_trade_event_count_18_below_30;locked_oos_trade_event_count_13_below_20;train_validation_return_ratio_0.3976_below_0.50;primary_10bps_promotion_gate_failed,train_calmar_not_above_locked_oos;train_calmar_not_above_validation;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_validation
8,target_family_candidate,fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1p5_alpha_zoo_high_confidence_long_only_11p0x_0p1alloc,alpha_zoo_high_confidence_long_only,family_crypto_residual_reversal_abs_score_ge_1.5,11.0,0.1,1.1,0.03937296721418382,0.10807830309457007,83,0.096637832015255,0.021459458749081003,2.6511720672428476,18,0.40742808890796,0.01284082419623056,0.012487629298878542,13,0.0,0.0,False,False,False,False,False,False,False,validation_trade_event_count_18_below_30;locked_oos_trade_event_count_13_below_20;train_validation_return_ratio_0.4074_below_0.50;primary_10bps_promotion_gate_failed,train_calmar_not_above_locked_oos;train_calmar_not_above_validation;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_validation
9,target_family_candidate,fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1p5_alpha_zoo_high_confidence_long_only_7p0x_0p15alloc,alpha_zoo_high_confidence_long_only,family_crypto_residual_reversal_abs_score_ge_1.5,7.0,0.15,1.05,0.03800527170181622,0.10335865084505286,83,0.0921673798431819,0.020484028805940878,2.6511720672428547,18,0.4123505709555838,0.012260873106060943,0.011921781061117116,13,0.0,0.0,False,False,False,False,False,False,False,validation_trade_event_count_18_below_30;locked_oos_trade_event_count_13_below_20;train_validation_return_ratio_0.4124_below_0.50;primary_10bps_promotion_gate_failed,train_calmar_not_above_locked_oos;train_calmar_not_above_validation;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_validation
10,target_family_candidate,fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1p5_alpha_zoo_high_confidence_long_only_6p0x_0p175alloc,alpha_zoo_high_confidence_long_only,family_crypto_residual_reversal_abs_score_ge_1.5,6.0,0.175,1.0499999999999998,0.03800527170181622,0.10335865084505286,83,0.0921673798431819,0.020484028805940878,2.6511720672428547,18,0.4123505709555838,0.012260873106060943,0.011921781061117116,13,0.0,0.0,False,False,False,False,False,False,False,validation_trade_event_count_18_below_30;locked_oos_trade_event_count_13_below_20;train_validation_return_ratio_0.4124_below_0.50;primary_10bps_promotion_gate_failed,train_calmar_not_above_locked_oos;train_calmar_not_above_validation;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_validation
