profile_id,profile_kind,candidate_tier,weights,leverage_map,gross_notional_fraction,train_return,validation_return,locked_oos_return_report_only,train_mdd,validation_mdd,locked_oos_mdd_report_only,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count_report_only,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps_report_only,train_liquidation_count,validation_liquidation_count,locked_oos_liquidation_count_report_only,train_account_wipeout_count,validation_account_wipeout_count,locked_oos_account_wipeout_count_report_only,train_validation_score,paper_testnet_candidate,strict_promotion_profile,promotion_gate_pass,ready_for_paper,ready_for_real,real_money_execution,selection_reasons,report_only_gate_reasons
balanced_mdd12_gross5,source_integer_leverage_profile,strict_promotion_paper_testnet_candidate,"{""balanced_mdd12_gross5"": 1.0}","{""SOLUSDT"": 2, ""TRXUSDT"": 1}",1.0,0.7466849278491126,0.3321534933766208,0.05530047680212835,0.2925308385690246,0.11613374478879657,0.07200251885357589,945,229,100,30.912230505034678,57.022058948776106,22.209026828164,0,0,0,0,0,0,3.491227124630141,True,True,True,True,False,False,,
growth_mdd20_gross8,source_integer_leverage_profile,relaxed_paper_testnet_candidate,"{""growth_mdd20_gross8"": 1.0}","{""ETHUSDT"": 8, ""SOLUSDT"": 4, ""TRXUSDT"": 12}",3.9,2.623353299734717,0.7162910689831974,0.23369519313283416,0.43498737710156254,0.19998294605762046,0.09237073912507565,879,200,104,32.16470450876308,37.71938225293299,23.346173140143275,0,0,0,0,0,0,7.076306340419771,True,False,False,True,False,False,,
aggressive_mdd30_gross10_shadow,source_integer_leverage_profile,relaxed_paper_testnet_candidate,"{""aggressive_mdd30_gross10_shadow"": 1.0}","{""ETHUSDT"": 8, ""SOLUSDT"": 4, ""TRXUSDT"": 12}",4.9,4.384462025211174,1.174976380893983,0.2757720899773306,0.5479880361195086,0.29404394589156757,0.12363018269476478,1539,360,158,38.814288466812805,44.155444603306385,21.8693172067669,0,0,0,0,0,0,11.665430334157076,True,False,False,True,False,False,,
hybrid_mdd20_three_profile_blend,hybrid_train_validation_selected,hybrid_relaxed_paper_testnet_candidate,"{""aggressive_mdd30_gross10_shadow"": 0.15, ""balanced_mdd12_gross5"": 0.15, ""growth_mdd20_gross8"": 0.7}",{},3.6149999999999998,2.6236419644372,0.7256916003246558,0.21297714620103791,0.4288755407393703,0.19932978467146412,0.09071846542364759,3363,789,362,33.78402398216826,39.964842444875245,22.969925172674497,0,0,0,0,0,0,7.206864397569471,True,False,False,True,False,False,,
