profile_id,profile_kind,candidate_tier,weights,leverage_map,gross_notional_fraction,train_return,validation_return,locked_oos_return_report_only,train_mdd,validation_mdd,locked_oos_mdd_report_only,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count_report_only,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps_report_only,train_liquidation_count,validation_liquidation_count,locked_oos_liquidation_count_report_only,train_account_wipeout_count,validation_account_wipeout_count,locked_oos_account_wipeout_count_report_only,train_validation_score,paper_testnet_candidate,strict_promotion_profile,promotion_gate_pass,ready_for_paper,ready_for_real,real_money_execution,selection_reasons,report_only_gate_reasons
hybrid_mdd20_three_profile_blend,hybrid_train_validation_selected,hybrid_relaxed_paper_testnet_candidate,"{""aggressive_mdd30_gross10_shadow"": 0.25, ""balanced_mdd12_gross5"": 0.4, ""growth_mdd20_gross8"": 0.35}",{},2.99,2.241931335817711,0.666735076158977,0.17150685019341294,0.40411102786963415,0.18866806777061174,0.08553781141025629,3363,789,362,33.73963604348831,42.66012388246062,22.413336407921193,0,0,0,0,0,0,6.656892498427681,True,False,False,True,False,False,,
hybrid_mdd20_three_profile_blend,hybrid_train_validation_selected,hybrid_relaxed_paper_testnet_candidate,"{""aggressive_mdd30_gross10_shadow"": 0.2, ""balanced_mdd12_gross5"": 0.35, ""growth_mdd20_gross8"": 0.45}",{},3.085,2.279816179134967,0.6665449116452309,0.17856767072253432,0.4053267404994153,0.18767047527506397,0.08510618199090492,3363,789,362,33.65129252984346,41.90459169478858,22.609226477910145,0,0,0,0,0,0,6.649017312634369,True,False,False,True,False,False,,
hybrid_mdd20_three_profile_blend,hybrid_train_validation_selected,hybrid_relaxed_paper_testnet_candidate,"{""aggressive_mdd30_gross10_shadow"": 0.35, ""balanced_mdd12_gross5"": 0.5, ""growth_mdd20_gross8"": 0.15}",{},2.8,2.144522843035261,0.665267634968965,0.1572525694909679,0.40467159213592974,0.19108802965223803,0.08854809073853886,3363,789,362,33.58820381432729,44.131986796840025,21.96264937024691,0,0,0,0,0,0,6.648640730533833,True,False,False,True,False,False,,
hybrid_mdd20_three_profile_blend,hybrid_train_validation_selected,hybrid_relaxed_paper_testnet_candidate,"{""aggressive_mdd30_gross10_shadow"": 0.15, ""balanced_mdd12_gross5"": 0.3, ""growth_mdd20_gross8"": 0.55}",{},3.18,2.3101049857391027,0.665738763941808,0.18558255043913685,0.4067268403952443,0.18672931662073766,0.08533776951072658,3363,789,362,33.456266041103035,41.13688410676356,22.787641262172993,0,0,0,0,0,0,6.633936729830282,True,False,False,True,False,False,,
hybrid_mdd20_three_profile_blend,hybrid_train_validation_selected,hybrid_relaxed_paper_testnet_candidate,"{""aggressive_mdd30_gross10_shadow"": 0.1, ""balanced_mdd12_gross5"": 0.25, ""growth_mdd20_gross8"": 0.65}",{},3.2750000000000004,2.3325748350452926,0.6643174320300642,0.19255019699046216,0.40830995371255363,0.18584486666577393,0.08559966431007149,3363,789,362,33.15730322209411,40.35766487128863,22.94996388444126,0,0,0,0,0,0,6.611674332461012,True,False,False,True,False,False,,
hybrid_mdd20_three_profile_blend,hybrid_train_validation_selected,hybrid_relaxed_paper_testnet_candidate,"{""aggressive_mdd30_gross10_shadow"": 0.25, ""balanced_mdd12_gross5"": 0.45, ""growth_mdd20_gross8"": 0.3}",{},2.845,2.1286118718729647,0.6459772791949681,0.16242021067304302,0.39696871506219567,0.18454669056555095,0.08512445493649057,3363,789,362,33.48045301812293,43.14929306781343,22.322733737361606,0,0,0,0,0,0,6.457495568939875,True,False,False,True,False,False,,
hybrid_mdd20_three_profile_blend,hybrid_train_validation_selected,hybrid_relaxed_paper_testnet_candidate,"{""aggressive_mdd30_gross10_shadow"": 0.3, ""balanced_mdd12_gross5"": 0.5, ""growth_mdd20_gross8"": 0.2}",{},2.75,2.080517402212163,0.6452297231766273,0.15531580931851918,0.39754029688826886,0.18563632745604297,0.08663277973568362,3363,789,362,33.40720809621715,43.91259558149027,22.093287243032602,0,0,0,0,0,0,6.453427200069142,True,False,False,True,False,False,,
hybrid_mdd20_three_profile_blend,hybrid_train_validation_selected,hybrid_relaxed_paper_testnet_candidate,"{""aggressive_mdd30_gross10_shadow"": 0.2, ""balanced_mdd12_gross5"": 0.4, ""growth_mdd20_gross8"": 0.4}",{},2.9400000000000004,2.169766449588153,0.6461165985473407,0.16948093883994408,0.3980786663003816,0.18351334165800826,0.08363764261422546,3363,789,362,33.44379372958712,42.37385877146778,22.53136650358204,0,0,0,0,0,0,6.4533051949104765,True,False,False,True,False,False,,
hybrid_mdd20_three_profile_blend,hybrid_train_validation_selected,hybrid_relaxed_paper_testnet_candidate,"{""aggressive_mdd30_gross10_shadow"": 0.15, ""balanced_mdd12_gross5"": 0.35, ""growth_mdd20_gross8"": 0.5}",{},3.035,2.2036846181958203,0.6456474454708874,0.1764967021050381,0.3993757702710805,0.1825365730329621,0.08356454705505734,3363,789,362,33.299227740168725,41.58692745500957,22.72099666645702,0,0,0,0,0,0,6.441985453115695,True,False,False,True,False,False,,
hybrid_mdd20_three_profile_blend,hybrid_train_validation_selected,hybrid_relaxed_paper_testnet_candidate,"{""aggressive_mdd30_gross10_shadow"": 0.35, ""balanced_mdd12_gross5"": 0.55, ""growth_mdd20_gross8"": 0.1}",{},2.6550000000000002,2.025824947221397,0.6438748324642438,0.14816902861067138,0.39885043699260403,0.18769218375003238,0.08816251102558259,3363,789,362,33.222635445537435,44.663128931882,21.840953509827738,0,0,0,0,0,0,6.439987468552525,True,False,False,True,False,False,,
