role,profile_id,model_id,leverage,allocation_fraction,sizing_mode,target_notional_fraction_of_equity,isolated_margin_fraction_of_equity,expected_replay_notional_for_10000_equity,live_notional_for_10000_equity,notional_parity_passed,research_round_trip_cost_bps,observed_round_trips,mean_all_in_round_trip_bps,p95_all_in_round_trip_bps,cost_status,ready_for_paper,ready_for_real
active,higher_risk_train_return_tilt_v1,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_quality_single_pair_7p0x_0p2alloc,7.0,0.2,isolated_margin_fraction,1.4000000000000001,0.2,14000.0,14000.000000000004,True,10.0,0,,,pending_no_fills,True,False
balanced,balanced_train_validation_v1,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_quality_single_pair_6p0x_0p175alloc,6.0,0.175,isolated_margin_fraction,1.0499999999999998,0.175,10500.0,10499.999999999998,True,10.0,0,,,pending_no_fills,True,False
